id_proposicao,obj_votacao,data,cod_sessao,hora,id_votacao
2160860,DTQ. 14 - PP - EMENDA DE PLENÁRIO Nº 10,2019-02-20,16735,17:43,167351743
2160860,DTQ. 7 - PDT - EMENDA DE PLENÁRIO Nº 6,2019-02-20,16735,18:11,167351811
2160860,"DTQ. 12 - PT - INC. V, CONST. DO ART. 5º DA LEI Nº 12.414/2011",2019-02-20,16735,18:44,167351844
2160860,DTQ. 11 - PCdoB - ART. 16 DA LEI Nº 12.414/2011,2019-02-20,16735,19:38,167351938
2160860,DTQ. 5 - PT - EMENDA DE PLENÁRIO Nº 2,2019-02-20,16736,20:29,167362029
2160860,"DTQ. 1 - PSB - INC. III, DO ART. 3º",2019-02-20,16736,20:49,167362049
2160860,EMENDAS DE NºS 6 E 8 COM PARECER PELA REJEIÇÃO,2019-02-19,16734,18:15,167341815
2160860,"DTQ. 15 - PSB - §7º DO ART. 12 DA LEI Nº 12.414/2011, CONT. NO ART. 2º DO PLP",2019-02-20,16735,19:06,167351906
2160860,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-20,16735,16:22,167351622
2160860,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-20,16736,20:06,167362006
2163986,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7.789/2017,2019-10-16,16961,18:54,169611854
2164719,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7.843/2017,2019-10-16,16961,19:11,169611911
2166600,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-12-02,17006,21:21,170062121
2166600,SUBEMENDA SUBSTITUTIVA DE PLENÁRIO,2019-12-02,17006,21:44,170062144
2178170,SUBSTITUTIVO DA COMISSÃO ESPECIAL,2019-12-04,17009,20:33,170092033
2178170,"DTQ 1 - NOVO - ART. 3º-B, CONST. ART. 3º DO SUBSTITUTIVO",2019-12-04,17009,21:32,170092132
2179189,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-12,16727,16:11,167271611
2179189,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES,2019-02-12,16727,17:17,167271717
2183943,"DTQ 12 - BL. PDT - ART. 22, INSERIDO NO ART. 6º DA MPV...",2019-02-13,16728,18:21,167281821
2186621,REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,2019-06-26,16845,17:56,168451756
2186621,DTQ 4 - NOVO - ART. 3º DO PL 10.985/2018,2019-06-26,16845,19:13,168451913
2186621,DTQ 6 - PSL - ART. 4º DO PL 10.985/2018,2019-06-26,16846,20:30,168462030
2187087,REQUERIMENTO DE RETIRADA DE PAUTA,2019-09-18,16930,18:18,169301818
2187087,REQUERIMENTO DE VOTAÇÃO DAS EMENDAS UMA A UMA,2019-09-18,16931,21:15,169312115
2187087,"DTQ 1: NOVO - EMENDA SUPRESSIVA DO SENADO FEDERAL, QUE SUPRIMIU O ART. 44...",2019-09-18,16931,22:02,169312202
2187087,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES,2019-09-18,16930,19:12,169301912
2187087,DTQ 2: PSL - EMENDA DO SENADO FEDERAL QUE SUPRIME O INCISO X DO ART. 44...,2019-09-18,16931,22:22,169312222
2187087,DTQ 3: PSL - EMENDA DO SENADO FEDERAL QUE SUPRIME O ART. 11 DA LEI Nº 9504/97,2019-09-18,16931,22:33,169312233
2187087,DTQ 4: PSL - EMENDA DO SENADO FEDERAL QUE SUPRIME O INCISO VIII DO ART. 44...,2019-09-18,16931,22:09,169312209
2187087,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-09-18,16930,19:57,169301957
2187087,DTQ 5: PSOL - VOTAÇÃO DA EMENDA SUPRESSIVA  REFERENTE AO ART. 26...,2019-09-18,16931,22:55,169312255
2187087,DTQ 6: CIDADANIA - EMENDA DO SF QUE SUPRIME O PARÁGRAFO ÚNICO DO ART. 18-A...,2019-09-18,16931,22:44,169312244
2187087,DTQ 7: PODEMOS - EMENDA SUPRESSIVA REFERENTE AO PARÁGRAFO ÚNICO DO ART. 3º...,2019-09-18,16931,23:06,169312306
2187087,REQUERIMENTO DE RETIRADA DE PAUTA,2019-09-18,16931,20:59,169312059
2187087,EMENDAS SUPRESSIVAS COM PARECER PELA REJEIÇÃO,2019-09-18,16931,21:43,169312143
2188301,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-07,16799,20:40,167992040
2188301,PROJETO DE LEI DE CONVERSÃO Nº 5/2019,2019-05-07,16799,20:55,167992055
2188301,PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...,2019-05-07,16798,18:41,167981841
2188301,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-05-07,16798,17:22,167981722
2188301,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-05-07,16798,17:48,167981748
2188301,"DTQ 2: PT: PARÁGRAFO ÚNICO, DO ART. 1º DO PLV",2019-05-07,16799,21:41,167992141
2188301,DTQ 1: PT: ART. 7º DO PLV,2019-05-07,16799,22:29,167992229
2188301,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-05-07,16798,19:04,167981904
2188301,VOTAÇÃO DA ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES,2019-05-07,16798,19:25,167981925
2189858,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-21,16810,18:03,168101803
2189858,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-05-21,16810,19:07,168101907
2189858,REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,2019-05-21,16810,17:24,168101724
2189858,DTQ. 5 - PSB - EMENDA Nº 21,2019-05-21,16811,21:53,168112153
2189858,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-05-21,16810,18:31,168101831
2190190,DTQ 13 - PSOL - §2º DO ARTIGO 6º DO PLV,2019-09-25,16938,17:21,169381721
2190237,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-28,16818,19:39,168181939
