id_parlamentar,casa,nome_eleitoral,uf,partido_atual,partido_eleicao,total_receita_partido,total_receita_candidato,indice_investimento_partido
204560,camara,ADOLFO VIANA,BA,PSDB,PSDB,1160000,1204707.62,0.0142973194824386
204528,camara,ADRIANA VENTURA,SP,NOVO,NOVO,817.8,395075.22,0.00127868024422298
121948,camara,ADRIANO DO BALDY,GO,PP,PP,2255692,2400382,0.0169100707634814
74646,camara,AÉCIO NEVES,MG,PSDB,PSDB,2161126.03,2488921.01,0.029003011646907
204495,camara,AIRTON FALEIRO,PA,PT,PT,435000,604750,0.0031327975940869
204549,camara,AJ ALBUQUERQUE,CE,PP,PP,968077.5,981827.5,0.007127555454221
204413,camara,ALCIDES RODRIGUES,GO,PATRIOTA,PRP,500000,758847.33,0.0911760551918197
204545,camara,ALÊ SILVA,MG,PSL,PSL,0,83700,0
204501,camara,ALENCAR SANTANA BRAGA,SP,PT,PT,516796.23,684428.12,0.00728602175064966
204571,camara,ALEX SANTANA,BA,PDT,PDT,0,77750,0
204544,camara,ALEXANDRE FROTA,SP,PSDB,PSL,0,24758.29,0
204503,camara,ALEXANDRE PADILHA,SP,PT,PT,902796.23,1036531.23,0.0127280204195462
204516,camara,ALEXIS FONTEYNE,SP,NOVO,NOVO,817.8,115308.32,0.00127868024422298
204353,camara,ALINE GURGEL,AP,REPUBLICANOS,PRB,1952976.22,2092976.22,0.0188098385582924
204400,camara,ALINE SLEUTJES,PR,PSL,PSL,0,101260.35,0
204356,camara,AMARO NETO,ES,REPUBLICANOS,PRB,1365000,1451448,0.0129372825559421
204423,camara,ANDRÉ FERREIRA,PE,PSC,PSC,480000,898086.04,0.023470701246846
204515,camara,ANDRÉ JANONES,MG,AVANTE,AVANTE,184342.1,209983.62,0.016373397186788
73696,camara,ANGELA AMIN,SC,PP,PP,2319720,2498812.9,0.019328639011683
204414,camara,AROLDO MARTINS,PR,REPUBLICANOS,PRB,657075.16,661385.08,0.00880993669739617
204509,camara,ÁUREA CAROLINA,MG,PSOL,PSOL,13653.08,186777.03,0.00192492275686006
109429,camara,BENES LEOCÁDIO,RN,REPUBLICANOS,PTC,810000,1110005.7,0.188605557807771
204358,camara,BETO PEREIRA,MS,PSDB,PSDB,740036.31,833539.3,0.0100216838069724
207176,camara,BIA CAVASSA,MS,PSDB,PSDB,202250,260325,0.00273890013580574
204374,camara,BIA KICIS,DF,PSL,PRP,90566.03,320714.03,0.0167630148806654
204388,camara,BIBO NUNES,RS,PSL,PSL,0,237216.9,0
204561,camara,BIRA DO PINDARÉ,MA,PSB,PSB,500000,573580,0.00640220915443294
204397,camara,BOCA ABERTA,PR,PROS,PROS,0,254200,0
204551,camara,BOSCO SARAIVA,AM,SOLIDARIEDADE,SOLIDARIEDADE,280000,638514.66,0.00963049725530811
204352,camara,CAMILO CAPIBERIBE,AP,PSB,PSB,500000,507211,0.00620112227800747
204572,camara,CAPITÃO ALBERTO NETO,AM,REPUBLICANOS,PRB,800000,884703.59,0.00872932006507211
204487,camara,CAPITÃO WAGNER,CE,PROS,PROS,257350,332745.6,0.00869244281359243
204507,camara,CARLA ZAMBELLI,SP,PSL,PSL,21505,517468.61,0.00454712251134902
204361,camara,CARLOS CHIODINI,SC,MDB,MDB,384000,1001000,0.0031977281324227
204460,camara,CARLOS JORDY,RJ,PSL,PSL,1965,59150.08,5.35342719935414e-4
204426,camara,CARLOS VERAS,PE,PT,PT,435000,458735.14,0.00461882485990225
204369,camara,CAROLINE DE TONI,SC,PSL,PSL,265,82637.1,4.29108006447652e-5
204499,camara,CÁSSIO ANDRADE,PA,PSB,PSB,545600,562612.8,0.00578172827822926
204380,camara,CELINA LEÃO,DF,PP,PP,2117509.5,2220986.25,0.016112650955161
204370,camara,CÉLIO MOURA,TO,PT,PT,376150,459045.34,0.00328257165008343
