id_proposicao,id_votacao,objeto_votacao,datetime,codigo_sessao
135251,5942,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com redação dada pelo art. 1º, da Lei 10.411, de 26 de fevereiro de 2002, o nome da Senhora FLÁVIA MARTINS SANT´ANNA PERLINGEIRO para exercer o cargo de Diretora da Comissão de Valores Mobiliários – CVM.",2019-02-26 14:00:00,5942
135087,5943,"Submete à apreciação do Senado Federal, nos termos do art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea d, da Constituição Federal, o nome do Senhor ROBERTO DE OLIVEIRA CAMPOS NETO, para exercer o cargo de Presidente do Banco Central do Brasil.",2019-02-26 14:00:00,5943
135250,5944,"Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor BRUNO SERRA FERNANDES, para exercer o cargo de Diretor do Banco Central do Brasil.",2019-02-26 14:00:00,5944
135252,5945,"Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor JOÃO MANOEL PINHO DE MELLO, para exercer o cargo de Diretor do Banco Central do Brasil.",2019-02-26 14:00:00,5945
129807,5948,"Proposta de Emenda à Constituição nº 25, de 2017 (2º turno)",2019-03-19 14:00:00,5948
129807,5946,"Altera os arts. 7º, 23, 24, 37, 40, 201, 203, 208, 227 e 244 da Constituição Federal para incorporar-lhes a nomenclatura “pessoa com deficiência”, utilizada pela Convenção Internacional sobre o Direito das Pessoas com Deficiência.",2019-03-12 14:00:00,5946
135603,5947,"Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, e a Lei n° 12.414, de 9 de junho de 2011, para dispor sobre os cadastros positivos de crédito e regular a responsabilidade civil dos operadores.",2019-03-13 14:00:00,5947
134910,5949,"PLC nº 135, de 2018 - Complementar, com as Emendas nºs 1 a 3-CAE (de redação), nos termos do Parecer",2019-03-19 14:00:00,5949
135088,5950,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor OLYNTHO VIEIRA, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Islâmica do Paquistão e cumulativamente  junto à República Islâmica do Afeganistão  e  à República do Tajiquistão.",2019-03-26 14:00:00,5950
123903,5952,"Proposta de Emenda à Constituição nº 141, de 2015 (2º Turno)",2019-04-03 14:00:00,5952
123903,5951,"PEC nº 141, de 2015, com as Emendas nºs 1 e 2 - CCJ (redação), no termos do Parecer (1º Turno)",2019-04-02 14:00:00,5951
135983,5953,"Proposta de Emenda à Constituição nº 34, de 2019 (2º Turno)",2019-04-03 14:00:00,5953
135983,5954,"Emenda nº 10 - CCJ (Substitutivo) à PEC nº 34, de 2019, nos termos do Parecer (1º Turno)",2019-04-03 14:00:00,5954
121353,5955,"Emenda nº 6-Plen (Substitutivo) à Proposta de Emenda à Constituição nº 61, de 2015 (1º Turno)",2019-04-09 14:00:00,5955
121353,5956,"Proposta de Emenda à Constituição nº 61, de 2015 (2º Turno)",2019-04-09 14:00:00,5956
136173,5957,"Emenda nº 13-Plen ao Projeto de Lei nº 1321, de 2019",2019-04-16 14:00:00,5957
127414,5960,"PEC nº 57, de 2016, com as Emendas nºs 1 a 6 - CCJ, nos termos do Parecer (1º Turno)",2019-05-07 14:00:00,5960
117839,5961,"Emenda nº 1 - CAE ao Projeto de Lei do Senado nº 188, de 2014 - Complementar",2019-05-21 14:00:00,5961
135064,5962,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,2019-05-28 14:00:00,5962
136357,5963,"Mensagem nº 12, de 2019 - Davi Ferreira Gomes Barreto (ANTT)",2019-05-29 14:00:00,5963
135079,5964,"Institui o Programa Especial para Análise de Benefícios com Indícios de Irregularidade, o Programa de Revisão de Benefícios por Incapacidade, o Bônus de Desempenho Institucional por Análise de Benefícios com Indícios de Irregularidade do Monitoramento Operacional de Benefícios e o Bônus de Desempenho Institucional por Perícia Médica em Benefícios por Incapacidade, e dá outras providências.",2019-06-03 14:00:00,5964
116081,5967,"PLS nº 26, de 2014 - Complementar, com as Emendas nos termos dos Pareceres",2019-06-12 14:00:00,5967
132847,5968,"Emenda nº 3 - CAE (Substitutivo) ao Projeto de Lei do Senado nº 163, de 2018 - Complementar",2019-06-12 14:00:00,5968
137178,5969,"Proposta de Emenda à Constituição nº 91, de 2019, nos termos do Parecer de Plenário (1º Turno)",2019-06-12 14:00:00,5969
137178,5970,"Proposta de Emenda à Constituição nº 91, de 2019 (2º Turno)",2019-06-12 14:00:00,5970
136635,5971,"Projeto de Decreto Legislativo nº 233, de 2019",2019-06-18 14:00:00,5971
136706,5972,"Mensagem nº 15, de 2019 - Pedro Fernando Brêtas Bastos (CPLP)",2019-06-18 14:00:00,5972
136707,5973,"Mensagem nº 16/2019 - Henrique da Silveira S. Pinto (Santa Sé, e Ordem Soberana e Militar de Malta)",2019-06-18 14:00:00,5973
