sg_partido,uf,esfera,valor,numero_candidatos
AVANTE,AC,camara,25700.050000000003,6
AVANTE,AL,camara,319000,1
AVANTE,AM,camara,34503.2,3
AVANTE,AP,camara,418539.23,2
AVANTE,BA,camara,1028440,11
AVANTE,CE,camara,1162500,2
AVANTE,DF,camara,126989.17,8
AVANTE,ES,camara,35913.1,2
AVANTE,MG,camara,6248572.39,72
AVANTE,PA,camara,155140,2
AVANTE,PB,camara,261750,6
AVANTE,PE,camara,977000,3
AVANTE,PI,camara,180020,2
AVANTE,PR,camara,132704.86,5
AVANTE,RJ,camara,519042.09,21
AVANTE,RN,camara,350000,1
AVANTE,RR,camara,20000,1
AVANTE,RS,camara,273150.5,4
AVANTE,SC,camara,58141.8,4
AVANTE,SE,camara,15850,5
AVANTE,SP,camara,706224.59,90
AVANTE,TO,camara,9972,1
DC,AC,camara,41600,3
DC,AL,camara,77320,2
DC,AM,camara,75644,6
DC,AP,camara,30022.82,1
DC,BA,camara,350000,13
DC,CE,camara,34392.85,7
DC,DF,camara,27961.5,10
DC,ES,camara,36826.97,9
DC,GO,camara,71819.11,8
DC,MG,camara,19434.53,8
DC,MS,camara,17000,1
DC,PA,camara,20888.78,1
DC,PB,camara,11944.56,1
DC,PE,camara,57000,15
DC,PI,camara,30100,3
DC,PR,camara,68300,7
DC,RJ,camara,115500,23
DC,RN,camara,3500,1
DC,RR,camara,110228.56,3
DC,RS,camara,16346,2
DC,SC,camara,59380,1
DC,SE,camara,30022.82,1
DC,SP,camara,73060.56,22
DC,TO,camara,10000,1
DEM,AC,camara,825300,1
DEM,AM,camara,1078000,2
DEM,AP,camara,750000,4
DEM,BA,camara,5892500,21
DEM,CE,camara,1010000,3
DEM,DF,camara,855000,1
DEM,ES,camara,1650000,1
DEM,GO,camara,1887150.24,6
DEM,MA,camara,866000,2
DEM,MG,camara,3706092.13,12
DEM,MS,camara,1550000,2
DEM,MT,camara,450000,2
DEM,PA,camara,1483000,4
DEM,PB,camara,1110476.36,2
DEM,PE,camara,1690000,3
DEM,PI,camara,732152.2,1
DEM,PR,camara,1640000,2
DEM,RJ,camara,8281600,16
DEM,RN,camara,1314795.05,1
DEM,RO,camara,452790,5
DEM,RR,camara,280000,2
DEM,RS,camara,1100000,2
DEM,SC,camara,159080,2
DEM,SP,camara,5079400,10
DEM,TO,camara,2760570,2
MDB,AC,camara,3657900,3
MDB,AL,camara,100000,2
MDB,AM,camara,1893631.8,7
MDB,AP,camara,1686845,3
MDB,BA,camara,2980019.1,29
MDB,CE,camara,3458871.44,5
MDB,DF,camara,2578885.08,3
MDB,ES,camara,2514835.5,3
MDB,GO,camara,1130250,6
