id_proposicao,id_votacao,partido,voto,ano,casa
2192459,168870012,PP,1,2019,camara
2192459,168870012,MDB,1,2019,camara
2192459,168870012,PTB,1,2019,camara
2192459,168870012,PT,-1,2019,camara
2192459,168870012,PSL,1,2019,camara
2192459,168870012,PL,1,2019,camara
2192459,168870012,PSD,1,2019,camara
2192459,168870012,PSB,-1,2019,camara
2192459,168870012,PRB,1,2019,camara
2192459,168870012,PSDB,1,2019,camara
2192459,168870012,DEM,1,2019,camara
2192459,168870012,PDT,-1,2019,camara
2192459,168870012,SOLIDARIEDADE,1,2019,camara
2192459,168870012,PODEMOS,1,2019,camara
2192459,168870012,PSOL,-1,2019,camara
2192459,168870012,PROS,1,2019,camara
2192459,168870012,PCdoB,-1,2019,camara
2192459,168870012,PSC,1,2019,camara
2192459,168870012,CIDADANIA,1,2019,camara
2192459,168870012,NOVO,1,2019,camara
2192459,168870012,AVANTE,1,2019,camara
2192459,168870012,PATRIOTA,1,2019,camara
2192459,168870012,PV,5,2019,camara
2192459,168870012,MAIORIA,1,2019,camara
2192459,168870012,MINORIA,-1,2019,camara
2192459,168870012,OPOSIÇÃO,-1,2019,camara
2192459,168870012,GOVERNO,1,2019,camara
