id_proposicao,id_votacao,partido,voto
16526,168392211,PP,2
16526,168392211,MDB,2
16526,168392211,PTB,2
16526,168392211,PT,2
16526,168392211,PSL,2
16526,168392211,PL,2
16526,168392211,PSD,-1
16526,168392211,PSB,2
16526,168392211,PRB,2
16526,168392211,PSDB,2
16526,168392211,DEM,-1
16526,168392211,PDT,2
16526,168392211,SOLIDARIEDADE,-1
16526,168392211,PODEMOS,2
16526,168392211,PSOL,2
16526,168392211,PROS,2
16526,168392211,PCdoB,2
16526,168392211,PSC,-1
16526,168392211,CIDADANIA,-1
16526,168392211,NOVO,-1
16526,168392211,AVANTE,-1
16526,168392211,PATRIOTA,-1
16526,168392211,PV,-1
16526,168392211,PMN,-1
16526,168392211,REDE,2
16526,168392211,MAIORIA,-1
16526,168392211,MINORIA,2
16526,168392211,OPOSIÇÃO,2
16526,168392211,GOVERNO,-1
16526,168391926,PP,2
16526,168391926,MDB,2
16526,168391926,PTB,2
16526,168391926,PT,2
16526,168391926,PSL,-1
16526,168391926,PL,2
16526,168391926,PSD,-1
16526,168391926,PSB,2
16526,168391926,PRB,-1
16526,168391926,PSDB,-1
16526,168391926,DEM,-1
16526,168391926,PDT,2
16526,168391926,SOLIDARIEDADE,-1
16526,168391926,PSOL,2
16526,168391926,PROS,-1
16526,168391926,PCdoB,2
16526,168391926,PSC,-1
16526,168391926,CIDADANIA,-1
16526,168391926,NOVO,-1
16526,168391926,AVANTE,-1
16526,168391926,PATRIOTA,-1
16526,168391926,PV,-1
16526,168391926,REDE,2
16526,168391926,MINORIA,2
16526,168391926,GOVERNO,-1
16526,169231719,PP,1
16526,169231719,MDB,1
16526,169231719,PTB,1
16526,169231719,PT,1
16526,169231719,PSL,-1
16526,169231719,PL,1
16526,169231719,PSD,1
16526,169231719,PSB,1
16526,169231719,PSDB,1
16526,169231719,REPUBLICANOS,1
16526,169231719,DEM,1
16526,169231719,PDT,1
16526,169231719,SOLIDARIEDADE,1
16526,169231719,PSOL,1
16526,169231719,PROS,1
16526,169231719,PSC,-1
16526,169231719,CIDADANIA,1
16526,169231719,PCdoB,1
16526,169231719,NOVO,-1
16526,169231719,PV,1
16526,169231719,MAIORIA,1
16526,169231719,MINORIA,1
16526,169231719,GOVERNO,-1
16526,169231943,PP,-1
16526,169231943,MDB,-1
16526,169231943,PTB,-1
16526,169231943,PT,1
16526,169231943,PSL,-1
16526,169231943,PL,-1
16526,169231943,PSD,-1
16526,169231943,PSB,1
16526,169231943,PSDB,-1
16526,169231943,REPUBLICANOS,-1
16526,169231943,DEM,-1
16526,169231943,PDT,1
16526,169231943,SOLIDARIEDADE,-1
16526,169231943,PODEMOS,5
16526,169231943,PSOL,1
16526,169231943,PSC,1
16526,169231943,CIDADANIA,1
16526,169231943,PCdoB,1
16526,169231943,NOVO,1
16526,169231943,PV,-1
16526,169231943,MAIORIA,-1
16526,169231943,MINORIA,1
16526,169231943,OPOSIÇÃO,1
16526,169231943,GOVERNO,-1
16526,169242027,PP,1
16526,169242027,MDB,1
16526,169242027,PTB,1
16526,169242027,PT,-1
16526,169242027,PSL,-1
16526,169242027,PL,1
16526,169242027,PSD,1
16526,169242027,PSB,-1
16526,169242027,PSDB,1
16526,169242027,REPUBLICANOS,-1
16526,169242027,DEM,1
16526,169242027,PDT,-1
16526,169242027,SOLIDARIEDADE,-1
