id,nome_eleitoral,sg_partido,uf,voto
160527,AGUINALDO RIBEIRO,PP,PB,Sim
141422,EFRAIM FILHO,DEM,PB,Sim
178912,PEDRO CUNHA LIMA,PSDB,PB,Sim
141431,FERNANDO COELHO FILHO,DEM,PE,Sim
92699,FERNANDO MONTEIRO,PP,PE,Não
160600,ARTHUR OLIVEIRA MAIA,DEM,BA,Sim
160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,Não
141427,FÁBIO RAMALHO,MDB,MG,Sim
73586,JÚLIO DELGADO,PSB,MG,Não
204523,LUCAS GONZALEZ,NOVO,MG,Sim
204492,PAULO GUEDES,PT,MG,Não
204519,TIAGO MITRAUD,NOVO,MG,Sim
204371,FELIPE RIGONI,PSB,ES,Sim
141450,HUGO LEAL,PSD,RJ,Sim
204455,LUIZ LIMA,PSL,RJ,Sim
204433,MARCELO CALERO,CIDADANIA,RJ,Sim
74693,RODRIGO MAIA,DEM,RJ,Sim
204503,ALEXANDRE PADILHA,PT,SP,Não
73433,ARLINDO CHINAGLIA,PT,SP,Não
141391,ARNALDO JARDIM,CIDADANIA,SP,Sim
204507,CARLA ZAMBELLI,PSL,SP,Sim
141398,CARLOS ZARATTINI,PT,SP,Não
204527,GENINHO ZULIANI,DEM,SP,Sim
204536,KIM KATAGUIRI,DEM,SP,Sim
178987,ORLANDO SILVA,PCdoB,SP,Não
178990,SAMUEL MOREIRA,PSDB,SP,Sim
204532,VINICIUS POIT,NOVO,SP,Sim
193726,PAULO EDUARDO MARTINS,PSC,PR,Sim
204395,PEDRO LUPION,DEM,PR,Sim
73788,RICARDO BARROS,PP,PR,Sim
178933,SERGIO SOUZA,MDB,PR,-
178996,GIOVANI FELTES,MDB,RS,Sim
160570,JERÔNIMO GOERGEN,PP,RS,Sim
156190,MARCEL VAN HATTEM,NOVO,RS,Sim
74574,PAULO MAGALHÃES,PSD,BA,Sim
74200,GASTÃO VIEIRA,PROS,MA,Sim
