bloco_partido,cargo,id,nome,partido,uf,casa
Bloco Parlamentar Unidos pelo Brasil,Líder,22,Esperidião Amin,PP,SC,senado
Bloco Parlamentar Senado Independente,Líder,5748,Veneziano Vital do Rêgo,PSB,PB,senado
Bloco Parlamentar PSDB/PSL,Líder,5905,Rodrigo Cunha,PSDB,AL,senado
Bloco Parlamentar Vanguarda,Líder,1173,Wellington Fagundes,PL,MT,senado
Bloco Parlamentar Vanguarda,Vice-líder,5732,Rodrigo Pacheco,DEM,MG,senado
Bloco Parlamentar Vanguarda,Vice-líder,5350,Jorginho Mello,PL,SC,senado
Bloco Parlamentar Vanguarda,Vice-líder,3806,Zequinha Marinho,PSC,PA,senado
Bloco Parlamentar da Resistência Democrática,Líder,374,Paulo Rocha,PT,PA,senado
Bloco Parlamentar da Resistência Democrática,Vice-líder,5783,Zenaide Maia,PROS,RN,senado
PSD,Líder,5523,Otto Alencar,PSD,BA,senado
PSD,Vice-líder,5385,Irajá,PSD,TO,senado
PSD,Vice-líder,5967,Angelo Coronel,PSD,BA,senado
PODEMOS,Líder,945,Alvaro Dias,PODEMOS,PR,senado
PODEMOS,Vice-líder,5976,Eduardo Girão,PODEMOS,CE,senado
PODEMOS,Vice-líder,5924,Oriovisto Guimarães,PODEMOS,PR,senado
PODEMOS,Vice-líder,2331,Rose de Freitas,PODEMOS,ES,senado
Maioria,Líder,4994,Eduardo Braga,MDB,AM,senado
Minoria,Líder,5012,Randolfe Rodrigues,REDE,AP,senado
Governo,Líder,5540,Fernando Bezerra Coelho,MDB,PE,senado
Governo,Vice-líder,5531,Elmano Férrer,PODEMOS,PI,senado
Governo,Vice-líder,4770,Izalci Lucas,PSDB,DF,senado
Governo,Vice-líder,470,Chico Rodrigues,DEM,RR,senado
MDB,Líder,4994,Eduardo Braga,MDB,AM,senado
MDB,Vice-líder,285,Marcio Bittar,MDB,AC,senado
PP,Líder,5998,Daniella Ribeiro,PP,PB,senado
PP,Vice-líder,739,Ciro Nogueira,PP,PI,senado
PRB,Líder,6027,Mecias de Jesus,PRB,RR,senado
PDT,Líder,5411,Weverton,PDT,MA,senado
CIDADANIA,Líder,5718,Eliziane Gama,CIDADANIA,MA,senado
CIDADANIA,Vice-líder,5982,Alessandro Vieira,CIDADANIA,SE,senado
PSB,Líder,5895,Jorge Kajuru,PSB,GO,senado
REDE,Líder,5012,Randolfe Rodrigues,REDE,AP,senado
PSDB,Líder,677,Roberto Rocha,PSDB,MA,senado
PSDB,Vice-líder,4770,Izalci Lucas,PSDB,DF,senado
PSDB,Vice-líder,5905,Rodrigo Cunha,PSDB,AL,senado
PSL,Líder,5666,Major Olimpio,PSL,SP,senado
DEM,Líder,5732,Rodrigo Pacheco,DEM,MG,senado
DEM,Vice-líder,5422,Marcos Rogério,DEM,RO,senado
PL,Líder,5350,Jorginho Mello,PL,SC,senado
PSC,Líder,3806,Zequinha Marinho,PSC,PA,senado
PT,Líder,5008,Humberto Costa,PT,PE,senado
PT,Vice-líder,5352,Rogério Carvalho,PT,SE,senado
PROS,Líder,5535,Telmário Mota,PROS,RR,senado
PROS,Vice-líder,5783,Zenaide Maia,PROS,RN,senado
