id_proposicao,id_votacao,objeto_votacao,datetime,votacao_secreta,link_votacao,ano
135251,5942,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com redação dada pelo art. 1º, da Lei 10.411, de 26 de fevereiro de 2002, o nome da Senhora FLÁVIA MARTINS SANT´ANNA PERLINGEIRO para exercer o cargo de Diretora da Comissão de Valores Mobiliários ? CVM.",2019-02-26,1,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=135251&p_cod_materia_f=135251&p_cod_sessao_votacao_i=5942&p_cod_sessao_votacao_f=5942,2019
135087,5943,"Submete à apreciação do Senado Federal, nos termos do art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea d, da Constituição Federal, o nome do Senhor ROBERTO DE OLIVEIRA CAMPOS NETO, para exercer o cargo de Presidente do Banco Central do Brasil.",2019-02-26,1,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=135087&p_cod_materia_f=135087&p_cod_sessao_votacao_i=5943&p_cod_sessao_votacao_f=5943,2019
135250,5944,"Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor BRUNO SERRA FERNANDES, para exercer o cargo de Diretor do Banco Central do Brasil.",2019-02-26,1,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=135250&p_cod_materia_f=135250&p_cod_sessao_votacao_i=5944&p_cod_sessao_votacao_f=5944,2019
135252,5945,"Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor JOÃO MANOEL PINHO DE MELLO, para exercer o cargo de Diretor do Banco Central do Brasil.",2019-02-26,1,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=135252&p_cod_materia_f=135252&p_cod_sessao_votacao_i=5945&p_cod_sessao_votacao_f=5945,2019
129807,5946,"Altera os arts. 7º, 23, 24, 37, 40, 201, 203, 208, 227 e 244 da Constituição Federal para incorporar-lhes a nomenclatura ?pessoa com deficiência?, utilizada pela Convenção Internacional sobre o Direito das Pessoas com Deficiência.",2019-03-12,0,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=129807&p_cod_materia_f=129807&p_cod_sessao_votacao_i=5946&p_cod_sessao_votacao_f=5946,2019
135603,5947,"Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, e a Lei n° 12.414, de 9 de junho de 2011, para dispor sobre os cadastros positivos de crédito e regular a responsabilidade civil dos operadores.",2019-03-13,0,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=135603&p_cod_materia_f=135603&p_cod_sessao_votacao_i=5947&p_cod_sessao_votacao_f=5947,2019
129807,5948,"Proposta de Emenda à Constituição nº 25, de 2017 (2º turno)",2019-03-19,0,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=129807&p_cod_materia_f=129807&p_cod_sessao_votacao_i=5948&p_cod_sessao_votacao_f=5948,2019
134910,5949,"PLC nº 135, de 2018 - Complementar, com as Emendas nºs 1 a 3-CAE (de redação), nos termos do Parecer",2019-03-19,0,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=134910&p_cod_materia_f=134910&p_cod_sessao_votacao_i=5949&p_cod_sessao_votacao_f=5949,2019
135088,5950,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor OLYNTHO VIEIRA, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Islâmica do Paquistão e cumulativamente junto à República Islâmica do Afeganistão e à República do Tajiquistão.",2019-03-26,1,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=135088&p_cod_materia_f=135088&p_cod_sessao_votacao_i=5950&p_cod_sessao_votacao_f=5950,2019
123903,5951,"PEC nº 141, de 2015, com as Emendas nºs 1 e 2 - CCJ (redação), no termos do Parecer (1º Turno)",2019-04-02,0,http://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=123903&p_cod_materia_f=123903&p_cod_sessao_votacao_i=5951&p_cod_sessao_votacao_f=5951,2019
