id,data_apresentacao,nome,ementa,tema,autor,uri_tramitacao
135251,2019-02-14,MSF 6/2019,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com redação dada pelo art. 1º, da Lei 10.411, de 26 de fevereiro de 2002, o nome da Senhora FLÁVIA MARTINS SANT´ANNA PERLINGEIRO para exercer o cargo de Diretora da Comissão de Valores Mobiliários – CVM.",Nao especificado,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135251
135087,2019-01-31,MSF 2/2019,"Submete à apreciação do Senado Federal, nos termos do art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea d, da Constituição Federal, o nome do Senhor ROBERTO DE OLIVEIRA CAMPOS NETO, para exercer o cargo de Presidente do Banco Central do Brasil.",Nao especificado,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135087
135250,2019-02-14,MSF 5/2019,"Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor BRUNO SERRA FERNANDES, para exercer o cargo de Diretor do Banco Central do Brasil.",Nao especificado,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135250
135252,2019-02-14,MSF 7/2019,"Submete à consideração do Senado Federal, nos termos do o art. 84, inciso XIV, combinado com o art. 52, inciso III, alínea ""d"", da Constituição, o nome do Senhor JOÃO MANOEL PINHO DE MELLO, para exercer o cargo de Diretor do Banco Central do Brasil.",Nao especificado,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135252
129807,2017-06-28,PEC 25/2017,"Altera os arts. 7º, 23, 24, 37, 40, 201, 203, 208, 227 e 244 da Constituição Federal para incorporar-lhes a nomenclatura “pessoa com deficiência”, utilizada pela Convenção Internacional sobre o Direito das Pessoas com Deficiência.",Direitos humanos e minorias,Fátima Bezerra PT / RN e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/129807
135603,2019-03-12,PLP 54/2019 (Substitutivo-CD),"Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, e a Lei n° 12.414, de 9 de junho de 2011, para dispor sobre os cadastros positivos de crédito e regular a responsabilidade civil dos operadores.",Defesa do consumidor,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/135603
134910,2018-12-12,PLC 135/2018,"Dispõe sobre a Empresa Simples de Crédito (ESC); altera as Leis nºs 9.613, de 3 de março de 1998, e 9.249, de 26 de dezembro de 1995, e a Lei Complementar nº 123, de 14 de dezembro de 2006, para regulamentar a ESC e o Inova Simples.","Indústria, comércio e serviço",Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/134910
135088,2018-12-26,MSF 3/2019,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor OLYNTHO VIEIRA, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Islâmica do Paquistão e cumulativamente  junto à República Islâmica do Afeganistão  e  à República do Tajiquistão.",Nao especificado,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/135088
123903,2015-11-04,PEC 141/2015,"Acrescenta § 3º ao art. 42 da Constituição Federal, que dispõe sobre os militares dos Estados, do Distrito Federal e dos Territórios.",Servidores públicos,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/123903
135983,2019-03-27,PEC 34/2019,"Altera os arts. 165 e 166 da Constituição Federal, parar tornar obrigatória a execução da programação orçamentária que especifica.",Planejamento e orçamento,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/135983
