id,nome,partido,uf,cargo,grupos
204464,Talíria Petrone,PSOL,RJ,Deputada Federal,Ocupa Política
204468,Joenia Wapichana,Rede,RR,Deputada Federal,Agora!;Renova
204407,Fernanda Melchionna,PSOL,RS,Deputada Federal,Vote Nelas;Ocupa Política
204534,Tabata Amaral,PDT,SP,Deputada Federal,Acredito;Renova;Raps
204535,Sâmia Bomfim,PSOL,SP,Deputada Federal,Ocupa Política
204371,Felipe Rigoni,PSB,ES,Deputado Federal,Acredito;Renova
204392,Francisco Jr.,PSD,GO,Deputado Federal,Raps
204523,Lucas Gonzalez,NOVO,MG,Deputado Federal,Renova
204519,Tiago Mitraud,NOVO,MG,Deputado Federal,Raps;Renova
204510,Franco Cartafina,PHS,MG,Deputado Federal,Raps;Lemann
204509,Aurea Carolina,PSOL,MG,Deputado Federal,Muitas;Ocupa Política
204500,Eduardo Costa,PTB,PA,Deputado Federal,Raps
178912,Pedro Cunha Lima,PSDB,PB,Deputado Federal,Raps
74366,João Campos,PSB,PE,Deputado Federal,Raps;Lemann
157130,Túlio Gadêlha,PDT,PE,Deputado Federal,Nós
178922,Tadeu Alencar,PSB,PE,Deputado Federal,Raps
193726,Paulo Martins,PSC,PR,Deputado Federal,MBL
178832,Leandre,PV,PR,Deputado Federal,Raps
204433,Marcelo Calero,PPS,RJ,Deputado Federal,Livres;Agora!;Raps;Lemann;Renova
204461,Paulo Ganime,Novo,RJ,Deputado Federal,Renova
160511,Alessandro Molon,PSB,RJ,Deputado Federal,Raps
204455,Luiz Lima,PSL,RJ,Deputado Federal,Renova
204366,Rodrigo Coelho,PSB,SC,Deputado Federal,Raps
204536,Kim Kataguiri,DEM,SP,Deputado Federal,MBL
141391,Arnaldo Jardim,PPS,SP,Deputado Federal,Raps
204532,Vinicius Poit,NOVO,SP,Deputado Federal,Raps;Lemann;Renova
204530,Rodrigo Agostinho,PSB,SP,Deputado Federal,Raps
204543,Professor Luiz Flávio Gomes,PSB,SP,Deputado Federal,Raps
5905,Rodrigo Cunha,PSDB,AL,Senador,Raps
5012,Randolfe Rodrigues,Rede,AP,Senador,Raps
5982,Alessandro Vieira,Rede,SE,Senador,Renova;Acredito
5376,Mara Gabrilli,PSDB,SP,Senador,Raps
5907,Henrique Arruda,PROS,AL,Suplente De Senador,Livres
