id_parlamentar_voz,id_partido,id_tema,faltou,partido_liberou,nao_seguiu,seguiu,aderencia
13830,36769,99,0,0,0,0,-1
15236,36852,99,0,24,0,0,-1
1345,36886,99,2,0,6,18,0.75
15929,36837,99,2,0,5,18,0.782608695652174
15988,36837,99,7,0,4,15,0.7894736842105263
15502,36835,99,8,0,3,13,0.8125
11173,37906,99,2,0,4,20,0.8333333333333335
15967,36834,99,9,0,2,12,0.8571428571428571
15523,36834,99,1,0,3,19,0.8636363636363636
15718,37905,99,2,0,3,19,0.8636363636363636
15533,36896,99,1,0,3,20,0.8695652173913043
15783,36763,99,1,0,3,20,0.8695652173913043
122,37903,99,1,0,3,21,0.875
15905,36835,99,0,0,3,21,0.875
15976,36896,99,0,0,3,21,0.875
1470,36769,99,6,0,2,17,0.8947368421052632
15422,36769,99,5,0,2,18,0.9
15525,36834,99,3,0,2,18,0.9
15924,36896,99,4,0,2,18,0.9
190,36835,99,2,0,2,20,0.9090909090909091
11186,37903,99,2,0,2,21,0.9130434782608695
15979,36832,99,1,0,2,22,0.9166666666666665
1945,36896,99,0,0,2,22,0.9166666666666665
15537,36899,99,10,0,1,12,0.923076923076923
15385,36834,99,9,0,1,13,0.9285714285714286
170,36899,99,9,0,1,13,0.9285714285714286
15322,36896,99,6,0,1,16,0.9411764705882352
15535,36763,99,7,0,1,16,0.9411764705882352
15627,36844,99,5,0,1,17,0.9444444444444444
15748,36832,99,6,0,1,17,0.9444444444444444
15985,36834,99,6,0,1,17,0.9444444444444444
1285,36899,99,5,0,1,18,0.9473684210526315
15411,36786,99,4,0,1,18,0.9473684210526315
1677,36835,99,5,0,1,18,0.9473684210526315
15894,36837,99,6,0,1,19,0.95
15998,37903,99,5,0,1,19,0.95
14770,36835,99,3,0,1,20,0.9523809523809522
15531,36896,99,3,0,1,20,0.9523809523809522
15942,37905,99,3,0,1,20,0.9523809523809522
12331,36896,99,2,0,1,21,0.9545454545454546
15899,37903,99,3,0,1,21,0.9545454545454546
15585,36899,99,1,0,1,22,0.9565217391304348
1751,36834,99,1,0,1,22,0.9565217391304348
15540,36899,99,0,0,1,23,0.9583333333333335
15895,36832,99,0,0,1,24,0.96
11023,36769,99,20,0,0,4,1
11249,36786,99,2,0,0,21,1
13361,36899,99,15,0,0,9,1
13396,36835,99,5,0,0,18,1
135,36899,99,18,0,0,5,1
1374,36844,99,1,0,0,23,1
13806,36833,99,5,0,0,18,1
14531,36769,99,2,0,0,22,1
14545,36899,99,6,0,0,17,1
14560,36834,99,13,0,0,11,1
1475,36899,99,2,0,0,22,1
14981,36786,99,7,0,0,16,1
14994,36899,99,8,0,0,16,1
15008,36844,99,0,0,0,24,1
15012,36886,99,1,0,0,25,1
15350,37906,99,1,0,0,25,1
15352,36844,99,1,0,0,22,1
15376,36835,99,14,0,0,10,1
15527,36899,99,0,0,0,24,1
15529,36835,99,6,0,0,18,1
15557,37903,99,7,0,0,18,1
15561,36763,99,0,0,0,18,1
15666,36837,99,1,0,0,25,1
15732,36769,99,7,0,0,18,1
1581,36844,99,4,0,0,19,1
15926,36834,99,0,0,0,24,1
15953,36886,99,5,0,0,21,1
15959,36896,99,1,0,0,23,1
15973,36786,99,7,0,0,16,1
15982,37905,99,2,0,0,22,1
15990,36834,99,0,0,0,24,1
16027,36815,99,11,0,0,12,1
1739,37903,99,6,0,0,18,1
