id_proposicao,casa,projeto_lei,titulo,descricao,status_proposicao,status_importante
129807,senado,PEC 25/2017,NA,NA,Inativa,Ativa
135064,senado,MPV 870/2019,NA,NA,Inativa,Ativa
135079,senado,MPV 871/2019,NA,NA,Inativa,Ativa
136635,senado,PDL 233/2019,NA,NA,Inativa,Ativa
130029,senado,PLS 224/2017,NA,NA,Inativa,Ativa
