id_parlamentar,casa,nome_eleitoral,sg_partido,uf,grupo_atividade_economica,n_empresas,total_por_atividade,total_recebido_geral,proporcao_doacao,indice_ligacao_atividade_economica
1023,senado,Maria do Carmo Alves,DEM,SE,OUTRAS ATIVIDADES DE SERVIÇOS,2,0,0,0,0.5714285714285714
107283,camara,GLEISI HOFFMANN,PT,PR,OUTRAS ATIVIDADES PROFISSIONAIS,1,0,0,0,0.5714285714285714
108338,camara,JAQUELINE CASSOL,PP,RO,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,19000,2410862,0.007880998580590676,0.5748061422488246
108338,camara,JAQUELINE CASSOL,PP,RO,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",2,19000,2410862,0.007880998580590676,0.5748061422488246
108338,camara,JAQUELINE CASSOL,PP,RO,ATIVIDADES IMOBILIÁRIAS,1,19000,2410862,0.007880998580590676,0.5748061422488246
108338,camara,JAQUELINE CASSOL,PP,RO,ELETRICIDADE E GÁS,1,19000,2410862,0.007880998580590676,0.5748061422488246
108338,camara,JAQUELINE CASSOL,PP,RO,VIGILÂNCIA E LOCAÇÃO DE MÃO-DE-OBRA TERCEIRIZADA,1,19000,2410862,0.007880998580590676,0.5748061422488246
109429,camara,BENES LEOCÁDIO,REPUBLICANOS,RN,INFORMAÇÃO E COMUNICAÇÃO,1,104366.51666666668,1110005.7,0.09402340606599288,0.6117243168854255
109429,camara,BENES LEOCÁDIO,REPUBLICANOS,RN,OUTRAS ATIVIDADES DE SERVIÇOS,2,117824.85,1110005.7,0.10614796842935131,0.6169205578982934
112437,camara,JOÃO MARCELO SOUZA,MDB,MA,INFORMAÇÃO E COMUNICAÇÃO,1,0,0,0,0.5714285714285714
115746,camara,GELSON AZEVEDO,PL,RJ,OUTRAS ATIVIDADES ADMINISTRATIVAS,1,376800,379100,0.9939329992086521,0.997399856803708
116379,camara,DARCI DE MATOS,PSD,SC,ATIVIDADES IMOBILIÁRIAS,1,8040,303809,0.026463995470838587,0.5827702837732165
116379,camara,DARCI DE MATOS,PSD,SC,INFORMAÇÃO E COMUNICAÇÃO,1,714.2857142857143,303809,0.0023511012323062,0.5724361862424169
1173,senado,Wellington Fagundes,PL,MT,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",2,0,0,0,0.5714285714285714
1173,senado,Wellington Fagundes,PL,MT,INDÚSTRIA QUÍMICA,1,0,0,0,0.5714285714285714
1186,senado,Luis Carlos Heinze,PP,RS,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,110657.00710108606,2926797.21,0.03780822488247693,0.5876320963782043
1186,senado,Luis Carlos Heinze,PP,RS,INDÚSTRIA ALIMENTÍCIA E DE BEBIDAS,2,52829.229323308275,2926797.21,0.01805018439364587,0.5791643647401339
132504,camara,ENIO VERRI,PT,PR,EDUCAÇÃO,1,60905,967474.39,0.06295257076520651,0.5984082446136599
133439,camara,ANDRÉ FIGUEIREDO,PDT,CE,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",1,2434.5238095238096,822615,0.002959493577826577,0.5726969258190685
133439,camara,ANDRÉ FIGUEIREDO,PDT,CE,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",2,2750,822615,0.003342997635588945,0.5728612847009666
133439,camara,ANDRÉ FIGUEIREDO,PDT,CE,COMÉRCIO VAREJISTA,4,4600,822615,0.0055919233177124175,0.5738251099933054
133439,camara,ANDRÉ FIGUEIREDO,PDT,CE,VIGILÂNCIA E LOCAÇÃO DE MÃO-DE-OBRA TERCEIRIZADA,1,2059.5238095238096,822615,0.00250363026388263,0.5725015558273782
134812,camara,EDMILSON RODRIGUES,PSOL,PA,OUTRAS ATIVIDADES DE SERVIÇOS,1,2650,740751.79,0.0035774466370172386,0.572961762844436
137070,camara,VICENTINHO JÚNIOR,PL,TO,INFORMAÇÃO E COMUNICAÇÃO,2,12000,1392484,0.008617693273315886,0.5751218685457068
141391,camara,ARNALDO JARDIM,CIDADANIA,SP,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,99083.33230580909,2297998.1,0.04311723856769468,0.5899073879575835
141391,camara,ARNALDO JARDIM,CIDADANIA,SP,CONSTRUÇÃO,2,50095.43441938179,2297998.1,0.021799597840999864,0.5807712562175713
141391,camara,ARNALDO JARDIM,CIDADANIA,SP,OUTRAS ATIVIDADES DE SERVIÇOS,1,35057.23410576352,2297998.1,0.0152555539997024,0.5779666659998725
141398,camara,CARLOS ZARATTINI,PT,SP,OUTRAS ATIVIDADES DE SERVIÇOS,1,50580.555555555555,1382109.93,0.036596622640252326,0.5871128382743939
141405,camara,CELSO MALDANER,MDB,SC,ATIVIDADES IMOBILIÁRIAS,1,120003.71666666667,1747019.8900000001,0.06869052685294079,0.6008673686512603
141405,camara,CELSO MALDANER,MDB,SC,COMÉRCIO VAREJISTA,1,110003.71666666667,1747019.8900000001,0.0629664935678933,0.5984142115290971
141405,camara,CELSO MALDANER,MDB,SC,OUTRAS ATIVIDADES DE SERVIÇOS,1,116670.38333333335,1747019.8900000001,0.06678251575792496,0.6000496496105392
141408,camara,CLEBER VERDE,REPUBLICANOS,MA,"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",1,12333.333333333332,1092900,0.01128496050263824,0.5762649830725592
141408,camara,CLEBER VERDE,REPUBLICANOS,MA,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,3,9833.333333333332,1092900,0.008997468508860218,0.57528462936094
