cnpj,razao_social,capital_social,uf,porte,data_inicio_atividade,data_situacao_especial,situacao_especial,motivo_situacao_cadastral,cnae_tipo,cnae_codigo,cnae_descricao
33537978000146,PNEULANDIA AGROPECUARIA LIMITADA,0,GO,5,1989-12-21,NA,NA,1,cnae_fiscal,151201,
33537978000227,PNEULANDIA AGROPECUARIA LIMITADA,0,GO,5,1989-12-22,NA,NA,1,cnae_fiscal,151201,
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_fiscal,141501,
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,7711000,Locação de automóveis sem condutor
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,7120100,Testes e análises técnicas
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,5211701,Armazéns gerais - emissão de warrant
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,4930203,Transporte rodoviário de produtos perigosos
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal"
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,4683400,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo"
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,4623106,"Comércio atacadista de sementes, flores, plantas e gramas"
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,4622200,Comércio atacadista de soja
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,4621400,Comércio atacadista de café em grão
33544853000143,LACADOR INDUSTRIA E COMERCIO DE SEMENTES EIRELI,100000,MG,5,2019-05-07,NA,NA,0,cnae_secundario,163600,Atividades de pós-colheita
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_fiscal,151203,
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,7731400,Aluguel de máquinas e equipamentos agrícolas sem operador
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,5211799,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis"
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,4632003,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada"
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,4632001,Comércio atacadista de cereais e leguminosas beneficiados
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,4623101,Comércio atacadista de animais vivos
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,322101,Criação de peixes em água doce
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,210107,Extração de madeira em florestas plantadas
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,210101,Cultivo de eucalipto
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,163600,Atividades de pós-colheita
33574811000155,AGROPECUARIA DUAS MENINAS LTDA,60000,PA,5,2019-05-09,NA,NA,0,cnae_secundario,162899,Atividades de apoio à pecuária não especificadas anteriormente
