cnpj,razao_social,capital_social,uf,porte,data_inicio_atividade,data_situacao_especial,situacao_especial,motivo_situacao_cadastral,cnae_tipo,cnae_codigo,cnae_descricao
00469159000150,ECOPLAC AGROINDUSTRIAL LTDA,500000,PR,1,1995-02-01,NA,NA,0,cnae_fiscal,1621800,
00469159000150,ECOPLAC AGROINDUSTRIAL LTDA,500000,PR,1,1995-02-01,NA,NA,0,cnae_secundario,210107,Extração de madeira em florestas plantadas
00469159000150,ECOPLAC AGROINDUSTRIAL LTDA,500000,PR,1,1995-02-01,NA,NA,0,cnae_secundario,1610204,Serrarias sem desdobramento de madeira em bruto - Resseragem
00469159000150,ECOPLAC AGROINDUSTRIAL LTDA,500000,PR,1,1995-02-01,NA,NA,0,cnae_secundario,1610203,Serrarias com desdobramento de madeira em bruto
00469159000150,ECOPLAC AGROINDUSTRIAL LTDA,500000,PR,1,1995-02-01,NA,NA,0,cnae_secundario,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
00469159000150,ECOPLAC AGROINDUSTRIAL LTDA,500000,PR,1,1995-02-01,NA,NA,0,cnae_secundario,210101,Cultivo de eucalipto
00469159000150,ECOPLAC AGROINDUSTRIAL LTDA,500000,PR,1,1995-02-01,NA,NA,0,cnae_secundario,210103,Cultivo de pinus
01855402000130,MAJA-AGROPECUARIA LTDA,0,MT,5,1986-06-12,NA,NA,0,cnae_fiscal,162899,
01855402000130,MAJA-AGROPECUARIA LTDA,0,MT,5,1986-06-12,NA,NA,0,cnae_secundario,9319199,Outras atividades esportivas não especificadas anteriormente
01892725000102,SANTA FELICIDADE AGROPECUARIA EIRELI,5630000,BA,5,1997-06-11,NA,NA,0,cnae_fiscal,132600,
01892725000102,SANTA FELICIDADE AGROPECUARIA EIRELI,5630000,BA,5,1997-06-11,NA,NA,0,cnae_secundario,133410,Cultivo de manga
01892725000285,SANTA FELICIDADE AGROPECUARIA EIRELI,0,BA,5,2013-11-11,NA,NA,0,cnae_fiscal,133410,
01892725000285,SANTA FELICIDADE AGROPECUARIA EIRELI,0,BA,5,2013-11-11,NA,NA,0,cnae_secundario,132600,Cultivo de uva
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_fiscal,4221902,
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,7119704,Serviços de perícia técnica relacionados à segurança do trabalho
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,7112000,Serviços de engenharia
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,6920601,Atividades de contabilidade
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,7319099,Outras atividades de publicidade não especificadas anteriormente
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,7311400,Agências de publicidade
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,8011101,Atividades de vigilância e segurança privada
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,8230001,"Serviços de organização de feiras, congressos, exposições e festas"
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,9001906,Atividades de sonorização e de iluminação
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,4530704,Comércio a varejo de peças e acessórios usados para veículos automotores
01914786000115,ELETROSERVICE LTDA,550000,RO,1,1997-06-20,NA,NA,1,cnae_secundario,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores
