id,casa,discurso_normalizado
160508,camara,0
136811,camara,0
178835,camara,0
160527,camara,0
178836,camara,0
160559,camara,0
160511,camara,0
178972,camara,0.3333333333333333
160545,camara,0
178833,camara,0
74057,camara,0
178927,camara,0
178937,camara,0.3333333333333333
178881,camara,-1
178831,camara,0
74471,camara,0
133439,camara,0
178882,camara,0
74212,camara,0
160553,camara,0
73433,camara,0
141391,camara,0
160541,camara,-0.6666666666666666
160600,camara,0
159237,camara,0
74090,camara,0
74459,camara,0
160665,camara,0
160512,camara,0.3333333333333333
69871,camara,1
178975,camara,0
73701,camara,0
141335,camara,0
178948,camara,0
141513,camara,0
160538,camara,0
74052,camara,-0.3333333333333333
160589,camara,0.3333333333333333
93083,camara,0
178829,camara,0
141401,camara,0.3333333333333333
178962,camara,0
178993,camara,0
74262,camara,-0.3333333333333333
141398,camara,0
164360,camara,0
178876,camara,0
141405,camara,0
73441,camara,0
141439,camara,0
178928,camara,0
178939,camara,0
74537,camara,0
141408,camara,0
141411,camara,0
74467,camara,-0.3333333333333333
74060,camara,0
178916,camara,1
160528,camara,0
160552,camara,0
73891,camara,0
178908,camara,0
164359,camara,0
160588,camara,0
178929,camara,-0.3333333333333333
160599,camara,0
143632,camara,0
160758,camara,0
178994,camara,0
141417,camara,0
134812,camara,0
74655,camara,0
92346,camara,0
178977,camara,0
141421,camara,0
141422,camara,0
74075,camara,-0.3333333333333333
160532,camara,0
178854,camara,-0.3333333333333333
132504,camara,0
160575,camara,0
160640,camara,0
178871,camara,0
178930,camara,0
178953,camara,0
141428,camara,-0.3333333333333333
178969,camara,0
141427,camara,0
171623,camara,0
160587,camara,0.3333333333333333
66828,camara,0
72442,camara,0
160666,camara,0
141431,camara,0
92699,camara,0
160598,camara,0.6666666666666666
141434,camara,0
191923,camara,0
160669,camara,0
178966,camara,0
74383,camara,0
74270,camara,0
160673,camara,0
178996,camara,0
152605,camara,0
74419,camara,0
160667,camara,0
178964,camara,0
178873,camara,0
178909,camara,0
73482,camara,0
178981,camara,0
73772,camara,0
178884,camara,0
178959,camara,0
141450,camara,0
