id,casa,nome_eleitoral,sg_partido,uf,genero,idade,tem_propriedade_rural,total_declarado_propriedade_rural,tem_empresa_agricola,proporcao_doacoes_agro,tem_empresa_agroexportadora,proporcao_doacoes_agroexportadoras,indice_vinculo_economico_agro,frente_agropecuaria,frente_mineracao,frente_livre_mercado,combo_agro_mineracao_lm,combo_5_frentes_progressistas,discurso_normalizado,aderencia,proposicoes_meio_ambiente_indice,requerimentos_informacao_agro_mma_indice,indice_ativismo_ambiental,participou_movimento_renovacao,investimento_partidario,numero_de_mandatos,indice_comissoes,indice_liderancas,indice_cargo_mesa,indice_influencia_parlamentar
160508,camara,AFONSO FLORENCE,PT,BA,M,59,1,250000,0,0,0,0,0.2222222222222222,0,0,0,0,1,0,0.9,0.25,0,0.40869565217391307,0,0.00955583682541757,3,0.022727272727272728,0.25,0,0.15645662191053805
136811,camara,AFONSO HAMM,PP,RS,M,57,1,1000421.15,0,0.00257592540120038,0,0,0.22308086402262234,1,1,1,1,0,0,0,0,0,-0.08695652173913043,0,0.0117156268151458,5,0.11363636363636363,0,0,0.19173706475696856
178835,camara,AFONSO MOTTA,PDT,RS,M,69,1,10677802.94,0,0.00625644687747931,0,0,0.22430770451471535,1,0,0,0.3333333333333333,0.6,0,0,0.25,0,0.11014492753623188,0,0.0265906922026616,3,0.022727272727272728,0.25,0,0.15986359298598685
160527,camara,AGUINALDO RIBEIRO,PP,PB,M,50,0,0,1,0.172782016689731,0,0,0.5020384500076881,1,1,1,1,0,0,0,0,0,-0.08695652173913043,0,0.00889089533298455,5,0.022727272727272728,0.375,0,0.24799030027871813
178836,camara,ALAN RICK,DEM,AC,M,43,0,0,0,0,0,0,0,1,1,1,1,0.2,0,0,0,0,-0.06956521739130435,0,0.00863735035860527,2,0.045454545454545456,0,0,0.0774850458292968
160559,camara,ALCEU MOREIRA,MDB,RS,M,65,1,18000,0,0.0977543833065475,0,0.074003318308793,0.2548070166577381,1,1,1,1,0,0,0,0.5,0.25,0.13043478260869565,0,0.0117712051115445,6,0.022727272727272728,0,0,0.20689969556776347
160511,camara,ALESSANDRO MOLON,PSB,RJ,M,48,0,0,0,0.0477638882313663,0,0.020766907926681,0.015921296077122102,0,0,0,0,0.4,0,0.9375,1,0.25,0.6706521739130435,1,0.0347477631765801,5,0,0.375,0,0.2486162193019827
178972,camara,ALEX MANENTE,CIDADANIA,SP,M,40,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.4,0.3333333333333333,0,0,0,0.049275362318840575,0,0.0749809688184228,5,0.022727272727272728,0,0,0.18620831497580576
160545,camara,ALEXANDRE LEITE,DEM,SP,M,30,0,0,0,0,0,0,0,1,1,1,1,0.2,0,0,0,0,-0.06956521739130435,0,0.0217422759652827,3,0.045454545454545456,0.25,0,0.16343936428396563
178833,camara,ALEXANDRE SERFIOTIS,PSD,RJ,M,43,0,0,0,0,0,0,0,1,1,0,0.6666666666666666,0.6,0,0,0,0,-0.005797101449275361,0,0.028648470468858,2,0.2727272727272727,0,0,0.12694181530589282
74057,camara,ALICE PORTUGAL,PCdoB,BA,F,60,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.9473684210526316,0,0,0.3167048054919908,0,0.078907192089703,6,0.36363636363636365,0.25,0,0.3385087111452133
178927,camara,ALIEL MACHADO,PSB,PR,M,30,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,1,0,0.9285714285714286,0,0,0.3002070393374741,0,0.0233079289110365,3,0.022727272727272728,0.25,0,0.15920704032766184
178937,camara,ALTINEU CÔRTES,PL,RJ,M,51,1,1106647.31,0,0,0,0,0.2222222222222222,1,1,1,1,0.2,0.3333333333333333,0,0.5,0,0.14782608695652175,0,0.0193888300064042,5,0.022727272727272728,0.25,0,0.22508988721340203
178881,camara,ALUISIO MENDES,PSC,MA,M,57,0,0,0,0,0,0,0,0,1,1,0.6666666666666666,0.8,-1,0.2222222222222221,0,0,-0.06086956521739134,0,0,2,0.06818181818181818,0,0,0.08030303030303029
178831,camara,ANDRÉ ABDON,PP,AP,M,48,0,0,0,0,0,0,0,1,1,1,1,0.6,0,0,0,0,-0.034782608695652174,0,0.0106322925947599,2,0.022727272727272728,0,0,0.07333857973107319
74471,camara,ANDRÉ DE PAULA,PSD,PE,M,58,0,0,0,0.00308479371452304,0,0.00154239685726152,0.0010282645715076798,0,1,0,0.3333333333333333,0.6,0,0,0.5,0,0.1971014492753623,0,0.0167441531070431,6,0.022727272727272728,0.375,0,0.28289428516686316
133439,camara,ANDRÉ FIGUEIREDO,PDT,CE,M,52,1,112500,0,0.00243127100770105,0,0,0.2230326458914559,0,0,0,0,0.4,0,1,0.5,0,0.46956521739130436,0,0.0359035630963812,4,0.045454545454545456,0.375,0,0.22460495504351866
