id.x,nome_eleitoral.x,sg_partido.x,uf.x,coautores_ambientalistas,total_peso_relacao_ambientalistas
157130,TÚLIO GADÊLHA,PDT,PE,"ORLANDO SILVA, ERIKA KOKAY, BOHN GASS, VICENTINHO, DANIEL ALMEIDA, AIRTON FALEIRO, CHICO D'ANGELO, ÁUREA CAROLINA, MARIA DO ROSÁRIO, JANDIRA FEGHALI, PAULO TEIXEIRA, WALDENOR PEREIRA, ALIEL MACHADO, TABATA AMARAL, WOLNEY QUEIROZ, ALICE PORTUGAL, JHC, FELIPE CARRERAS, JOÃO H. CAMPOS, PROFESSOR ISRAEL BATISTA, TALÍRIA PETRONE, LUIZ FLÁVIO GOMES, MARCELO FREIXO, JOENIA WAPICHANA, DANILO CABRAL, RODRIGO AGOSTINHO, TADEU ALENCAR, LEONARDO MONTEIRO, NILTO TATTO, CARLOS VERAS",2.692099567099567
135054,CRISTIANO VALE,PL,PA,"JOÃO DANIEL, MARCON, HEITOR SCHUCH, BETO FARO, FREI ANASTACIO RIBEIRO, VALMIR ASSUNÇÃO, ZÉ CARLOS, CARLOS VERAS, CÉLIO MOURA, JESUS SÉRGIO, RODRIGO AGOSTINHO, SILVIA CRISTINA",0.1375
66828,FAUSTO PINATO,PP,SP,"JOÃO DANIEL, MARCON, HEITOR SCHUCH, BETO FARO, FREI ANASTACIO RIBEIRO, VALMIR ASSUNÇÃO, ZÉ CARLOS, CARLOS VERAS, CÉLIO MOURA, JESUS SÉRGIO, RODRIGO AGOSTINHO, SILVIA CRISTINA, LEANDRE, CAMILO CAPIBERIBE, JHC, ALICE PORTUGAL, DANIEL ALMEIDA, FÉLIX MENDONÇA JÚNIOR, NELSON PELLEGRINO, ANDRÉ FIGUEIREDO, CÉLIO STUDART, LEÔNIDAS CRISTINO, WOLNEY QUEIROZ, JOÃO H. CAMPOS, PAULÃO, LÍDICE DA MATA, PROFESSOR ISRAEL BATISTA, JÚLIO DELGADO, TALÍRIA PETRONE, ARLINDO CHINAGLIA, CARLOS ZARATTINI, IVAN VALENTE, ROSANA VALLE, TABATA AMARAL, ALIEL MACHADO, MARIA DO ROSÁRIO",0.14210829493087557
204440,CHRISTINO AUREO,PP,RJ,"JOÃO DANIEL, MARCON, HEITOR SCHUCH, BETO FARO, FREI ANASTACIO RIBEIRO, VALMIR ASSUNÇÃO, ZÉ CARLOS, CARLOS VERAS, CÉLIO MOURA, JESUS SÉRGIO, RODRIGO AGOSTINHO, SILVIA CRISTINA",0.1375
178871,EVAIR VIEIRA DE MELO,PP,ES,"JOÃO DANIEL, MARCON, HEITOR SCHUCH, BETO FARO, FREI ANASTACIO RIBEIRO, VALMIR ASSUNÇÃO, ZÉ CARLOS, CARLOS VERAS, CÉLIO MOURA, JESUS SÉRGIO, RODRIGO AGOSTINHO, SILVIA CRISTINA, LEANDRE, CAMILO CAPIBERIBE, JHC, ALICE PORTUGAL, DANIEL ALMEIDA, FÉLIX MENDONÇA JÚNIOR, NELSON PELLEGRINO, ANDRÉ FIGUEIREDO, CÉLIO STUDART, LEÔNIDAS CRISTINO, WOLNEY QUEIROZ, JOÃO H. CAMPOS, PAULÃO, LÍDICE DA MATA, PROFESSOR ISRAEL BATISTA, JÚLIO DELGADO, TALÍRIA PETRONE, ARLINDO CHINAGLIA, CARLOS ZARATTINI, IVAN VALENTE, ROSANA VALLE, TABATA AMARAL, ALIEL MACHADO, MARIA DO ROSÁRIO",0.14210829493087557
204471,MARA ROCHA,PSDB,AC,"JOÃO DANIEL, MARCON, HEITOR SCHUCH, BETO FARO, FREI ANASTACIO RIBEIRO, VALMIR ASSUNÇÃO, ZÉ CARLOS, CARLOS VERAS, CÉLIO MOURA, JESUS SÉRGIO, RODRIGO AGOSTINHO, SILVIA CRISTINA, PERPÉTUA ALMEIDA, LEANDRE, CAMILO CAPIBERIBE, JHC, ALICE PORTUGAL, DANIEL ALMEIDA, FÉLIX MENDONÇA JÚNIOR, NELSON PELLEGRINO, ANDRÉ FIGUEIREDO, CÉLIO STUDART, LEÔNIDAS CRISTINO, WOLNEY QUEIROZ, JOÃO H. CAMPOS, PAULÃO, LÍDICE DA MATA, PROFESSOR ISRAEL BATISTA, JÚLIO DELGADO, TALÍRIA PETRONE, ARLINDO CHINAGLIA, CARLOS ZARATTINI, IVAN VALENTE, ROSANA VALLE, TABATA AMARAL, ALIEL MACHADO, MARIA DO ROSÁRIO",0.7532194060419867
205863,MARCELO BRUM,PSL,RS,"JOÃO DANIEL, MARCON, HEITOR SCHUCH, BETO FARO, FREI ANASTACIO RIBEIRO, VALMIR ASSUNÇÃO, ZÉ CARLOS, CARLOS VERAS, CÉLIO MOURA, JESUS SÉRGIO, RODRIGO AGOSTINHO, SILVIA CRISTINA",0.1375
204467,PROFESSORA ROSA NEIDE,PT,MT,"ALENCAR SANTANA BRAGA, MARGARIDA SALOMÃO, ALICE PORTUGAL, REGINALDO LOPES, PATRUS ANANIAS, NILTO TATTO, GLAUBER BRAGA, NATÁLIA BONAVIDES, WALDENOR PEREIRA, HELDER SALOMÃO, PEDRO UCZAI, MARÍLIA ARRAES, MARIA DO ROSÁRIO, REJANE DIAS, ALIEL MACHADO, PROFESSOR ISRAEL BATISTA, BIRA DO PINDARÉ, DANILO CABRAL, AFONSO FLORENCE, AIRTON FALEIRO, ALEXANDRE PADILHA, ARLINDO CHINAGLIA, BETO FARO, BOHN GASS, CARLOS VERAS, CARLOS ZARATTINI, CÉLIO MOURA, ENIO VERRI, ERIKA KOKAY, FREI ANASTACIO RIBEIRO, HENRIQUE FONTANA, JOÃO DANIEL, JORGE SOLLA, JOSÉ GUIMARÃES, JOSÉ RICARDO, JOSEILDO RAMOS, LEONARDO MONTEIRO, LUIZIANNE LINS, MARCON, NELSON PELLEGRINO, PADRE JOÃO, PAULÃO, PAULO GUEDES, PAULO TEIXEIRA, RUBENS OTONI, RUI FALCÃO, VALMIR ASSUNÇÃO, VICENTINHO, ZÉ CARLOS, ZÉ NETO, LUIZA ERUNDINA",8.923971898805208
204533,IDILVAN ALENCAR,PDT,CE,ALENCAR SANTANA BRAGA,0.3333333333333333
178977,EDUARDO CURY,PSDB,SP,"ALESSANDRO MOLON, FLÁVIA MORAIS, ANDRÉ FIGUEIREDO, JHC, TABATA AMARAL, FELIPE CARRERAS, JOÃO H. CAMPOS, PROFESSOR ISRAEL BATISTA, ORLANDO SILVA, LEANDRE, SILVIA CRISTINA, JESUS SÉRGIO, CAMILO CAPIBERIBE, ALICE PORTUGAL, DANIEL ALMEIDA, FÉLIX MENDONÇA JÚNIOR, NELSON PELLEGRINO, CÉLIO STUDART, LEÔNIDAS CRISTINO, WOLNEY QUEIROZ, PAULÃO, LÍDICE DA MATA, JÚLIO DELGADO, TALÍRIA PETRONE, ARLINDO CHINAGLIA, CARLOS ZARATTINI, IVAN VALENTE, ROSANA VALLE, ALIEL MACHADO, HEITOR SCHUCH, MARCON, MARIA DO ROSÁRIO",0.6431364334590141
204371,FELIPE RIGONI,PSB,ES,"PROFESSOR ISRAEL BATISTA, TABATA AMARAL, RODRIGO AGOSTINHO, ROSANA VALLE, FELIPE CARRERAS, LUIZ FLÁVIO GOMES, JESUS SÉRGIO, TED CONTI, LIZIANE BAYER, ALESSANDRO MOLON, ALIEL MACHADO, DANILO CABRAL, BIRA DO PINDARÉ, JOÃO H. CAMPOS, DENIS BEZERRA, HEITOR SCHUCH, JHC, TADEU ALENCAR, ENIO VERRI, CAMILO CAPIBERIBE, GERVÁSIO MAIA, LÍDICE DA MATA, MARCELO NILO, MAURO NAZIF, ELIAS VAZ, LEANDRE, JOENIA WAPICHANA, ORLANDO SILVA, SILVIA CRISTINA, ALICE PORTUGAL, DANIEL ALMEIDA, FÉLIX MENDONÇA JÚNIOR, NELSON PELLEGRINO, ANDRÉ FIGUEIREDO, CÉLIO STUDART, LEÔNIDAS CRISTINO, WOLNEY QUEIROZ, PAULÃO, JÚLIO DELGADO, TALÍRIA PETRONE, ARLINDO CHINAGLIA, CARLOS ZARATTINI, IVAN VALENTE, MARCON, MARIA DO ROSÁRIO",7.186187343901229
