id,nome_eleitoral,sg_partido
178957,ABEL MESQUITA JR. - DEM/RR,DEM
178864,ADAIL CARNEIRO - PODE/CE,PODE
178914,ADALBERTO CAVALCANTI - AVANTE/PE,AVANTE
178890,ADELMO CARNEIRO LEÃO - PT/MG,PT
178968,ADELSON BARRETO - PR/SE,PR
133374,ADEMIR CAMILO - MDB/MG,MDB
196359,ADÉRMIS MARINI - PSDB/SP,PSDB
178903,ADILTON SACHETTI - PRB/MT,PRB
141372,AELTON FREITAS - PR/MG,PR
160508,AFONSO FLORENCE - PT/BA,PT
136811,AFONSO HAMM - PP/RS,PP
178835,AFONSO MOTTA - PDT/RS,PDT
160527,AGUINALDO RIBEIRO - PP/PB,PP
178836,ALAN RICK - DEM/AC,DEM
160582,ALBERTO FILHO - PP/MA,PP
73579,ALBERTO FRAGA - DEM/DF,DEM
160559,ALCEU MOREIRA - MDB/RS,MDB
160511,ALESSANDRO MOLON - PSB/RJ,PSB
73458,ALEX CANZIANI - PTB/PR,PTB
178972,ALEX MANENTE - CIDADANIA/SP,CIDADANIA
178875,ALEXANDRE BALDY - PP/GO,PP
160545,ALEXANDRE LEITE - DEM/SP,DEM
178833,ALEXANDRE SERFIOTIS - PSD/RJ,PSD
178936,ALEXANDRE VALLE - PR/RJ,PR
141454,ALFREDO KAEFER - PP/PR,PP
178846,ALFREDO NASCIMENTO - PR/AM,PR
74057,ALICE PORTUGAL - PCdoB/BA,PCdoB
178927,ALIEL MACHADO - PSB/PR,PSB
178937,ALTINEU CÔRTES - PR/RJ,PR
178881,ALUISIO MENDES - PODE/MA,PODE
178973,ANA PERUGINI - PT/SP,PT
160551,ANDERSON FERREIRA - PR/PE,PR
178831,ANDRÉ ABDON - PP/AP,PP
195143,ANDRÉ AMARAL - PROS/PB,PROS
74471,ANDRÉ DE PAULA - PSD/PE,PSD
133439,ANDRÉ FIGUEIREDO - PDT/CE,PDT
178882,ANDRÉ FUFUCA - PP/MA,PP
160543,ANDRE MOURA - PSC/SE,PSC
141379,ANDREIA ZITO - PSDB/RJ,PSDB
178974,ANDRES SANCHEZ - PT/SP,PT
192120,ANGELA ALBINO - PCdoB/SC,PCdoB
178837,ANGELIM - PT/AC,PT
74212,ANÍBAL GOMES - DEM/CE,DEM
74213,ANTONIO BALHMANN - PDT/CE,PDT
160553,ANTONIO BRITO - PSD/BA,PSD
141383,ANTONIO BULHÕES - PRB/SP,PRB
73584,ANTONIO CARLOS MENDES THAME - PV/SP,PV
160530,ANTONIO IMBASSAHY - PSDB/BA,PSDB
178950,ANTÔNIO JÁCOME - PODE/RN,PODE
74103,ARIOSTO HOLANDA - PDT/CE,PDT
73433,ARLINDO CHINAGLIA - PT/SP,PT
73434,ARNALDO FARIA DE SÁ - PP/SP,PP
141391,ARNALDO JARDIM - CIDADANIA/SP,CIDADANIA
160602,ARNALDO JORDY - PPS/PA,PPS
74291,ARNON BEZERRA - PTB/CE,PTB
74833,AROLDE DE OLIVEIRA - PSD/RJ,PSD
160541,ARTHUR LIRA - PP/AL,PP
160600,ARTHUR OLIVEIRA MAIA - DEM/BA,DEM
178847,ARTHUR VIRGÍLIO BISNETO - PSDB/AM,PSDB
159237,ASSIS CARVALHO - PT/PI,PT
74378,ASSIS DO COUTO - PDT/PR,PDT
160581,ASSIS MELO - PCdoB/RS,PCdoB
193165,ÁTILA A. NUNES - MDB/RJ,MDB
74090,ÁTILA LINS - PP/AM,PP
74459,ÁTILA LIRA - PSB/PI,PSB
73655,AUGUSTO CARVALHO - SOLIDARIEDADE/DF,SOLIDARIEDADE
160665,AUGUSTO COUTINHO - SOLIDARIEDADE/PE,SOLIDARIEDADE
160512,AUREO RIBEIRO - SOLIDARIEDADE/RJ,SOLIDARIEDADE
69871,BACELAR - PODE/BA,PODE
178975,BALEIA ROSSI - MDB/SP,MDB
178834,BEBETO - PSB/BA,PSB
73701,BENEDITA DA SILVA - PT/RJ,PT
74535,BENITO GAMA - PTB/BA,PTB
74040,BENJAMIN MARANHÃO - MDB/PB,MDB
178915,BETINHO GOMES - PSDB/PE,PSDB
141335,BETO FARO - PT/PA,PT
73437,BETO MANSUR - MDB/SP,MDB
178948,BETO ROSADO - PP/RN,PP
178906,BETO SALAME - PP/PA,PP
141513,BILAC PINTO - DEM/MG,DEM
160538,BOHN GASS - PT/RS,PT
74650,BONIFÁCIO DE ANDRADA - DEM/MG,DEM
74052,BOSCO COSTA - PR/SE,PR
160589,BRUNA FURLAN - PSDB/SP,PSDB
178999,BRUNNY - PR/MG,PR
141394,BRUNO ARAÚJO - PSDB/PE,PSDB
178976,BRUNO COVAS - PSDB/SP,PSDB
178938,CABO DACIOLO - PATRI/RJ,PATRI
