id_req,id,peso_arestas
2193944,204378,1
2193946,204550,1
2193947,178964,1
2193948,178964,1
2193949,73531,0.125
2193949,134812,0.125
2193949,152605,0.125
2193949,204407,0.125
2193949,204464,0.125
2193949,204509,0.125
2193949,204535,0.125
2193949,205548,0.125
2193950,204388,1
2193951,178929,1
2193952,178986,1
2193953,178986,1
2193954,73531,0.1111111111111111
2193954,76874,0.1111111111111111
2193954,134812,0.1111111111111111
2193954,152605,0.1111111111111111
2193954,204407,0.1111111111111111
2193954,204464,0.1111111111111111
2193954,204509,0.1111111111111111
2193954,204535,0.1111111111111111
2193954,205548,0.1111111111111111
2193955,204395,1
2193956,135054,0.125
2193956,160535,0.125
2193956,160632,0.125
2193956,204386,0.125
2193956,204395,0.125
2193956,204400,0.125
2193956,204403,0.125
2193956,204449,0.125
2193957,160535,0.5
2193957,204426,0.5
2193958,159237,1
2193959,204391,1
2193960,204391,1
2193961,160535,0.5
2193961,204426,0.5
2193962,160535,1
2193963,204551,1
2193964,204456,1
2193966,178993,1
2193967,178993,1
2193968,178993,1
2193969,178993,1
2193970,204361,1
2193973,204352,1
2193974,204352,1
2193976,73891,1
2193979,178985,1
2193983,204488,1
2193985,204386,1
2193986,74161,1
2193987,204533,1
2193988,74052,1
2193994,204481,1
2193995,204497,1
2193996,204418,1
2193999,204481,1
2194000,204481,1
2194001,204406,1
2194004,204548,1
2194005,204506,1
2194007,204449,1
2194008,204506,1
2194009,204506,1
2194010,204551,0.5
2194010,204559,0.5
2194011,204575,1
2194012,204545,1
2194013,204541,1
2194017,204476,1
2194019,141508,1
2194020,204539,1
2194022,204397,1
2194024,204397,1
2194025,204397,1
2194026,204397,1
2194028,204447,1
2194029,204565,1
2194030,178836,1
2194031,204395,1
2194032,204501,1
2194033,73943,1
2194034,196358,1
2194035,204529,1
2194036,141391,1
2194037,73943,1
2194038,160587,1
2194039,160587,1
2194040,160587,1
2194041,204447,1
2194042,204447,1
2194043,73943,1
2194045,73943,1
2194047,73943,0.25
2194047,74848,0.25
2194047,160511,0.25
2194047,178987,0.25
2194048,178925,1
2194049,90842,1
2194050,73788,1
2194051,160653,1
2194052,74052,0.07692307692307693
2194052,74299,0.07692307692307693
2194052,137070,0.07692307692307693
2194052,141450,0.07692307692307693
2194052,160545,0.07692307692307693
2194052,178874,0.07692307692307693
2194052,204352,0.07692307692307693
2194052,204385,0.07692307692307693
2194052,204469,0.07692307692307693
2194052,204492,0.07692307692307693
2194052,204502,0.07692307692307693
2194052,204521,0.07692307692307693
2194052,204525,0.07692307692307693
2194053,204496,1
2194054,204544,1
2194055,204450,1
2194056,204450,1
2194057,204454,1
2194058,160598,1
2194059,141508,0.5
2194059,160598,0.5
2194060,160598,1
2194061,160598,1
2194062,160598,1
2194063,141428,1
2194064,160598,1
2194065,160598,1
2194066,160598,1
2194067,160598,1
2194069,160598,1
2194070,160598,1
2194071,204555,1
2194072,160598,1
2194073,160598,1
2194074,160598,1
2194075,73943,0.5
2194075,141553,0.5
2194076,204457,1
2194077,141439,0.16666666666666666
2194077,157130,0.16666666666666666
2194077,204433,0.16666666666666666
2194077,204455,0.16666666666666666
2194077,204495,0.16666666666666666
2194077,204509,0.16666666666666666
2194079,73531,1
2194081,73531,1
2194082,204392,1
2194083,160575,0.5
2194083,204433,0.5
2194084,204435,1
2194085,204435,1
2194086,204426,1
2194088,74366,1
2194089,204372,1
2194090,204372,1
2194091,204548,1
2194094,204548,1
2194096,204372,1
2194097,74655,0.5
2194097,204429,0.5
2194098,74655,0.5
2194098,204429,0.5
2194099,73701,0.14285714285714285
2194099,74398,0.14285714285714285
2194099,74848,0.14285714285714285
2194099,141439,0.14285714285714285
