id_principal,id_relacionada
2196833,2203221
2196833,2203355
2192459,2199624
2192459,2199625
2192459,2199779
2192459,2200218
2192459,2200893
2192459,2201763
2192459,2202176
2192459,2203457
2192459,2203499
2192459,2203537
2192459,2203548
2192459,2203549
2192459,2203565
2192459,2203631
2192459,2203690
2192459,2204003
2192459,2204224
2192459,2204242
2192459,2204261
2192459,2204263
2192459,2204284
2192459,2204287
2192459,2204310
2192459,2204443
2192459,2204456
2192459,2204496
2192459,2204504
2192459,2204506
2192459,2204507
2192459,2204571
2192459,2204580
2192459,2204582
2192459,2204617
2192459,2204618
2192459,2204619
2192459,2204621
2192459,2204631
2192459,2204639
2192459,2204658
2192459,2204662
2192459,2204663
2192459,2204672
2192459,2204748
2192459,2204749
2192459,2204832
2192459,2204833
2192459,2204835
2192459,2204836
2192459,2204837
2192459,2204838
2192459,2204839
2192459,2204840
2192459,2204841
2192459,2204842
2192459,2204957
2192459,2205023
2192459,2205024
2192459,2205160
2192459,2205162
2192459,2205163
2192459,2205165
2192459,2205208
2192459,2205213
2192459,2205251
2192459,2205262
2192459,2205280
2192459,2205343
2192459,2205344
2192459,2205345
2192459,2205352
2192459,2205353
2192459,2205398
2192459,2205439
2192459,2205451
2192459,2205535
2192459,2205543
2192459,2205545
2192459,2205548
2192459,2205560
2192459,2205564
2192459,2205582
2192459,2205583
2192459,2205588
2192459,2205590
2192459,2205591
2192459,2205592
2192459,2205593
2192459,2205594
2192459,2205595
2192459,2205596
2192459,2205599
2192459,2205605
2192459,2205608
2192459,2205610
2192459,2205611
2192459,2205612
2192459,2205619
2192459,2205621
2192459,2205622
2192459,2205625
2192459,2205626
2192459,2205627
2192459,2205628
2192459,2205629
2192459,2205630
2192459,2205631
2192459,2205633
2192459,2205635
2192459,2205636
2192459,2205638
2192459,2205640
2192459,2205641
2192459,2205642
2192459,2205643
2192459,2205653
2192459,2205662
2192459,2205684
2192459,2205692
2192459,2205698
2192459,2205720
2192459,2205723
2192459,2205727
2192459,2205728
2192459,2205731
2192459,2205732
2192459,2205733
2192459,2205734
2192459,2205737
2192459,2205740
2192459,2205741
2192459,2205742
2192459,2205743
2192459,2205744
2192459,2205745
2192459,2205747
2192459,2205751
2192459,2205752
2192459,2205759
2192459,2205762
2192459,2205763
2192459,2205764
2192459,2205765
2192459,2205766
2192459,2205767
2192459,2205778
2192459,2205786
2192459,2205789
2192459,2205792
2192459,2205795
2192459,2205802
2192459,2205809
2192459,2205812
2192459,2205814
2192459,2205830
2192459,2205832
2192459,2205836
2192459,2205839
2192459,2205842
2192459,2205850
2192459,2205853
2192459,2205858
2192459,2205861
2192459,2205864
2192459,2205866
2192459,2205875
2192459,2205876
2192459,2205877
2192459,2205878
2192459,2205880
2192459,2205882
2192459,2205885
2192459,2205886
2192459,2205887
2192459,2205892
2192459,2205893
2192459,2205894
2192459,2205895
2192459,2205899
2192459,2205900
2192459,2205907
2192459,2205912
2192459,2205913
2192459,2205922
2192459,2205923
2192459,2205924
2192459,2205926
2192459,2205929
2192459,2205931
2192459,2205932
2192459,2205933
2192459,2205934
2192459,2205935
2192459,2205936
2192459,2205942
2192459,2205943
2192459,2205946
2192459,2205947
2192459,2205948
2192459,2205949
2192459,2205950
2192459,2205951
2192459,2205952
2192459,2205953
2192459,2205954
2192459,2205956
2192459,2205957
2192459,2205958
2192459,2205959
2192459,2205961
2192459,2205968
2192459,2205969
2192459,2205970
2192459,2205972
2192459,2205974
2192459,2205975
2192459,2205976
2192459,2205977
2192459,2205979
2192459,2205980
2192459,2205981
2192459,2205982
2192459,2205983
2192459,2205984
2192459,2205986
2192459,2205987
2192459,2205989
2192459,2205996
2192459,2193934
2192459,2194773
2192459,2198888
2192459,2198889
2192459,2199373
2192459,2199381
2192459,2199382
2192459,2199411
2192459,2199412
2192459,2199414
2192459,2199416
2192459,2199991
2192459,2199993
2192459,2199996
2192459,2200002
2192459,2200003
2192459,2200004
2192459,2200005
2192459,2200006
2192459,2200007
2192459,2200008
2192459,2200011
2192459,2200014
2192459,2200016
2192459,2200019
2192459,2200021
2192459,2200023
2192459,2200024
2192459,2200027
2192459,2200028
2192459,2200029
2192459,2200030
2192459,2200031
2192459,2200033
2192459,2200034
2192459,2200036
2192459,2200037
2192459,2200038
2192459,2200039
2192459,2200040
2192459,2200041
2192459,2200077
2192459,2201467
2192459,2202972
2192459,2204607
2192459,2205753
2192459,2206005
2192459,2206006
2192459,2199054
2192459,2197810
2192459,2198211
2192459,2198214
2192459,2198547
2192459,2198578
2192980,2192980
2193367,2193367
2193468,2193468
2190422,2190422
2193767,2195526
2193767,2193767
2193954,2193954
2190423,2190423
2194130,2194130
2190425,2190425
2194990,2194990
2195043,2195043
2190432,2190432
2195526,2195526
2195599,2195599
2195694,2196881
2195738,2195738
2190446,2190446
2190448,2190448
2196501,2196501
2196571,2196571
2190449,2190449
2190450,2190450
2197199,2197199
2190452,2190452
2197769,2197769
2198231,2198231
2190453,2190453
2198551,2198551
2190454,2190454
2168756,2168756
2190752,2190752
2199161,2199161
2190455,2190455
2057848,2141922
2057848,2124706
2190457,2190457
2200658,2200658
2200884,2200884
2201526,2201526
2201529,2201529
2201532,2201532
2201533,2201533
2201538,2201538
2201539,2201539
2190458,2190458
2203014,2203014
2203415,2203415
2190459,2190459
2190461,2190461
2190993,2198551
2190993,2190993
2191221,2191221
2191271,2191271
2194912,1738854
2194912,2201532
2194912,2201533
2190500,2190500
2192187,2192187
2192197,2192197
2192345,2192345
