CNPJ,EMPRESA,ENDEREÇO,NÚMERO,BAIRRO,CEP,MUNICÍPIO,UF,CNAE PRIMÁRIA,NATUREZA JURÍDICA
00130457000110,A & M COMERCIO E INDUSTRIA LTDA,RUA LOANDA,662,CH REUNIDAS,12238330,SAO JOSE DOS CAMPOS,SP,2229 - Fabricação de artefatos de material plástico não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
37398971000141,A & V CONFECCOES INDUSTRIA E COMERCIO DE ROUPAS LTDA -,"AVENIDA CEL. GASPAR, ESC/COM JOAQUIM PER",166,SAO SEBASTIAO,76400970,URUACU,GO,"1412 - Confecção de peças do vestuário, exceto roupas íntimas",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
84036771000129,A A FURLIN - EPP,AVENIDA DAS GUIANAS,1670,SAO VICENTE,69303485,BOA VISTA,RR,"4744 - Comércio varejista de ferragens, madeira e materiais de construção",213 - FIRMA MERCANTIL INDIVIDUAL
61278875000144,A AZEVEDO INDUSTRIA E COMERCIO DE OLEOS LTDA,RUA DIANOPOLIS,1.070,PARQUE DA MOOCA,03126007,SAO PAULO,SP,"1041 - Fabricação de óleos vegetais em bruto, exceto óleo de milho",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
08473845000297,A AZEVEDO INDUSTRIA E COMERCIO LTDA - ME,DISTRITO INDUSTRIAL,S/N,DIST. INDUSTRIAL,59290000,SAO GONCALO DO AMARANTE,RN,"2330 - Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
90537804000117,A B COSTANTIN & CIA LTDA,RUA DUQUE DE CAXIAS,903,AMERICANO,95900564,LAJEADO,RS,4689 - Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01358490000165,A B TECIDOS LTDA - ME,ALAMEDA GABRIEL M DA SILVA,1889,JD AMERICA,01441001,SAO PAULO,SP,4789 - Comércio varejista de outros produtos novos não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
78862497000144,A BENTHIEN & CIA LTDA,RUA CELSO RAMOS,3149,CENTRO,89124000,BENEDITO NOVO,SC,"1622 - Fabricação de estruturas de madeira e de artigos de carpintaria para 
construção",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
60580016000142,A BRONZINOX TELAS METALICAS E SINTETICAS LTDA,RUA MANUEL FIGUEIREDO LANDIM,555,JARDIM CAMPO GRANDE,04693130,SAO PAULO,SP,2592 - Fabricação de produtos de trefilados de metal,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
43103126000102,A C CORREA CIA LTDA,RUA ANGATURAMA,99,VILA DAS MERCES,04164010,SAO PAULO,SP,3032 - Fabricação de peças e acessórios para veículos ferroviários,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
47301221000163,A C INDUSTRIA E COMERCIO DE MAQUINAS LTDA,RUA SUSANA,276,JDIM INDEPENDENCIA,08210040,SAO PAULO,SP,2829 - Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01813339000170,A C INSUMOS LTDA,AVENIDA TAMANDARE,3680,VILA DALILA,79118720,CAMPO GRANDE,MS,2790 - Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01424152000184,A C L COMERCIO REPRESENTACOES EXP E IMPORTACAO LTDA,RUA SANTO ANTONIO,432,CENTRO,66010090,BELEM,PA,"4693 - Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
00640224000168,A. C. N. IMPORT IMP. EXP. DIST. DE PECAS P/ VEICULOS LT,RUA NITEROI,110,JD. GUARANI,86182070,CAMBE,PR,4530 - Comércio de peças e acessórios para veículos automotores,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
54804497000120,A C SOM INDUSTRIA E COM DE INSTRUMENTOS MUSICAIS LTDA,RUA DONA ANA NERY,1.221,CAMBUCI,01522000,SAO PAULO,SP,3220 - Fabricação de instrumentos musicais,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
61372058000150,A CARNEVALLI CIA LTDA,AVENIDA GUINLE,160,CIDADE INDUSTRIAL,07221070,GUARULHOS,SP,2869 - Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
61375879000140,A CHIMICAL S A,RUA CHIMICAL,1001,VILA MORAES,08766551,MOGI DAS CRUZES,SP,2029 - Fabricação de produtos químicos orgânicos não especificados anteriormente,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
49289010000188,A COLAMARINO COMERCIO E INDUSTRIA LTDA,AVENIDA CHIYO YAMAMOTO,148,VILA SADOKIN,07176040,GUARULHOS,SP,2452 - Fundição de metais nãoferrosos e suas ligas,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
02017264003360,A D M EXPORTADORA E IMPORTADORA S/A,RODOVIA BR 163 KM 35,S/N,ZONA RURAL,78790000,ITIQUIRA,MT,4622 - Comércio atacadista de soja,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264000930,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA PRINCIPAL 01 - SALA 01,100,INDUBRASIL,79108550,CAMPO GRANDE,MS,"1042 - Fabricação de óleos vegetais refinados, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264001317,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA SENADOR ATTILIO FONTANA,1501,IMBOCUI,83203970,PARANAGUA,PR,"1041 - Fabricação de óleos vegetais em bruto, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264001236,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,S/N,BAIRRO DO ESTUARIO,11020300,SANTOS,SP,5211 - Armazenamento,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264000264,A D M EXPORTADORA E IMPORTADORA S/A,"RODOVIA BR 365, KM 637",S/NR.,ZONA RURAL,38401730,UBERLANDIA,MG,"1041 - Fabricação de óleos vegetais em bruto, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264004413,A D M EXPORTADORA E IMPORTADORA S/A,RUA JOSE BONIFACIO,300,CENTRO,98600000,TRES PASSOS,RS,"1042 - Fabricação de óleos vegetais refinados, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264002801,A D M EXPORTADORA E IMPORTADORA S/A,RODOVIA BR 163 KM 584,SN,DISTRITO NOVA MUTUM,78450000,NOVA MUTUM,MT,"4623 - Comércio atacadista de animais vivos, alimentos para animais e matériasprimas agrícolas, exceto café e soja",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264003107,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA SENADOR ATTILIO FONTANA,1001,DISTRITO INDUSTRIAL,78745800,RONDONOPOLIS,MT,"1042 - Fabricação de óleos vegetais refinados, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264001902,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA ADELINO JOSE ZAMO,S/N,CENTRO,78307000,CAMPOS DE JULIO,MT,4622 - Comércio atacadista de soja,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
