CNPJ,EMPRESA,ENDEREÇO,NÚMERO,BAIRRO,CEP,MUNICÍPIO,UF,CNAE PRIMÁRIA,NATUREZA JURÍDICA
77856219000111,A A ALBA & CIA LTDA - ME,RUA PRINCIPAL,SN,PARQUE INDUSTRIAL,85950000,PALOTINA,PR,"4744 - Comércio varejista de ferragens, madeira e materiais de construção",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
84036771000129,A A FURLIN - EPP,AVENIDA DAS GUIANAS,1670,SAO VICENTE,69303485,BOA VISTA,RR,"4744 - Comércio varejista de ferragens, madeira e materiais de construção",213 - FIRMA MERCANTIL INDIVIDUAL
00124489000103,A ADRIATICA COMERCIO DE MOVEIS LTDA,RUA NESTOR PEREIRA HABKOST,90,TOMAZ COELHO,83707000,ARAUCARIA,PR,3101 - Fabricação de móveis com predominância de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
90537804000117,A B COSTANTIN & CIA LTDA,RUA DUQUE DE CAXIAS,903,AMERICANO,95900564,LAJEADO,RS,4689 - Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
55788632000153,A BACANINHA CONFECCOES LTDA,RUA MARECHAL DEODORO,702,VILA LEANDRO,14940000,IBITINGA,SP,"4755 - Comércio varejista especializado de tecidos e artigos de cama, mesa e banho",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
60580016000142,A BRONZINOX TELAS METALICAS E SINTETICAS LTDA,RUA MANUEL FIGUEIREDO LANDIM,555,JARDIM CAMPO GRANDE,04693130,SAO PAULO,SP,2592 - Fabricação de produtos de trefilados de metal,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
89716583000165,A BUHLER SA CURTUME,AVENIDA CAPIVARA,700,HARMONIA,93900000,IVOTI,RS,1510 - Curtimento e outras preparações de couro,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
01424152000184,A C L COMERCIO REPRESENTACOES EXP E IMPORTACAO LTDA,RUA SANTO ANTONIO,432,CENTRO,66010090,BELEM,PA,"4693 - Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
00563286000113,A C MARONESI EXPORTACAO,AVENIDA P JUSCELINO KUBITSCHECK,1380,CENTRO,85853000,FOZ DO IGUACU,PR,4530 - Comércio de peças e acessórios para veículos automotores,213 - FIRMA MERCANTIL INDIVIDUAL
54804497000120,A C SOM INDUSTRIA E COM DE INSTRUMENTOS MUSICAIS LTDA,RUA DONA ANA NERY,1.221,CAMBUCI,01522000,SAO PAULO,SP,3220 - Fabricação de instrumentos musicais,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
