CNPJ,EMPRESA,ENDEREÇO,NÚMERO,BAIRRO,CEP,MUNICÍPIO,UF,CNAE PRIMÁRIA,NATUREZA JURÍDICA
76502004000130,MADEIREIRA MALENZA LTDA,RUA MONSENHOR CELSO,250,CENTRO,80010150,CURITIBA,PR,4671 - Comércio atacadista de madeira e produtos derivados,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
89386379000123,MADEIREIRA NYSTRON LTDA,RUA JOAO BAPTISTA DE CASTILHOS,135,CENTRO,97560000,QUARAI,RS,"4744 - Comércio varejista de ferragens, madeira e materiais de construção",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
02260770000107,MADEIREIRA PALUZINHO LTDA,RODOVIA BR 116,97,CENTRO,83800000,MANDIRITUBA,PR,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
78559853000155,MADEIREIRA PAULAFONSO LTDA - ME,RODOVIA PR 373,SN,SEDE,84400000,PRUDENTOPOLIS,PR,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
78619467000101,MADEIREIRA PINUBRAS LTDA - ME,RUA LEOBERTO LEAL,775,BOM JESUS,89520000,CURITIBANOS,SC,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
81630709000172,MADEIREIRA POLTRONIERI LTDA - EPP,RODOVIA MUNICIPAL BNV 230,KM 2,SANTA MARIA,89125000,BENEDITO NOVO,SC,"1622 - Fabricação de estruturas de madeira e de artigos de carpintaria para 
construção",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
34645481000104,MADEIREIRA PONTAL EXP. E IMP. LDA - ME,RODOVIA PA 150,SN,ZONA RURAL,68552431,REDENCAO,PA,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01013062000109,MADEIREIRA PONTILHAO LTDA,ESTRADA GERAL DE PONTILHAO,S/N,RURAL,83900000,SAO MATEUS DO SUL,PR,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
04139531000110,MADEIREIRA RANCHO DA CABOCLA LTDA,AVENIDA SERGIO HENN,3.150,NOVA REPUBLICA,68025000,SANTAREM,PA,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
86250289000112,MADEIREIRA REDENTORA LTDA,RODOVIA SC 386 KM 06,SN,INDUSTRIAL,89910000,DESCANSO,SC,"1621 - Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01548068000172,MADEIREIRA RENASCER LTDA,ESTRADA ESTRADA ITAPORANGA,S/N,ZONA RURAL,78983000,ESPIGAO D'OESTE,RO,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
32951881000112,MADEIREIRA RICHTER LTDA,LOC 3.VCINAL LESTE,S/N,SETOR INDUSTRIAL,78330000,COTRIGUACU,MT,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
78897600000272,MADEIREIRA RIO CLARO LTDA,RUA ANTONIO RIBEIRO,SN,,84560000,RIO AZUL,PR,"1621 - Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01758251000100,MADEIREIRA RIO DOURADO LTDA - EPP,RUA PEDRO BOSSE FILHO,910,SANTA MONICA,89370000,PAPANDUVA,SC,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
00117084000148,MADEIREIRA RIO NEGRO LTDA - ME,RUA 6,S/N,LOT VERDES CAMPOS,78890000,SORRISO,MT,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
75558817000189,MADEIREIRA RONDINHA LTDA,AVENIDA SOLIMOES,S/N,INDUSTRIAL,78996000,COLORADO DO OESTE,RO,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
06477277000196,MADEIREIRA SAO MARCOS COMERCIO E INDUSTRIA LTDA - EPP,ESTRADA TRANNSAMAZONICA,S/N,VILA ALVORADA,68140000,URUARA,PA,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
06477277000277,MADEIREIRA SAO MARCOS COMERCIO E INDUSTRIA LTDA - EPP,TRAVESSA CAPITAO ASSIS,75,CENTRO,68800000,BREVES,PA,4671 - Comércio atacadista de madeira e produtos derivados,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
92821644000169,MADEIREIRA SCHOFFEN LTDA,RUA INHACORA,77,VILA BECKER,98920000,HORIZONTINA,RS,"2539 - Serviços de usinagem, solda, tratamento e revestimento em metais",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
78267721000150,MADEIREIRA SELEME LIMITADA,AVENIDA ENGENHEIRO LOURENCO FAORO,1221,SAO CRISTOVAO,89509600,CACADOR,SC,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
84646900000109,MADEIREIRA SERMAR LTDA - ME,AVENIDA J K,S/N,RIOZINHO,78976230,CACOAL,RO,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
89403117000120,MADEIREIRA SERRABEN LTDA - ME,AVENIDA DR. POMPILIO GOMES SOBRINHO,24235,CENTRO,94380970,GLORINHA,RS,"4744 - Comércio varejista de ferragens, madeira e materiais de construção",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
78657913000334,MADEIREIRA SOL DE VERAO LTDA - ME,RODOVIA BR 116,S/N,RESIDENCIAL FUCK,89380000,MONTE CASTELO,SC,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
00845121000134,MADEIREIRA TAPUIRAMA LTDA - ME,RODOVIA BR 452,SN,TAPUIRAMA,38410000,UBERLANDIA,MG,"4744 - Comércio varejista de ferragens, madeira e materiais de construção",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
81637431000327,MADEIREIRA THOMASI S A,AVENIDA DA REPUBLICA,20,VILA FANNY,80220430,CURITIBA,PR,1610 - Desdobramento de madeira,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
81637431000165,MADEIREIRA THOMASI S A,RUA MARECHAL DEODORO,3244,RIO DAREIA,84600010,UNIAO DA VITORIA,PR,"1621 - Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
81637431000670,MADEIREIRA THOMASI S A,RUA CARLOS CAVALCANTE,441,CENTRO,84600000,UNIAO DA VITORIA,PR,1610 - Desdobramento de madeira,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
24765943000173,MADEIREIRA TIMBOENSE LTDA - ME,RODOVIA BR 163 KM 817,SN,SAO CRISTOVAO,78550000,SINOP,MT,"1621 - Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
