grupo_atividade_economica,total
"Atividades financeiras, de seguros e
serviços relacionados",2426238.4739352167
Saúde humana e serviços sociais,2309623.560075188
Construção,2047694.6394243944
"Vigilância e locação de mão-de-obra
terceirizada",1491433.804966963
Alojamento e alimentação,1478389.2752092353
Comércio varejista,1341942.7315383914
"Comércio por atacado, exceto veículos
automotores e motocicletas",1286450.9845542645
"Atividades jurídicas, de contabilidade e
de auditoria",1249444.9797619048
Educação,1243389.097059315
Atividades imobiliárias,1205676.0405860106
Outras atividades de serviços,1140035.9865584415
Indústria alimentícia e de bebidas,1067176.8124561403
"Agricultura, pecuária, produção
florestal, pesca e aqüicultura",1061132.4473767753
Outras atividades profissionais,911412.1476653755
"Transporte, armazenagem e correio",812981.0668717248
