grupo_atividade_economica,total,total_arredondado_em_milhoes_de_reais
Comércio varejista,9186862.474810446,9.2
Construção,8374718.983287312,8.4
"Atividades financeiras, de seguros e
serviços relacionados",7585836.398712377,7.6
Outras atividades de serviços,6853311.535630701,6.9
Atividades imobiliárias,6467222.315013649,6.5
Outras atividades profissionais,5502461.511918074,5.5
Educação,4925532.3648464875,4.9
"Vigilância e locação de mão-de-obra
terceirizada",4903975.662642714,4.9
"Comércio por atacado, exceto veículos
automotores e motocicletas",4689653.053402298,4.7
"Agricultura, pecuária, produção
florestal, pesca e aqüicultura",4007806.3425432956,4
"Atividades jurídicas, de contabilidade e
de auditoria",3988887.5807455704,4
Saúde humana e serviços sociais,3756773.861487709,3.8
Informação e comunicação,3181803.0319625232,3.2
"Transporte, armazenagem e correio",3128279.5991784106,3.1
Outras atividades administrativas,2118988.027475879,2.1
