casa,origem_receita,valor
Câmara,Outros,23961979.739999995
Senado,Outros,2824021.34
Câmara,Partidos+Candidatos,446271734.44
Senado,Partidos+Candidatos,67351273.93
Câmara,Sócios,90289419.92
Senado,Sócios,25610199.87
