sg_partido,total_partido,total_partido_socios,tipo_dado,proporcao,proporcao_por_cento
AVANTE,5276531.84,475983.15,proporcao_partido_socios,0.09020757657363061,9
CIDADANIA,12644636.08,4633603.6,proporcao_partido_socios,0.3664481579923809,36.6
DEM,28786673.83,7000440.41,proporcao_partido_socios,0.24318337197764403,24.3
MDB,51833959.02,8220343.28,proporcao_partido_socios,0.1585899174097082,15.9
NOVO,4581145.85,3848561.1,proporcao_partido_socios,0.840087005743334,84
PATRIOTA,3108605.7399999998,918127.96,proporcao_partido_socios,0.2953504036185689,29.5
PCdoB,10571681.51,411164.55,proporcao_partido_socios,0.038893013340504996,3.9
PDT,19817684.51,6654875.94,proporcao_partido_socios,0.33580491891683667,33.6
PL,61228280.74,3565695.5,proporcao_partido_socios,0.05823608726074447,5.8
PMN,448760,45000,proporcao_partido_socios,0.10027631696229611,10
PODEMOS,14148187.41,5173576.96,proporcao_partido_socios,0.36567065519243075,36.6
PP,71512017.69,6801254.08,proporcao_partido_socios,0.09510644923323237,9.5
PROS,10269785.25,2247389.79,proporcao_partido_socios,0.21883512997508883,21.9
PSB,34443051.77,5243563.9,proporcao_partido_socios,0.15223865570957215,15.2
PSC,9014912.78,3098349.87,proporcao_partido_socios,0.34369160807343946,34.4
PSD,37218793.73,6970873.51,proporcao_partido_socios,0.18729445023311347,18.7
PSDB,41694640.92,6818247.78,proporcao_partido_socios,0.16352815684591823,16.4
PSL,11041970.85,4684619.13,proporcao_partido_socios,0.4242557052213193,42.4
PSOL,4078998.5,518696.71,proporcao_partido_socios,0.12716276066294216,12.7
PT,54688952.19,5703956.21,proporcao_partido_socios,0.10429814398680291,10.4
PTB,13792739.42,1347331.25,proporcao_partido_socios,0.09768409370848535,9.8
PV,3037672.5700000003,387216,proporcao_partido_socios,0.12747127647138085,12.7
REDE,239035.13,18000,proporcao_partido_socios,0.07530273897397424,7.5
REPUBLICANOS,40766240.15,1799691.42,proporcao_partido_socios,0.044146612819284,4.4
SOLIDARIEDADE,16278176.62,3702857.82,proporcao_partido_socios,0.22747374638081547,22.7
AVANTE,5276531.84,475983.15,media_geral,0.19821725364277676,19.8
CIDADANIA,12644636.08,4633603.6,media_geral,0.19821725364277676,19.8
DEM,28786673.83,7000440.41,media_geral,0.19821725364277676,19.8
MDB,51833959.02,8220343.28,media_geral,0.19821725364277676,19.8
NOVO,4581145.85,3848561.1,media_geral,0.19821725364277676,19.8
PATRIOTA,3108605.7399999998,918127.96,media_geral,0.19821725364277676,19.8
PCdoB,10571681.51,411164.55,media_geral,0.19821725364277676,19.8
PDT,19817684.51,6654875.94,media_geral,0.19821725364277676,19.8
PL,61228280.74,3565695.5,media_geral,0.19821725364277676,19.8
PMN,448760,45000,media_geral,0.19821725364277676,19.8
PODEMOS,14148187.41,5173576.96,media_geral,0.19821725364277676,19.8
PP,71512017.69,6801254.08,media_geral,0.19821725364277676,19.8
PROS,10269785.25,2247389.79,media_geral,0.19821725364277676,19.8
PSB,34443051.77,5243563.9,media_geral,0.19821725364277676,19.8
PSC,9014912.78,3098349.87,media_geral,0.19821725364277676,19.8
PSD,37218793.73,6970873.51,media_geral,0.19821725364277676,19.8
PSDB,41694640.92,6818247.78,media_geral,0.19821725364277676,19.8
PSL,11041970.85,4684619.13,media_geral,0.19821725364277676,19.8
PSOL,4078998.5,518696.71,media_geral,0.19821725364277676,19.8
PT,54688952.19,5703956.21,media_geral,0.19821725364277676,19.8
PTB,13792739.42,1347331.25,media_geral,0.19821725364277676,19.8
PV,3037672.5700000003,387216,media_geral,0.19821725364277676,19.8
REDE,239035.13,18000,media_geral,0.19821725364277676,19.8
REPUBLICANOS,40766240.15,1799691.42,media_geral,0.19821725364277676,19.8
SOLIDARIEDADE,16278176.62,3702857.82,media_geral,0.19821725364277676,19.8
