id_ext,casa,id_autor,tipo_autor,nome_autor,partido,uf,tipo_generico,sigla_local,qtd_de_documentos
14562,camara,160556,deputado,Padre João,PT,MG,Requerimento,PEC21500,17
14562,camara,166401,deputado,Nilson Leitão,PSDB,MT,Requerimento,PEC21500,16
14562,camara,73463,deputado,Osmar Serraglio,PP,PR,Requerimento,PEC21500,6
14562,camara,74010,deputado,Valdir Colatto,MDB,SC,Requerimento,PEC21500,5
14562,camara,73463,deputado,Osmar Serraglio,PP,PR,Parecer,PEC21500,4
14562,camara,73483,deputado,Luis Carlos Heinze,PP,NA,Requerimento,PEC21500,4
14562,camara,74210,deputado,Sarney Filho,PV,MA,Requerimento,PEC21500,4
14562,camara,73483,deputado,Luis Carlos Heinze,PP,NA,Requerimento,PLEN,2
14562,camara,73531,deputado,Ivan Valente,PSOL,SP,Requerimento,PEC21500,2
14562,camara,73926,deputado,Janete Capiberibe,PSB,AP,Requerimento,PEC21500,2
14562,camara,73933,deputado,Zequinha Marinho,PSC,NA,Requerimento,SEPUB(SGM),2
14562,camara,74077,deputado,Giovanni Queiroz,PDT,PA,Requerimento,PEC21500,2
14562,camara,141405,deputado,Celso Maldaner,MDB,SC,Requerimento,PEC21500,2
14562,camara,141537,deputado,Moreira Mendes,PSD,NA,Parecer,CCJC,2
14562,camara,141552,deputado,Valtenir Pereira,MDB,MT,Requerimento,MESA,2
14562,camara,160544,deputado,Junji Abe,MDB,SP,Requerimento,PEC21500,2
14562,camara,160559,deputado,Alceu Moreira,MDB,NA,Requerimento,PEC21500,2
14562,camara,160615,deputado,Reinaldo Azambuja,PSDB,NA,Requerimento,PEC21500,2
14562,camara,73463,deputado,Osmar Serraglio,PP,PR,Emenda,CCJC,1
14562,camara,73463,deputado,Osmar Serraglio,PP,PR,Parecer,CCJC,1
14562,camara,73472,deputado,Gervásio Silva,PSDB,SC,Proposição Apensada,PEC21500,1
14562,camara,73490,deputado,Ricarte De Freitas,PTB,MT,Proposição Apensada,PEC21500,1
14562,camara,73553,deputado,Nelson Marquezelli,PTB,SP,Requerimento,PEC21500,1
14562,camara,73568,deputado,Celso Jacob,MDB,RJ,Requerimento,CLP,1
14562,camara,73764,deputado,Abelardo Lupion,DEM,PR,Proposição Apensada,PEC21500,1
14562,camara,73926,deputado,Janete Capiberibe,PSB,AP,Voto em Separado,PEC21500,1
14562,camara,73933,deputado,Zequinha Marinho,PSC,NA,Proposição Apensada,PEC21500,1
14562,camara,73934,deputado,Carlos Souza,PSDB,NA,Proposição Apensada,PEC21500,1
14562,camara,73934,deputado,Carlos Souza,PSDB,NA,Requerimento,SEPUB(SGM),1
14562,camara,74041,deputado,Luiz Couto,PT,PB,Voto em Separado,CCJC,1
14562,camara,74160,deputado,Patrus Ananias,PT,MG,Outros,CCP,1
14562,camara,74197,deputado,Domingos Dutra,SD,MA,Requerimento,GTTERRAS,1
14562,camara,74210,deputado,Sarney Filho,PV,MA,Outros,1,1
14562,camara,74210,deputado,Sarney Filho,PV,MA,Voto em Separado,PEC21500,1
14562,camara,74216,deputado,Raimundo Gomes De Matos,PSDB,CE,Requerimento,PEC21500,1
14562,camara,74270,deputado,Gilberto Nascimento,PSC,SP,Requerimento,PLEN,1
14562,camara,74341,deputado,Almir Sá,PR,RR,Proposição Apensada,PLEN,1
14562,camara,74366,deputado,João Campos,PRB,GO,Requerimento,MESA,1
14562,camara,74392,deputado,Zonta,PSB,NA,Proposição Apensada,PEC21500,1
14562,camara,74566,deputado,Geraldo Simões,PT,BA,Requerimento,PEC21500,1
14562,camara,74585,deputado,Lincoln Portela,PL,MG,Requerimento,CLP,1
14562,camara,74858,deputado,Lindberg Farias,PT,NA,Proposição Apensada,MESA,1
14562,camara,134812,deputado,Edmilson Rodrigues,PSOL,PA,Requerimento,PEC21500,1
14562,camara,134812,deputado,Edmilson Rodrigues,PSOL,PA,Voto em Separado,PEC21500,1
14562,camara,141335,deputado,Beto Faro,PT,PA,Outros,CCP,1
14562,camara,141405,deputado,Celso Maldaner,MDB,SC,Proposição Apensada,PEC21500,1
14562,camara,141405,deputado,Celso Maldaner,MDB,SC,Requerimento,SEPUB(SGM),1
14562,camara,141411,deputado,Dagoberto,PDT,MS,Requerimento,PEC21500,1
14562,camara,141417,deputado,Edio Lopes,PL,RR,Proposição Apensada,PEC21500,1
14562,camara,141423,deputado,Eliene Lima,PSD,MT,Proposição Apensada,PEC21500,1
14562,camara,141423,deputado,Eliene Lima,PSD,MT,Requerimento,PEC21500,1
14562,camara,141425,deputado,Ernandes Amorim,PTB,RO,Proposição Apensada,PEC21500,1
14562,camara,141442,deputado,Geraldo Pudim,PR,RJ,Requerimento,CCJC,1
14562,camara,141442,deputado,Geraldo Pudim,PR,RJ,Requerimento,MESA,1
14562,camara,141470,deputado,José Guimarães,PT,CE,Outros,CCP,1
14562,camara,141470,deputado,José Guimarães,PT,CE,Requerimento,PLEN,1
14562,camara,141483,deputado,Lindomar Garçon,PRB,RO,Requerimento,SEPUB(SGM),1
14562,camara,141492,deputado,Manuela D'ávila,PCdoB,RS,Requerimento,PLEN,1
14562,camara,141537,deputado,Moreira Mendes,PSD,NA,Requerimento,PEC21500,1
14562,camara,160508,deputado,Afonso Florence,PT,BA,Outros,CCP,1
14562,camara,160511,deputado,Alessandro Molon,PSB,RJ,Requerimento,CCJC,1
14562,camara,160535,deputado,Marcon,PT,RS,Outros,CCP,1
14562,camara,160541,deputado,Arthur Lira,PP,AL,Requerimento,MESA,1
14562,camara,160544,deputado,Junji Abe,MDB,SP,Requerimento,SEPUB(SGM),1
14562,camara,160566,deputado,Nelson Padovani,PSDB,PR,Requerimento,PEC21500,1
14562,camara,160575,deputado,Erika Kokay,PT,DF,Requerimento,PEC21500,1
14562,camara,160575,deputado,Erika Kokay,PT,DF,Voto em Separado,PEC21500,1
14562,camara,160610,deputado,Valmir Assunção,PT,BA,Outros,CCP,1
14562,camara,160633,deputado,Mandetta,DEM,MS,Requerimento,MESA,1
14562,camara,160633,deputado,Mandetta,DEM,MS,Requerimento,PEC21500,1
14562,camara,160668,deputado,Paulo Cesar Quartiero,DEM,NA,Requerimento,PEC21500,1
14562,camara,166401,deputado,Nilson Leitão,PSDB,MT,Requerimento,MESA,1
14562,camara,166401,deputado,Nilson Leitão,PSDB,MT,Requerimento,PLEN,1
14562,camara,167722,deputado,Marcos Rogério,DEM,NA,Requerimento,PLEN,1
14562,camara,171617,deputado,Paulão,PT,AL,Outros,CCP,1
14562,camara,178825,deputado,Leo De Brito,PT,NA,Requerimento,PEC21500,1
14562,camara,178961,deputado,Shéridan,PSDB,RR,Requerimento,PEC21500,1
14562,camara,178986,deputado,Nilto Tatto,PT,SP,Outros,CCP,1
46249,camara,160666,deputado,Félix Mendonça Júnior,PDT,BA,Emenda,CCJC,27
46249,camara,162332,deputado,Luiz Nishimori,PL,PR,Requerimento,PL629902,25
46249,camara,141537,deputado,Moreira Mendes,PSD,NA,Emenda,CCJC,10
46249,camara,178901,deputado,Tereza Cristina,DEM,NA,Requerimento,PLEN,9
46249,camara,160666,deputado,Félix Mendonça Júnior,PDT,BA,Parecer,CCJC,6
46249,camara,160538,deputado,Bohn Gass,PT,RS,Requerimento,PL629902,5
46249,camara,160511,deputado,Alessandro Molon,PSB,RJ,Requerimento,PL629902,4
46249,camara,178901,deputado,Tereza Cristina,DEM,NA,Requerimento,PL629902,4
46249,camara,74150,deputado,Dr. Francisco Gonçalves,PPS,MG,Parecer,CSSF,3
46249,camara,141389,deputado,Indio Da Costa,PSD,RJ,Parecer,CCJC,3
46249,camara,160542,deputado,Márcio Macêdo,PT,SE,Parecer,CCJC,3
46249,camara,178986,deputado,Nilto Tatto,PT,SP,Requerimento,PL629902,3
46249,camara,204478,deputado,Vinicius Farah,MDB,RJ,Requerimento,PLEN,3
46249,camara,73459,deputado,Dr. Rosinha,PT,PR,Requerimento,SEPUB(SGM),2
46249,camara,73483,deputado,Luis Carlos Heinze,PP,NA,Proposição Apensada,PL629902,2
46249,camara,73483,deputado,Luis Carlos Heinze,PP,NA,Requerimento,PLEN,2
46249,camara,73674,deputado,Roberto Balestra,PP,GO,Parecer,CAPADR,2
46249,camara,74010,deputado,Valdir Colatto,MDB,SC,Parecer,CAPADR,2
46249,camara,74563,deputado,Jorge Alberto,PMDB,SE,Parecer,CSSF,2
46249,camara,74692,deputado,Paulo Baltazar,PSB,RJ,Parecer,CMADS,2
46249,camara,74848,deputado,Jandira Feghali,PCdoB,RJ,Voto em Separado,PL629902,2
46249,camara,141488,deputado,Paulo Teixeira,PT,SP,Requerimento,PLEN,2
46249,camara,141488,deputado,Paulo Teixeira,PT,SP,Voto em Separado,PL629902,2
46249,camara,160538,deputado,Bohn Gass,PT,RS,Voto em Separado,PL629902,2
46249,camara,160556,deputado,Padre João,PT,MG,Proposição Apensada,MESA,2
46249,camara,160556,deputado,Padre João,PT,MG,Requerimento,PL629902,2
46249,camara,160556,deputado,Padre João,PT,MG,Requerimento,PLEN,2
46249,camara,160556,deputado,Padre João,PT,MG,Voto em Separado,PL629902,2
46249,camara,160576,deputado,César Halum,PRB,TO,Requerimento,PLEN,2
46249,camara,162332,deputado,Luiz Nishimori,PL,PR,Parecer,PL629902,2
46249,camara,162332,deputado,Luiz Nishimori,PL,PR,Requerimento,PLEN,2
46249,camara,178843,deputado,Marx Beltrão,PSD,AL,Parecer,CSSF,2
46249,camara,178970,deputado,João Daniel,PT,SE,Proposição Apensada,MESA,2
46249,camara,178970,deputado,João Daniel,PT,SE,Requerimento,PL629902,2
46249,camara,178970,deputado,João Daniel,PT,SE,Voto em Separado,PL629902,2
46249,camara,178986,deputado,Nilto Tatto,PT,SP,Voto em Separado,PL629902,2
46249,camara,72442,deputado,Felipe Carreras,PSB,PE,Proposição Apensada,CCP,1
46249,camara,72442,deputado,Felipe Carreras,PSB,PE,Proposição Apensada,MESA,1
46249,camara,73427,deputado,Alberto Goldman,PSDB,NA,Requerimento,MESA,1
46249,camara,73459,deputado,Dr. Rosinha,PT,PR,Proposição Apensada,MESA,1
46249,camara,73459,deputado,Dr. Rosinha,PT,PR,Requerimento,MESA,1
46249,camara,73466,deputado,Rubens Bueno,CIDADANIA,PR,Proposição Apensada,PL629902,1
46249,camara,73466,deputado,Rubens Bueno,CIDADANIA,PR,Requerimento,MESA,1
46249,camara,73471,deputado,Fernando Coruja,PPS,SC,Proposição Apensada,PL629902,1
46249,camara,73531,deputado,Ivan Valente,PSOL,SP,Voto em Separado,PL629902,1
46249,camara,73553,deputado,Nelson Marquezelli,PTB,SP,Requerimento,MESA,1
46249,camara,73592,deputado,Kátia Abreu,PFL,TO,Proposição Apensada,29,1
46249,camara,73592,deputado,Kátia Abreu,PFL,TO,Requerimento,MESA,1
46249,camara,73768,deputado,Dilceu Sperafico,PP,PR,Requerimento,PL629902,1
46249,camara,73776,deputado,José Janene,PP**,PR,Proposição Apensada,PL629902,1
46249,camara,73776,deputado,José Janene,PP**,PR,Requerimento,MESA,1
46249,camara,73778,deputado,Luiz Carlos Hauly,PSDB,PR,Requerimento,PL629902,1
46249,camara,73825,deputado,Carlos Nader,PR,RJ,Proposição Apensada,PL629902,1
46249,camara,74010,deputado,Valdir Colatto,MDB,SC,Requerimento,PL629902,1
