id,casa,nome,data_apresentacao,ementa,autor,indexacao,tema,uri_tramitacao
2243015,camara,TVR 123/2020,25/03/2020,"Submete à apreciação do Congresso Nacional o ato constante da Portaria nº 2.629, de 12 de junho de 2018, que autoriza a Sociedade de Amparo e Educação a Infância de Cruz,  a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no município de Cruz , Estado do Ceará."," Poder Executivo, Poder Executivo",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243015
2243016,camara,REQ 580/2020,06/04/2020,"Requer a urgência, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, para apreciação do PL 1473/2020.",Joice Hasselmann - PSL/SP,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243016
2243018,camara,REQ 581/2020,06/04/2020,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do Projeto de Lei n° 714/2020.",Patricia Ferraz - PODE/AP,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243018
2243019,camara,REQ 582/2020,06/04/2020,"Requer a urgência na tramitação e a imediata inclusão na Ordem do Dia, no Plenário da Câmara dos Deputados.",José Guimarães - PT/CE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243019
2243020,camara,PRC 22/2020,01/04/2020,"Reduz em 50%, por 90 (noventa) dias, o valor da Cota para o Exercício da Atividade Parlamentar (CEAP) e destina o montante para a aquisição de equipamentos e insumos hospitalares destinados ao enfrentamento da pandemia do COVID-19 (Coronavírus).",André Janones - AVANTE/MG,,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243020
2243021,camara,INC 333/2020,03/04/2020,"Sugere ao Exmo. Sr. Ministro da Cidadania, ONYX LORENZONI,a adoção de medidas com vistas a manutenção do acompanhamento das CRIANÇAS (e famílias)inseridas e acompanhadas pelo Programa Criança Feliz, por meio de alternativas durante a pandemia do Coronavírus  - COVID-19.",Paula Belmonte - CIDADANIA/DF,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243021
2243022,camara,INC 334/2020,03/04/2020,"Sugere a revisão do Acordo Setorial de Embalagens, a fim de trazer ao Brasil soluções inovadoras para a não utilização de embalagens supérfluas",Helio Lopes - PSL/RJ,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243022
2243023,camara,PL 1524/2020,03/04/2020,"Reconhece o estado de necessidade e estrito cumprimento do dever legal para os agentes políticos que distribuírem bens, valores ou benefícios para amenizar as consequências da pandemia do coronavírus (covid-19) enquanto perdurar o estado de calamidade pública, para isentar de crime ou infração penal, eleitoral ou fiscal administrativa.",Carlos Chiodini - MDB/SC,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243023
2243024,camara,PL 1525/2020,03/04/2020,Estabelece a obrigatoriedade de pontos medias de apoio que obrigue as concessionárias de estradas de pedágios a providenciar abrigo e local de higiene pessoal e refeição a preços simbólicos aos caminhoneiros nas rodovias brasileiras em períodos de decretação de calamidade pública.,Nilto Tatto - PT/SP,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243024
2243025,camara,PL 1526/2020,03/04/2020,"Altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre a saúde suplementar, para proibir rescisão ou alteração prejudicial de contratos de planos de saúde por iniciativa da opeadora, durante pandemias de grandes proporções.",Valdevan Noventa - PSC/SE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243025
2243026,camara,PL 1527/2020,03/04/2020,Estabelece pena de detenção para o crime de aumento abusivo de preços de produtos destinados a evitar a contaminação pelo coronavírus.,Fred Costa - PATRIOTA/MG,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243026
2243027,camara,INC 335/2020,03/04/2020,"Requer o envio de Indicação à Mesa Diretora, para fins de sugestão para revisão nos critérios relativos à Cota para o Exercício da Atividade Parlamentar, disciplinada pelo Ato da Mesa nº 43, de 21 de maio de 2009, para fins de redução dos gastos oriundos da atividade parlamentar na Câmara dos Deputados.",Chris Tonietto - PSL/RJ,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243027
2243028,camara,PL 1528/2020,03/04/2020,"Dispõe sobre a suspensão das cobranças e proibição de corte, por parte das 
concessionárias de serviço público de energia elétrica e água, das taxas de consumo pelo período que determina, para templos de qualquer culto e associações sem fins lucrativos.",Glaustin Fokus - PSC/GO,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243028
2243029,camara,INC 336/2020,03/04/2020,"Requer o envio de Indicação à Mesa Diretora, para fins de sugestão de redução dos limites mensais da Cota para o Exercício da Atividade Parlamentar, disciplinada pelo Ato da Mesa nº 43, de 21 de maio de 2009, conforme estabelecidos em seu Anexo.",Chris Tonietto - PSL/RJ,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243029
2243030,camara,PL 1517/2020,03/04/2020,"Isenta a cobrança de pedágio, enquanto durar a pandemia do novo coronavírus, nas rodovias estaduais e federais em todo território nacional para os caminhoneiros e para os profissionais considerados essenciais envolvidos no combate direto do COVID-19, quando legitimados pelas autoridades governamentais e Ministério da Saúde.",Pastor Sargento Isidório - AVANTE/BA,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243030
2243032,camara,PL 1530/2020,03/04/2020,Dispõe sobre a possibilidade de saque do FGTS em estado de calamidade causado por questões de saúde pública.,Pedro Augusto Bezerra - PTB/CE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243032
2243033,camara,PL 1531/2020,03/04/2020,Dispõe sobre a concessão de abatimento do saldo devedor a beneficiários do Fies que trabalhem como médicos no Sistema Único de Saúde (SUS) durante o período de vigência da emergência sanitária decorrente da pandemia do novo coronavírus (Covid-19).,José Guimarães - PT/CE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243033
2243034,camara,PDL 138/2020,03/04/2020,"Acrescenta dispositivos ao Decreto Legislativo nº 276, de 18 de dezembro de 2014, o qual fixa o subsídio para os membros do Congresso Nacional, a fim de tratar da redução do referido recurso na ocorrência de estado de calamidade pública reconhecido pelo Congresso Nacional, enquanto este perdurar, para fins de equilíbrio das contas públicas.",Chris Tonietto - PSL/RJ,"Alteração, Decreto legislativo, redução, subsídio (remuneração), Parlamentar, Deputado Federal, Senador, calamidade pública, destinação, dotação orçamentária, Sistema Único de Saúde (SUS), saúde pública.","Administração Pública, Processo Legislativo e Atuação Parlamentar, Saúde",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243034
2243036,camara,PL 1533/2020,03/04/2020,"Acrescenta-se o artigo 16-A à Lei nº 9.250, de 26 de dezembro de 1995, que ""altera a legislação do imposto de renda das pessoas físicas e dá outras providências""; para antecipar o pagamento da restituição do imposto de renda à medida que o valor a restituir for apurado, durante o estado de calamidade pública reconhecido pelo  Decreto Legislativo n° 06, de 2020, em razão da pandemia do coronavírus (COVID-19), estendendo-se até a restituição do Imposto sobre a Renda da Pessoa Física no ano de 2021, ano-base 2020.",Eduardo da Fonte - PP/PE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243036
2243037,camara,PL 1534/2020,03/04/2020,"Altera o art. 7o da Lei n.° 4.737, de 15 de julho de 1965 (Código Eleitoral), para suprimir restrições ao eleitor que deixar de votar nas Eleições Municipais de 2020.",Félix Mendonça Júnior - PDT/BA,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243037
2243038,camara,INC 337/2020,03/04/2020,"Sugere ao Ministro de Minas e Energia a adoção de medidas para garantir a queda no preço do gás para os consumidores finais, especialmente durante a vigência da emergência de saúde pública disposta na Lei nº 13.979, de 6 de fevereiro de 2020 (Covid-19).",Rubens Bueno - CIDADANIA/PR,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243038
2243040,camara,PL 1535/2020,03/04/2020,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal brasileiro, para instituir, como nova causa suspensiva da prescrição da pretensão punitiva do Estado, a calamidade pública devidamente reconhecida pelo Congresso Nacional, restrita ao período do reconhecimento.",Carlos Sampaio - PSDB/SP,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243040
2243041,camara,INC 338/2020,03/04/2020,"Sugere ao Ministério da Educação orientar as instituições de ensino superior, públicas e privadas, para que os formandos de Medicina que já completaram a carga horária mínima solicitada pelo MEC (7200h), possam realizar a colação de grau antecipada, bem como tenham, a expedição do diploma de conclusão do curso, medida urgente e de extraordinária necessidade aos profissionais médicos poderem atuar no enfrentamento ao Covid-19.",Edna Henrique - PSDB/PB,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243041
2243042,camara,PL 1536/2020,03/04/2020,"Acrescenta dispositivos à Lei nº6.109, de 03 de janeiro de 1974, para dispor sobre a possibilidade de contratação simplificada direta temporária nos casos de calamidade pública, e dá outras providências.",Vitor Lippi - PSDB/SP,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243042
2243043,camara,INC 339/2020,03/04/2020,Requer a disponibilização do Programa de Aquisição de Alimentos aos municípios brasileiros dianteda crise causada pelo coronavírus.,Pedro Augusto Bezerra - PTB/CE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243043
