"id_proposicao","id_votacao","id_parlamentar","casa","voto"
"865930",55202131,178957,"camara",-1
"865930",55202131,141417,"camara",1
"865930",55202131,178958,"camara",-1
"865930",55202131,178959,"camara",1
"865930",55202131,160531,"camara",-1
"865930",55202131,64960,"camara",-1
"865930",55202131,178960,"camara",1
"865930",55202131,178961,"camara",-1
"865930",55202131,178831,"camara",1
"865930",55202131,73926,"camara",0
"865930",55202131,178851,"camara",1
"865930",55202131,178852,"camara",0
"865930",55202131,105112,"camara",1
"865930",55202131,160641,"camara",0
"865930",55202131,160591,"camara",1
"865930",55202131,178995,"camara",-1
"865930",55202131,160602,"camara",-1
"865930",55202131,141335,"camara",1
"865930",55202131,178906,"camara",1
"865930",55202131,74075,"camara",1
"865930",55202131,178908,"camara",1
"865930",55202131,73930,"camara",0
"865930",55202131,73931,"camara",1
"865930",55202131,74079,"camara",1
"865930",55202131,134812,"camara",-1
"865930",55202131,178907,"camara",1
"865930",55202131,141484,"camara",1
"865930",55202131,74351,"camara",-1
"865930",55202131,74352,"camara",-1
"865930",55202131,178909,"camara",-1
"865930",55202131,178910,"camara",1
"865930",55202131,67312,"camara",-1
"865930",55202131,178911,"camara",1
"865930",55202131,178846,"camara",1
"865930",55202131,178847,"camara",-1
"865930",55202131,74090,"camara",1
"865930",55202131,74356,"camara",1
"865930",55202131,74095,"camara",-1
"865930",55202131,178848,"camara",-1
"865930",55202131,178849,"camara",-1
"865930",55202131,178850,"camara",-1
"865930",55202131,178953,"camara",0
"865930",55202131,141483,"camara",1
"865930",55202131,178954,"camara",1
"865930",55202131,74359,"camara",-1
"865930",55202131,74177,"camara",0
"865930",55202131,178955,"camara",1
"865930",55202131,167722,"camara",-1
"865930",55202131,178956,"camara",-1
"865930",55202131,178837,"camara",1
"865930",55202131,178836,"camara",-1
"865930",55202131,141434,"camara",1
"865930",55202131,178838,"camara",-1
"865930",55202131,178839,"camara",1
"865930",55202131,178825,"camara",1
"865930",55202131,160613,"camara",1
"865930",55202131,178840,"camara",-1
"865930",55202131,178993,"camara",1
"865930",55202131,178994,"camara",1
"865930",55202131,114941,"camara",-1
"865930",55202131,141480,"camara",1
"865930",55202131,160639,"camara",-1
"865930",55202131,137070,"camara",1
"865930",55202131,160576,"camara",1
"865930",55202131,81232,"camara",1
"865930",55202131,141408,"camara",1
"865930",55202131,74449,"camara",1
"865930",55202131,74210,"camara",1
"865930",55202131,141558,"camara",1
"865930",55202131,167493,"camara",-1
"865930",55202131,178881,"camara",1
"865930",55202131,178882,"camara",1
"865930",55202131,178883,"camara",-1
"865930",55202131,178884,"camara",1
"865930",55202131,74445,"camara",-1
"865930",55202131,112437,"camara",1
"865930",55202131,73714,"camara",1
"865930",55202131,178885,"camara",0
"865930",55202131,178886,"camara",1
"865930",55202131,178887,"camara",1
"865930",55202131,178888,"camara",1
"865930",55202131,178889,"camara",0
"865930",55202131,133439,"camara",-1
"865930",55202131,74212,"camara",1
"865930",55202131,74213,"camara",1
"865930",55202131,74291,"camara",1
"865930",55202131,141440,"camara",1
"865930",55202131,62881,"camara",-1
"865930",55202131,143632,"camara",1
"865930",55202131,160669,"camara",-1
"865930",55202131,129618,"camara",1
"865930",55202131,141464,"camara",1
"865930",55202131,141470,"camara",1
"865930",55202131,74216,"camara",-1
"865930",55202131,178864,"camara",-1
"865930",55202131,178865,"camara",1
"865930",55202131,74299,"camara",1
"865930",55202131,178866,"camara",0
"865930",55202131,178867,"camara",1
"865930",55202131,74457,"camara",-1
"865930",55202131,178997,"camara",-1
"865930",55202131,178868,"camara",1
"865930",55202131,122466,"camara",-1
"865930",55202131,178869,"camara",-1
"865930",55202131,159237,"camara",1
"865930",55202131,74459,"camara",1
"865930",55202131,67138,"camara",1
"865930",55202131,74317,"camara",1
"865930",55202131,74460,"camara",1
"865930",55202131,74319,"camara",1
"865930",55202131,97707,"camara",-1
"865930",55202131,178926,"camara",-1
"865930",55202131,141428,"camara",1
"865930",55202131,141429,"camara",-1
"865930",55202131,141535,"camara",-1
"865930",55202131,178950,"camara",-1
"865930",55202131,178948,"camara",-1
"865930",55202131,178951,"camara",0
"865930",55202131,178952,"camara",1
"865930",55202131,178949,"camara",1
"865930",55202131,160527,"camara",1
"865930",55202131,74040,"camara",-1
"865930",55202131,74467,"camara",-1
"865930",55202131,141422,"camara",-1
"865930",55202131,160674,"camara",1
"865930",55202131,74041,"camara",1
"865930",55202131,141490,"camara",1
"865930",55202131,74043,"camara",1
"865930",55202131,160636,"camara",1
"865930",55202131,178912,"camara",-1
"865930",55202131,141536,"camara",1
"865930",55202131,178913,"camara",1
"865930",55202131,141394,"camara",-1
"865930",55202131,141421,"camara",1
"865930",55202131,141431,"camara",-1
"865930",55202131,74419,"camara",-1
"865930",55202131,131943,"camara",-1
"865930",55202131,160572,"camara",1
"865930",55202131,160628,"camara",1
"865930",55202131,74428,"camara",-1
"865930",55202131,160642,"camara",-1
"865930",55202131,4930,"camara",1
"865930",55202131,74439,"camara",-1
"865930",55202131,178914,"camara",0
"865930",55202131,160551,"camara",1
"865930",55202131,178915,"camara",-1
"865930",55202131,178916,"camara",-1
"865930",55202131,178917,"camara",-1
"865930",55202131,178918,"camara",-1
"865930",55202131,178919,"camara",-1
"865930",55202131,178920,"camara",1
"865930",55202131,178922,"camara",-1
"865930",55202131,178923,"camara",1
"865930",55202131,160541,"camara",1
"865930",55202131,74558,"camara",1
"865930",55202131,74050,"camara",1
"865930",55202131,171617,"camara",1
"865930",55202131,178841,"camara",-1
"865930",55202131,178842,"camara",-1
"865930",55202131,178843,"camara",1
"865930",55202131,178844,"camara",-1
"865930",55202131,178845,"camara",-1
"865930",55202131,160543,"camara",-1
"865930",55202131,171623,"camara",-1
"865930",55202131,151208,"camara",-1
"865930",55202131,141384,"camara",-1
"865930",55202131,178968,"camara",-1
"865930",55202131,178969,"camara",1
"865930",55202131,178970,"camara",1
"865930",55202131,178971,"camara",1
"865930",55202131,160508,"camara",1
"865930",55202131,74057,"camara",1
"865930",55202131,160553,"camara",3
"865930",55202131,160530,"camara",-1
"865930",55202131,160600,"camara",-1
"865930",55202131,178834,"camara",-1
"865930",55202131,74537,"camara",1
"865930",55202131,74060,"camara",1
"865930",55202131,160666,"camara",-1
"865930",55202131,141458,"camara",1
"865930",55202131,74140,"camara",0
"865930",55202131,160619,"camara",1
"865930",55202131,74554,"camara",1
"865930",55202131,74570,"camara",0
"865930",55202131,94931,"camara",1
"865930",55202131,150418,"camara",-1
"865930",55202131,74574,"camara",1
"865930",55202131,141529,"camara",1
"865930",55202131,73808,"camara",1
"865930",55202131,160610,"camara",1
"865930",55202131,160569,"camara",1
"865930",55202131,69871,"camara",1
"865930",55202131,74535,"camara",-1
"865930",55202131,93083,"camara",1
"865930",55202131,178853,"camara",1
"865930",55202131,178854,"camara",1
"865930",55202131,99654,"camara",-1
"865930",55202131,178855,"camara",-1
"865930",55202131,178856,"camara",-1
"865930",55202131,178857,"camara",1
"865930",55202131,74553,"camara",1
"865930",55202131,178858,"camara",1
"865930",55202131,178859,"camara",1
"865930",55202131,178860,"camara",1
"865930",55202131,178861,"camara",1
"865930",55202131,178862,"camara",-1
"865930",55202131,178863,"camara",-1
"865930",55202131,141372,"camara",1
"865930",55202131,141513,"camara",1
"865930",55202131,74650,"camara",-1
"865930",55202131,74651,"camara",1
"865930",55202131,160599,"camara",-1
"865930",55202131,160758,"camara",0
"865930",55202131,74655,"camara",-1
"865930",55202131,160640,"camara",-1
"865930",55202131,141427,"camara",1
"865930",55202131,74665,"camara",1
"865930",55202131,141503,"camara",1
"865930",55202131,73586,"camara",0
"865930",55202131,74156,"camara",1
"865930",55202131,141482,"camara",1
"865930",55202131,74585,"camara",0
"865930",55202131,160510,"camara",1
"865930",55202131,141487,"camara",1
"865930",55202131,141500,"camara",1
"865930",55202131,159238,"camara",-1
"865930",55202131,171619,"camara",1
"865930",55202131,74158,"camara",-1
"865930",55202131,74749,"camara",1
"865930",55202131,160556,"camara",0
"865930",55202131,141516,"camara",-1
"865930",55202131,74161,"camara",1
"865930",55202131,160654,"camara",-1
"865930",55202131,141531,"camara",-1
"865930",55202131,74762,"camara",1
"865930",55202131,160518,"camara",-1
"865930",55202131,160611,"camara",1
"865930",55202131,177282,"camara",-1
"865930",55202131,92776,"camara",-1
"865930",55202131,160632,"camara",-1
"865930",55202131,178890,"camara",1
"865930",55202131,178999,"camara",1
"865930",55202131,178891,"camara",-1
"865930",55202131,178892,"camara",1
"865930",55202131,178893,"camara",1
"865930",55202131,160588,"camara",1
"865930",55202131,129037,"camara",1
"865930",55202131,178894,"camara",-1
"865930",55202131,179000,"camara",-1
"865930",55202131,146788,"camara",-1
"865930",55202131,178895,"camara",1
"865930",55202131,178896,"camara",1
"865930",55202131,74752,"camara",-1
"865930",55202131,178998,"camara",-1
"865930",55202131,178897,"camara",1
"865930",55202131,178898,"camara",1
"865930",55202131,74163,"camara",-1
"865930",55202131,141562,"camara",-1
"865930",55202131,160517,"camara",-1
"865930",55202131,178827,"camara",-1
"865930",55202131,160643,"camara",1
"865930",55202131,178871,"camara",-1
"865930",55202131,178872,"camara",1
"865930",55202131,178873,"camara",1
"865930",55202131,74235,"camara",-1
"865930",55202131,178874,"camara",-1
"865930",55202131,160511,"camara",1
"865930",55202131,178833,"camara",-1
"865930",55202131,178936,"camara",-1
"865930",55202131,178937,"camara",0
"865930",55202131,160512,"camara",-1
"865930",55202131,73701,"camara",1
"865930",55202131,178938,"camara",-1
"865930",55202131,72912,"camara",1
"865930",55202131,74171,"camara",-1
"865930",55202131,141439,"camara",1
"865930",55202131,178939,"camara",-1
"865930",55202131,93472,"camara",-1
