"id","nome","partido","uf","cargo"
2287199,"ADRIANO CAMPELLO","PSL","AC","DEPUTADO FEDERAL"
2286933,"ALAN RICK","DEM","AC","DEPUTADO FEDERAL"
2286821,"ANDRESA BARROS","DC","AC","DEPUTADO FEDERAL"
2286717,"ANGELIM","PT","AC","DEPUTADO FEDERAL"
2286695,"ANTONIA LUCIA","PR","AC","DEPUTADO FEDERAL"
2287089,"BERENICE","PSL","AC","DEPUTADO FEDERAL"
2286844,"BIBIANO","PATRI","AC","DEPUTADO FEDERAL"
2287150,"CABRAL","PDT","AC","DEPUTADO FEDERAL"
2287215,"CARLOS GOMES","REDE","AC","DEPUTADO FEDERAL"
2286943,"CESAR MESSIAS","PSB","AC","DEPUTADO FEDERAL"
2287225,"CHARLENE LIMA","PTB","AC","DEPUTADO FEDERAL"
2286914,"CHARQUEIRO DO ACRE","PSOL","AC","DEPUTADO FEDERAL"
2286909,"CHICAO BRIGIDO","PPL","AC","DEPUTADO FEDERAL"
2287062,"CHICARLOS","PRP","AC","DEPUTADO FEDERAL"
2287081,"CHICO DOIDO DA SAUDE","PDT","AC","DEPUTADO FEDERAL"
2286698,"CLEIDE ARAUJO DA SAUDE","PDT","AC","DEPUTADO FEDERAL"
2287224,"CORONEL EUDEMIR","MDB","AC","DEPUTADO FEDERAL"
2286954,"CRISTOVAM MOURA","PDT","AC","DEPUTADO FEDERAL"
2286694,"DANIELA PAIVA","PSL","AC","DEPUTADO FEDERAL"
2287191,"DANILO MEDEIROS","AVANTE","AC","DEPUTADO FEDERAL"
2286811,"DARLA","PT","AC","DEPUTADO FEDERAL"
2286774,"DARLENE SILVA","PDT","AC","DEPUTADO FEDERAL"
2286865,"DINEIA PINHEIRO","PDT","AC","DEPUTADO FEDERAL"
2286925,"DJE CAVALCANTE","PDT","AC","DEPUTADO FEDERAL"
2286813,"DRA. VANDA MILANE","SOLIDARIEDADE","AC","DEPUTADO FEDERAL"
2287161,"EBER MACHADO","PDT","AC","DEPUTADO FEDERAL"
2287122,"ELDO PONTES","AVANTE","AC","DEPUTADO FEDERAL"
2286858,"EURICO CORDEIRO","PDT","AC","DEPUTADO FEDERAL"
2286767,"FELIPE MESSIAS","DC","AC","DEPUTADO FEDERAL"
2286977,"FERNANDO MELO","PROS","AC","DEPUTADO FEDERAL"
2286965,"FLAVIANO MELO","MDB","AC","DEPUTADO FEDERAL"
2287030,"FRANCISCO PIYAKO","PSOL","AC","DEPUTADO FEDERAL"
