id,sigla,numero,ano
308880,PL,2441,2019
317970,PL,2037,2019
427339,PL,2439,2019
512431,PL,2442,2019
530357,PL,2440,2019
614512,PL,4157,2019
1299572,PL,3820,2019
2057848,PL,2538,2019
2080604,PL,3855,2019
2080812,EMP,1,2019
2111588,PL,2944,2019
2144995,PL,400,2019
2151691,PL,1619,2019
2168756,PL,2438,2019
2187087,PL,5029,2019
2190174,OBJ,1,2019
2190288,MPV,870,2019
2190289,PRL,2,0
2190290,SBT,2,0
2190310,RIC,3766,2019
2190311,RIC,3767,2019
2190312,RIC,3768,2019
2190313,RIC,3769,2019
2190325,PL,11279,2019
2190328,TVR,483,2019
2190329,MSC,10,2019
2190330,MSC,11,2019
2190331,MSC,12,2019
2190332,PRL,1,0
2190333,PRL,2,0
2190334,PRL,1,0
2190335,PRL,1,0
2190336,EMR,1,0
2190337,PRL,1,0
2190338,PRL,3,0
2190339,SBT,1,0
2190340,PRL,1,0
2190341,PRL,3,0
2190342,PRL,2,0
2190343,PRL,1,0
2190345,PRL,3,0
2190346,MSC,23,2019
2190347,MSC,24,2019
2190348,RIC,3770,2019
2190350,RIC,3771,2019
2190351,PRL,1,0
2190352,PRL,1,0
2190353,RIC,3772,2019
2190354,SBT,1,0
2190355,MPV,871,2019
2190356,RIC,3773,2019
2190357,RIC,3774,2019
2190358,RIC,3775,2019
2190359,RIC,3776,2019
2190360,RIC,3777,2019
2190361,RIC,3778,2019
2190362,RIC,3779,2019
2190363,RIC,3780,2019
2190364,RIC,3781,2019
2190365,PRL,2,0
2190398,MPV,872,2019
2190399,MSC,35,2019
2190405,SUG,1,2019
2190406,SUG,2,2019
2190407,PL,1,2019
2190408,PL,2,2019
2190409,PL,3,2019
2190410,PL,4,2019
2190411,PL,5,2019
2190412,PL,6,2019
2190413,PL,7,2019
2190414,PL,8,2019
2190415,RCP,1,2019
2190416,PL,9,2019
2190417,PL,10,2019
2190418,PL,11,2019
2190419,PL,12,2019
2190420,PL,13,2019
2190421,REQ,1,2019
2190422,PL,14,2019
2190423,PL,15,2019
2190424,REQ,2,2019
2190425,PL,16,2019
2190428,REQ,3,2019
2190429,PDL,2,2019
2190430,REQ,4,2019
2190432,PL,17,2019
2190436,REQ,5,2019
2190437,REQ,12,2019
2190438,REQ,13,2019
2190439,REQ,14,2019
2190440,INC,1,2019
2190441,REQ,6,2019
2190442,REQ,7,2019
2190443,REQ,15,2019
2190444,REQ,8,2019
2190445,REQ,9,2019
2190446,PL,18,2019
2190447,REQ,10,2019
2190448,PL,19,2019
2190449,PL,20,2019
2190450,PL,21,2019
2190451,REQ,11,2019
2190452,PL,22,2019
2190453,PL,23,2019
2190454,PL,24,2019
2190455,PL,25,2019
2190456,PL,26,2019
2190457,PL,27,2019
2190458,PL,28,2019
2190459,PL,29,2019
2190460,PL,30,2019
2190461,PL,31,2019
2190462,PL,32,2019
2190463,RIC,1,2019
2190464,PL,33,2019
2190465,PL,34,2019
2190466,PL,35,2019
2190467,PL,36,2019
2190468,REQ,16,2019
2190469,INC,2,2019
2190470,REQ,17,2019
2190471,PL,38,2019
2190472,PL,39,2019
2190473,PL,40,2019
2190474,PL,41,2019
2190475,PL,42,2019
2190476,REQ,18,2019
2190477,PL,37,2019
2190483,PL,48,2019
2190484,PL,49,2019
2190485,PL,50,2019
2190486,PL,51,2019
2190487,PL,52,2019
2190488,PL,53,2019
2190489,PL,54,2019
2190490,PL,55,2019
