prop_id,casa,id_autor,nome,id_req
257161,camara,141516,PAULO ABI-ACKEL - PSDB/MG,2191329
257161,camara,178896,NEWTON CARDOSO JR - MDB/MG,2191525
257161,camara,178954,LUCIO MOSQUINI - MDB/RO,2192038
257161,camara,74439,WOLNEY QUEIROZ - PDT/PE,2192961
2088990,camara,204523,LUCAS GONZALEZ - NOVO/MG,2199551
46249,camara,204478,VINICIUS FARAH - MDB/RJ,2193641
345311,camara,160559,ALCEU MOREIRA - MDB/RS,2190982
345311,camara,178963,COVATTI FILHO - PP/RS,2191451
345311,camara,141417,EDIO LOPES - PR/RR,2191687
345311,camara,204478,VINICIUS FARAH - MDB/RJ,2193641
606722,camara,160531,JHONATAN DE JESUS - PRB/RR,2191144
606722,camara,164359,DELEGADO WALDIR - PSL/GO,2191477
606722,camara,204374,BIA KICIS - PSL/DF,2193183
606722,camara,204478,VINICIUS FARAH - MDB/RJ,2193641
541857,camara,178964,HEITOR SCHUCH - PSB/RS,2190540
541857,camara,177282,SUBTENENTE GONZAGA - PDT/MG,2191004
541857,camara,74399,ONYX LORENZONI - DEM/RS,2191425
541857,camara,178948,BETO ROSADO - PP/RN,2191902
541857,camara,178954,LUCIO MOSQUINI - MDB/RO,2192038
541857,camara,160545,ALEXANDRE LEITE - DEM/SP,2192430
541857,camara,204416,SANDERSON - PSL/RS,2193406
541857,camara,204416,SANDERSON - PSL/RS,2193571
541857,camara,204416,SANDERSON - PSL/RS,2193573
541857,camara,204359,LÉO MORAES - PODE/RO,2195264
51066,camara,160619,JOSÉ NUNES - PSD/BA,2191280
51066,camara,160575,ERIKA KOKAY - PT/DF,2191567
604888,camara,204526,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA - PSL/SP,2198154
2192459,camara,74571,NELSON PELLEGRINO - PT/BA,2192695
2192459,camara,178922,TADEU ALENCAR - PSB/PE,2193910
2192459,camara,204418,LUIZÃO GOULART - PRB/PR,2193934
2192459,camara,178922,TADEU ALENCAR - PSB/PE,2193934
2192459,camara,141488,PAULO TEIXEIRA - PT/SP,2193934
2192459,camara,74161,REGINALDO LOPES - PT/MG,2193934
2192459,camara,141470,JOSÉ GUIMARÃES - PT/CE,2193934
2192459,camara,204464,TALÍRIA PETRONE - PSOL/RJ,2193934
2192459,camara,204501,ALENCAR SANTANA BRAGA - PT/SP,2193934
2192459,camara,204575,GIL CUTRIM - PDT/MA,2193934
2192459,camara,204541,EDUARDO BISMARCK - PDT/CE,2193934
2192459,camara,177282,SUBTENENTE GONZAGA - PDT/MG,2193934
2192459,camara,204543,LUIZ FLÁVIO GOMES - PSB/SP,2193934
2192459,camara,73486,POMPEO DE MATTOS - PDT/RS,2193934
2192459,camara,141488,PAULO TEIXEIRA - PT/SP,2194447
2192459,camara,204500,EDUARDO COSTA - PTB/PA,2194500
2192459,camara,141470,JOSÉ GUIMARÃES - PT/CE,2194514
2192459,camara,141470,JOSÉ GUIMARÃES - PT/CE,2194515
2192459,camara,141470,JOSÉ GUIMARÃES - PT/CE,2194517
2192459,camara,141488,PAULO TEIXEIRA - PT/SP,2194569
2192459,camara,141488,PAULO TEIXEIRA - PT/SP,2194571
2192459,camara,74161,REGINALDO LOPES - PT/MG,2194640
2192459,camara,204514,CORONEL TADEU - PSL/SP,2194763
2192459,camara,204541,EDUARDO BISMARCK - PDT/CE,2194773
2192459,camara,178835,AFONSO MOTTA - PDT/RS,2194773
2192459,camara,204575,GIL CUTRIM - PDT/MA,2194773
2192459,camara,73486,POMPEO DE MATTOS - PDT/RS,2194773
2192459,camara,177282,SUBTENENTE GONZAGA - PDT/MG,2194773
