"id_proposicao","id_votacao","objeto_votacao","datetime","codigo_sessao"
"2183943","167281821","DTQ 12 - BL. PDT - ART. 22, INSERIDO NO ART. 6º DA MPV...","2019-02-13 18:21","16728"
"2190288","168132014","DTQ. 9 - PODEMOS - ART. 38, VII, DA MPV","2019-05-22 20:14","16813"
"2190288","168121634","REQ. PARA QUE TODAS AS VOTAÇÕES SEJA PELO PROCESSO NOMINAL","2019-05-22 16:34","16812"
"2190880","167341652","REQUERIMENTO DE RETIRADA DE PAUTA","2019-02-19 16:52","16734"
"16526","168392211","REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES","2019-06-17 22:11","16839"
"16526","168391926","REQUERIMENTO DE RETIRADA DE PAUTA","2019-06-17 19:26","16839"
"16526","169231719","DTQ 9 - NOVO - ART. 25 DO SUBSTITUTIVO","2019-09-11 17:19","16923"
"16526","169231943","DTQ 21 - PCdoB - EMENDA Nº 48","2019-09-11 19:43","16923"
"16526","169242027","DTQ 15 - PSD - EMENDA Nº 36","2019-09-11 20:27","16924"
"16526","169242055","DTQ 13 - REPUBLICANOS - EMENDA Nº 3","2019-09-11 20:55","16924"
"16526","169281834","DTQ 27 - PDT - EXP. ""... EM PERCENTUAL EQUIVALENTE A ATÉ 30%..."" - ART. 97","2019-09-17 18:34","16928"
"2188301","167992040","REQUERIMENTO DE RETIRADA DE PAUTA","2019-05-07 20:40","16799"
"2188301","167992055","PROJETO DE LEI DE CONVERSÃO Nº 5/2019","2019-05-07 20:55","16799"
"2188301","167981722","REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES","2019-05-07 17:22","16798"
"2188301","167981748","REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO","2019-05-07 17:48","16798"
"2188301","167981841","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","2019-05-07 18:41","16798"
"2188301","167992141","DTQ 2: PT: PARÁGRAFO ÚNICO, DO ART. 1º DO PLV","2019-05-07 21:41","16799"
"2188301","167981904","REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES","2019-05-07 19:04","16798"
"2188301","167981925","VOTAÇÃO DA ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES","2019-05-07 19:25","16798"
"2188301","167992229","DTQ 1: PT: ART. 7º DO PLV","2019-05-07 22:29","16799"
"2190355","168211957","REQUERIMENTO DE RETIRADA DE PAUTA","2019-05-29 19:57","16821"
"2190355","168222225","DTQ. 3 - PT - EMENDA Nº 185","2019-05-29 22:25","16822"
"2190355","168212144","DTQ. 27 - PT - INC. V DO ART. 8º, CONST. DO PLV","2019-05-29 21:44","16821"
"2190355","168222244","DTQ. 12 - PSB - EMENDA Nº 92","2019-05-29 22:44","16822"
"2190355","168222300","DTQ. 34 - BLOCO PP/MDB/PTB - EMENDA Nº 254, EXP. ""SENDO VEDADO...""","2019-05-29 23:00","16822"
"2192459","168872157","REQUERIMENTO DE RETIRADA DE PAUTA","2019-08-06 21:57","16887"
"2192459","168870012","PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO","2019-08-06 00:12","16887"
"2192459","168602219","REQUERIMENTO DE RETIRADA DE PAUTA","2019-07-09 22:19","16860"
"2192459","168622040","DTQ 9 - PL - EMENDA Nº 176","2019-07-10 20:40","16862"
"2192459","168632144","DTQ 2 - CIDADANIA - § ÚNICO DO ART. 203 DA CONSTITUIÇÃO FEDERAL","2019-07-11 21:44","16863"
"2192459","168661831","DTQ 11 - PT - ART. 26 DO SUBSTITUTIVO","2019-07-12 18:31","16866"
"2192459","168600029","REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO","2019-07-09 00:29","16860"
"2192459","168611349","CONSULTA AO PLENÁRIO SOBRE VOTAÇÃO PARCELADA","2019-07-10 13:49","16861"
"2192459","168611457","REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES","2019-07-10 14:57","16861"
"2192459","168642327","DTQ 14 - PSOL - §3º DO ART. 239, CONST. DO ART. 1º DO SUBSTITUTIVO","2019-07-11 23:27","16864"
"2192459","168651359","DTQ 44 - PDT - INC. IV DO ART. 20 DO SUBSTITUTIVO","2019-07-12 13:59","16865"
"2192459","168651536","DTQ 43 - PDT - EXP. "" EM DOIS ANOS"" CONST. DO §1º, DO ART. 20...","2019-07-12 15:36","16865"
