peso_arestas,id.x,id.y,num_coautorias,nome_eleitoral.x,sg_partido.x,uf.x,nome_eleitoral.y,sg_partido.y,uf.y
0.038461538461538464,191923,74273,1,FLAVIO NOGUEIRA,PDT,PI,JEFFERSON CAMPOS,PSB,SP
0.038461538461538464,204544,206231,1,ALEXANDRE FROTA,PSL,SP,TED CONTI,PSB,ES
0.038461538461538464,204405,206231,1,LIZIANE BAYER,PSB,RS,TED CONTI,PSB,ES
0.038461538461538464,161550,206231,1,EMIDINHO MADEIRA,PSB,MG,TED CONTI,PSB,ES
0.038461538461538464,191923,206231,1,FLAVIO NOGUEIRA,PDT,PI,TED CONTI,PSB,ES
8.746428571428572,204509,76874,66,ÁUREA CAROLINA,PSOL,MG,MARCELO FREIXO,PSOL,RJ
8.321428571428571,204509,73531,68,ÁUREA CAROLINA,PSOL,MG,IVAN VALENTE,PSOL,SP
7.578571428571428,204407,204509,65,FERNANDA MELCHIONNA,PSOL,RS,ÁUREA CAROLINA,PSOL,MG
6.5,152605,204509,59,GLAUBER BRAGA,PSOL,RJ,ÁUREA CAROLINA,PSOL,MG
8.11031746031746,204509,204535,66,ÁUREA CAROLINA,PSOL,MG,SÂMIA BOMFIM,PSOL,SP
0.7612004597179799,204370,204495,15,CÉLIO MOURA,PT,TO,AIRTON FALEIRO,PT,PA
1.6262645622820824,178970,204393,19,JOÃO DANIEL,PT,SE,FREI ANASTACIO RIBEIRO,PT,PB
11.517857142857142,204535,74784,62,SÂMIA BOMFIM,PSOL,SP,LUIZA ERUNDINA,PSOL,SP
1.4546736531911733,171619,204467,21,MARGARIDA SALOMÃO,PT,MG,PROFESSORA ROSA NEIDE,PT,MT
0.3026315789473684,204467,74057,2,PROFESSORA ROSA NEIDE,PT,MT,ALICE PORTUGAL,PCdoB,BA
0.7880069865245067,204467,74161,19,PROFESSORA ROSA NEIDE,PT,MT,REGINALDO LOPES,PT,MG
0.25,171619,74057,1,MARGARIDA SALOMÃO,PT,MG,ALICE PORTUGAL,PCdoB,BA
0.7880069865245067,171619,74161,19,MARGARIDA SALOMÃO,PT,MG,REGINALDO LOPES,PT,MG
0.25,74057,74161,1,ALICE PORTUGAL,PCdoB,BA,REGINALDO LOPES,PT,MG
9.49563492063492,152605,205548,61,GLAUBER BRAGA,PSOL,RJ,DAVID MIRANDA,PSOL,RJ
0.125,160527,178922,1,AGUINALDO RIBEIRO,PP,PB,TADEU ALENCAR,PSB,PE
0.12960829493087558,133439,160527,2,ANDRÉ FIGUEIREDO,PDT,CE,AGUINALDO RIBEIRO,PP,PB
0.125,178922,198783,1,TADEU ALENCAR,PSB,PE,EMANUEL PINHEIRO NETO,PTB,MT
0.125,133439,198783,1,ANDRÉ FIGUEIREDO,PDT,CE,EMANUEL PINHEIRO NETO,PTB,MT
0.7852564102564102,133439,178922,6,ANDRÉ FIGUEIREDO,PDT,CE,TADEU ALENCAR,PSB,PE
0.125,160541,178922,1,ARTHUR LIRA,PP,AL,TADEU ALENCAR,PSB,PE
0.125,160510,178922,1,LUIS TIBÉ,AVANTE,MG,TADEU ALENCAR,PSB,PE
0.125,160665,178922,1,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,TADEU ALENCAR,PSB,PE
0.125,178922,74471,1,TADEU ALENCAR,PSB,PE,ANDRÉ DE PAULA,PSD,PE
0.125,133439,160541,1,ANDRÉ FIGUEIREDO,PDT,CE,ARTHUR LIRA,PP,AL
0.125,133439,160510,1,ANDRÉ FIGUEIREDO,PDT,CE,LUIS TIBÉ,AVANTE,MG
0.12960829493087558,133439,160665,2,ANDRÉ FIGUEIREDO,PDT,CE,AUGUSTO COUTINHO,SOLIDARIEDADE,PE
0.125,133439,74471,1,ANDRÉ FIGUEIREDO,PDT,CE,ANDRÉ DE PAULA,PSD,PE
0.9125,204370,204435,5,CÉLIO MOURA,PT,TO,JESUS SÉRGIO,PDT,AC
1.0291666666666668,204435,205476,6,JESUS SÉRGIO,PDT,AC,CHARLES FERNANDES,PSD,BA
0.6807987711213518,204378,204435,4,CORONEL CHRISÓSTOMO,PSL,RO,JESUS SÉRGIO,PDT,AC
