id_proposicao,id_votacao,partido,voto
28692,167471911,PSL,1
28692,167471911,PP,1
28692,167471911,PSD,1
28692,167471911,PDT,5
28692,167471911,SD,5
28692,167471911,PODEMOS,5
28692,167471911,PT,-1
28692,167471911,PSB,-1
28692,167471911,PSOL,-1
28692,167471911,PPS,1
28692,167471911,NOVO,1
28692,167471911,PATRIOTA,1
28692,167471911,MINORIA,-1
28692,167471911,GOVERNO,1
28692,167471744,PSL,5
28692,167471744,PP,5
28692,167471744,PSD,5
28692,167471744,PDT,-1
28692,167471744,SD,-1
28692,167471744,PODEMOS,-1
28692,167471744,PT,-1
28692,167471744,PSB,-1
28692,167471744,PSOL,-1
28692,167471744,PPS,1
28692,167471744,NOVO,1
28692,167471744,MINORIA,-1
28692,167471744,OPOSIÇÃO,-1
28692,167471744,GOVERNO,5
946494,167612120,PSL,1
946494,167612120,PP,1
946494,167612120,PSD,1
946494,167612120,PDT,1
946494,167612120,PODEMOS,1
946494,167612120,PROS,1
946494,167612120,PT,1
946494,167612120,PSB,1
946494,167612120,PRB,1
946494,167612120,PSDB,1
946494,167612120,SOLIDARIEDADE,1
946494,167612120,PSOL,1
946494,167612120,PCdoB,1
946494,167612120,PPS,1
946494,167612120,NOVO,5
946494,167612120,PATRIOTA,1
946494,167612120,PHS,1
946494,167612120,PRP,1
946494,167612120,REDE,1
946494,167612120,PPL,1
946494,167612120,MAIORIA,1
946494,167612120,MINORIA,1
946494,167612120,OPOSIÇÃO,1
946494,167612120,GOVERNO,1
946494,167612104,PSL,-1
946494,167612104,PP,-1
946494,167612104,PSD,-1
946494,167612104,PDT,-1
946494,167612104,PODEMOS,-1
946494,167612104,PROS,-1
946494,167612104,PT,-1
946494,167612104,PSB,-1
946494,167612104,PRB,-1
946494,167612104,PSDB,-1
946494,167612104,SOLIDARIEDADE,-1
946494,167612104,PSOL,-1
946494,167612104,PCdoB,-1
946494,167612104,PPS,-1
946494,167612104,NOVO,5
946494,167612104,PATRIOTA,-1
946494,167612104,PHS,-1
946494,167612104,PRP,-1
946494,167612104,REDE,-1
946494,167612104,PPL,-1
946494,167612104,MAIORIA,-1
946494,167612104,MINORIA,-1
946494,167612104,OPOSIÇÃO,-1
946494,167612104,GOVERNO,-1
946494,167612109,PSL,-1
946494,167612109,PP,-1
946494,167612109,PSD,-1
946494,167612109,PDT,-1
946494,167612109,PODEMOS,-1
946494,167612109,PROS,-1
946494,167612109,PT,-1
946494,167612109,PSB,-1
946494,167612109,PRB,-1
946494,167612109,PSDB,-1
