"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor"
"2199850";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199850";"204352";"https://dadosabertos.camara.leg.br/api/v2/deputados/204352";"10000";"Deputado";"Camilo Capiberibe";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"AP"
"2199849";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199849";"92346";"https://dadosabertos.camara.leg.br/api/v2/deputados/92346";"10000";"Deputado";"Eduardo Bolsonaro";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"SP"
"2199848";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199848";"178833";"https://dadosabertos.camara.leg.br/api/v2/deputados/178833";"10000";"Deputado";"Alexandre Serfiotis";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"RJ"
"2199847";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199847";"204352";"https://dadosabertos.camara.leg.br/api/v2/deputados/204352";"10000";"Deputado";"Camilo Capiberibe";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"AP"
"2199846";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199846";"204383";"https://dadosabertos.camara.leg.br/api/v2/deputados/204383";"10000";"Deputado";"Professor Israel Batista";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"DF"
"2199845";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199845";"204383";"https://dadosabertos.camara.leg.br/api/v2/deputados/204383";"10000";"Deputado";"Professor Israel Batista";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"DF"
"2199844";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199844";"178929";"https://dadosabertos.camara.leg.br/api/v2/deputados/178929";"10000";"Deputado";"Diego Garcia";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"PR"
"2199843";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199843";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado";"Silas Câmara";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"AM"
"2199842";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199842";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado";"Silas Câmara";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"AM"
"2199841";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199841";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado";"Silas Câmara";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"AM"
"2199840";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199840";"204533";"https://dadosabertos.camara.leg.br/api/v2/deputados/204533";"10000";"Deputado";"Idilvan Alencar";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"CE"
"2199839";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199839";"204533";"https://dadosabertos.camara.leg.br/api/v2/deputados/204533";"10000";"Deputado";"Idilvan Alencar";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"CE"
"2199838";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199838";"178990";"https://dadosabertos.camara.leg.br/api/v2/deputados/178990";"10000";"Deputado";"Samuel Moreira";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"SP"
"2199836";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199836";"204427";"https://dadosabertos.camara.leg.br/api/v2/deputados/204427";"10000";"Deputado";"Fernando Rodolfo";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"PE"
"2199835";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199835";"74060";"https://dadosabertos.camara.leg.br/api/v2/deputados/74060";"10000";"Deputado";"Daniel Almeida";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"BA"
"2199834";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199834";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199833";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199833";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199832";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199832";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199831";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199831";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199830";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199830";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199829";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199829";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199828";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199828";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199827";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199827";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199826";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199826";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199825";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199825";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199824";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199824";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199823";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199823";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199822";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199822";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199821";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199821";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199820";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199820";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199819";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199819";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199818";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199818";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199817";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199817";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199816";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199816";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199815";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199815";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199814";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199814";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199813";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199813";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199812";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199812";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199811";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199811";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199810";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199810";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199809";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199809";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199808";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199808";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199807";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199807";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199806";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199806";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199805";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199805";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199804";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199804";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199803";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199803";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199802";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199802";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199801";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199801";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199800";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199800";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199799";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199799";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199798";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199798";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"10000";"Deputado";"Marcos Pereira";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"SP"
"2199797";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199797";"92346";"https://dadosabertos.camara.leg.br/api/v2/deputados/92346";"10000";"Deputado";"Eduardo Bolsonaro";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"SP"
"2199796";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199796";"204377";"https://dadosabertos.camara.leg.br/api/v2/deputados/204377";"10000";"Deputado";"Paula Belmonte";"CIDADANIA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"DF"
"2199795";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199795";"204377";"https://dadosabertos.camara.leg.br/api/v2/deputados/204377";"10000";"Deputado";"Paula Belmonte";"CIDADANIA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"DF"
"2199794";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199794";"74784";"https://dadosabertos.camara.leg.br/api/v2/deputados/74784";"10000";"Deputado";"Luiza Erundina";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"SP"
"2199794";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199794";"204535";"https://dadosabertos.camara.leg.br/api/v2/deputados/204535";"10000";"Deputado";"Sâmia Bomfim";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"SP"
"2199793";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199793";"178937";"https://dadosabertos.camara.leg.br/api/v2/deputados/178937";"10000";"Deputado";"Altineu Côrtes";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"RJ"
