"link_votacao","id_votacao","titulo","tipo","votos_sim","votos_nao","votos_abstencao"
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6310",6310,"PROJETO DE LEI DE CONVERSÃO","Nominal Eletrônica",277,178,1
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6312",6312,"DVS - PMDB - EMENDA Nº 507","Nominal Eletrônica",194,261,4
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6313",6313,"DVS - PTB - §§10, 11 E 12 DA EMENDA Nº 45","Nominal Eletrônica",232,210,2
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6314",6314,"DVS - PPS - §10 DO ART. 29 DA LEI 8.213/1991 CONST. DO ART. 3º DO PLV","Nominal Eletrônica",294,158,2
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6315",6315,"DVS - PP - ALTERAÇÃO PROMOVIDA PELO ART. 3º  DO PLV","Nominal Eletrônica",220,229,1
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6317",6317,"EMENDA AGLUTINATIVA Nº 5","Nominal Eletrônica",110,226,NA
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6320",6320,"DVS - PSDB - §5º DO ART. 60 DA LEI Nº 8.213/1991 ALT. PELO ART. 3º  DO PLV","Nominal Eletrônica",244,144,2
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6321",6321,"DVS - PCdoB - INC. II E III DO §5º DO ART. 60 DA LEI Nº 8.213/1991","Nominal Eletrônica",267,144,3
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6323",6323,"DVS - DEM - ART. 77, §2º, INC. V, ALÍNEA ""C"" DA LEI Nº 8.213/1991","Nominal Eletrônica",248,143,3
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6324",6324,"DVS - PSDB - §2ºB DO ART. 77 DA LEI Nº 8.213/1991, CONST. DO ART. 3º DO PLV","Nominal Eletrônica",221,172,6
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6286",6286,"PROJETO DE LEI DE CONVERSÃO","Nominal Eletrônica",252,227,1
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6287",6287,"DVS - SD - ART. 9º DA LEI Nº 7.998/1990, MODIFICADO PELO ART. 1 DO PLV","Nominal Eletrônica",247,220,4
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6288",6288,"DVS - PSB - EXPR. ""CONTRATADO POR PRAZO INDETERMINADO""","Nominal Eletrônica",234,229,2
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6289",6289,"DVS - DEM - ART. 3º DA LEI 7998/90","Nominal Eletrônica",258,195,3
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6290",6290,"EMENDA AGLUTINATIVA Nº 1","Nominal Eletrônica",186,251,3
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6291",6291,"DVS - PSDB - INCISO I DO ART. 3º DA LEI 7998/90","Nominal Eletrônica",253,186,4
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6292",6292,"DVS - PSDB - EMENDA Nº 208","Nominal Eletrônica",179,241,2
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6293",6293,"DVS - PSOL - EMENDA Nº 98","Nominal Eletrônica",155,255,7
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6294",6294,"DVS - PPS - EMENDA Nº 94","Nominal Eletrônica",180,241,3
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6295",6295,"DVS - PMDB - ART. 2º DO PLV","Nominal Eletrônica",223,180,3
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6296",6296,"DVS - PDT - EMENDA 68","Nominal Eletrônica",180,244,2
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6297",6297,"DVS - PSDB - § 8º DO ART. 2º DA LEI 10.779/2003","Nominal Eletrônica",233,184,5
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6388",6388,"DTQ. 2  DEM - EMENDA Nº 88","Nominal Eletrônica",170,271,1
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6390",6390,"DTQ. 3 PPS - EMENDA Nº 76","Nominal Eletrônica",222,199,2
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6391",6391,"DTQ. 5  PSDB - EMENDA Nº 16","Nominal Eletrônica",231,143,NA
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6407",6407,"EMENDA AGLUTINATIVA Nº 1","Nominal Eletrônica",206,179,4
"https://dadosabertos.camara.leg.br/api/v2/votacoes/6408",6408,"DTQ 13: PSDB - EMENDA 65","Nominal Eletrônica",119,279,NA
