id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,apelido,tema,regime_tramitacao,forma_apreciacao,relator_nome,temperatura
257161,PL,3729,"Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências. Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988.",2004-06-08T00:00:00Z,camara,camara,JOÃO GRANDÃO+LUCI CHOINACKI+IVAN VALENTE+LUCIANO ZICA+JOÃO ALFREDO+LUIZ ALBERTO+LUIZ EDUARDO GREENHALGH+ZEZÉU RIBEIRO+IVO JOSÉ+IRINY LOPES+WALTER PINHEIRO+MAURO PASSOS+VIGNATTI+NAZARENO FONTELES+IARA BERNARDI,MS+SC+SP+SP+CE+BA+SP+BA+MG+ES+BA+SC+SC+PI+SP,PT+PT+PSOL+PT+PSOL+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT,Lei do Licenciamento Ambiental,Meio Ambiente,Urgência,Plenário,Dep. Lucas Redecker (PSDB-RS),4.06
132865,PLS,168,Regulamenta o licenciamento ambiental previsto no inciso IV do § 1º do art. 225 da Constituição Federal e dispõe sobre a avaliação ambiental estratégica.,2018-04-10T00:00:00Z,senado,senado,Acir Gurgacz PDT / RO,NA,NA,Lei Geral de Licenciamento Ambiental,Meio Ambiente,Ordinária,Plenário,Sérgio Petecão,0.01
46249,PL,6299,"Altera os arts 3º e 9º da Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências. Dispõe que o registro prévio do agrotóxico será o do princípio ativo;  dá  competência à União para legislar sobre destruição de embalagem do defensivo agrícola.",2002-03-13T00:00:00Z,camara,senado,Senado Federal - BLAIRO MAGGI,NA,NA,PL do Veneno,Meio Ambiente,Prioridade,Plenário,Dep. Luiz Nishimori (PR-PR),0.08
41703,PLS,526,"Altera a Lei nº 7802, de 11 de julho de 1999, que ""dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem,  o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, o destino, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências.""",1999-08-31T00:00:00Z,senado,senado,Blairo Maggi PL / MT,NA,NA,PL do Veneno,Meio Ambiente,Ordinária,Plenário,Jonas Pinheiro,0
345311,PL,490,"Altera a Lei n° 6.001, de 19 de dezembro de 1973, que dispõe sobre o Estatuto do Índio. Estabelece que as terras indígenas serão demarcadas através de leis.",2007-03-20T16:13:00Z,camara,camara,HOMERO PEREIRA,MT,PSD,Estatuto do Índio,Meio Ambiente,Ordinária,Plenário,Dep. Arthur Oliveira Maia (DEM-BA),0.71
2085536,PL,5370,"Dispõe sobre a zona de amortecimento das unidades de conservação; altera a Lei nº 9.985, de 18 de julho de 2000.",2016-05-24T13:38:00Z,camara,camara,TONINHO PINHEIRO,MG,PP,Lei para Acabar Zona de Amortecimento,Meio Ambiente,Ordinária,Conclusiva,Dep. Roberto Balestra (PP-GO),0
2120775,PL,6670,"Institui a Política Nacional de Redução de Agrotóxicos - PNARA, e dá outras providencias.",2016-12-13T14:59:00Z,camara,camara,Comissão de Legislação Participativa,NA,NA,Política Governo de Redução de Agrotóxico,Meio Ambiente,Prioridade,Plenário,Dep. Nilto Tatto (PT-SP),0.26
2056568,PL,3751,"Dispõe sobre a desapropriação e indenização de propriedades privadas em unidades de conservação de domínio público. Altera a Lei nº 9.985, de 2000.",2015-11-25T13:36:00Z,camara,camara,TONINHO PINHEIRO,MG,PP,Indenização Propriedades Privadas em Unidades de Conservação,Meio Ambiente,Ordinária,Conclusiva,Dep. Alessandro Molon (PSB-RJ),0
1738598,PL,3068,"Dispõe sobre a criação da Área de Proteção Ambiental de Canavieiras, localizada nos Municípios de Canavieiras, Belmonte e Una, no Estado da Bahia.",2015-09-22T18:19:00Z,camara,camara,SÉRGIO BRITO,BA,PSD,Criação da Área de Proteção Ambiental de Canavieiras,Meio Ambiente,Ordinária,Conclusiva,Dep. Ricardo Izar (PP-SP),0
14562,PEC,215,"Acrescenta o inciso XVIII ao art. 49; modifica o § 4º e acrescenta o § 8º ambos no art. 231, da Constituição Federal. Inclui dentre as competências exclusivas do Congresso Nacional a aprovação de demarcação das terras tradicionalmente ocupadas pelos índios e a ratificação das demarcações já homologadas; estabelecendo que os critérios e procedimentos de demarcação serão regulamentados por lei.",2000-03-28T00:00:00Z,camara,camara,SÁ,RR,PR,Demarcações passam a ser competência exclusiva do Congresso,Meio Ambiente,Especial,Plenário,Dep. Osmar Serraglio (PMDB-PR),0
