id_frente,titulo_frente,id_legislatura,telefone,situacao,url_documento,id_coordenador,nome_coordenador,partido_coordenador,uf_coordenador,id_legislatura_coordenador,url_coordenador,tema
54012,Frente Parlamentar Ambientalista,56,3215 5304,"04/04/2019 - Recebidos o REQ 1069/2019, a Ata, o Estatuto e as adesões.
04/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
10/04/2019 - Confirmadas 216 assinaturas de Deputados. Há Senadores. 
10/04/2019 - Of. 137/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
16/04/2019 - Confirmadas 5 assinaturas de Senadores. 
16/04/2019 - Vai à publicação.
08/05/2019 - Recebido o OF 11/19, solicitando inclusão do Senador Fabiano Contarato.
09/05/2019 - Of. 169/2019/SGM encaminhado ao Senado para conferência da assinatura.
16/05/2019 - Confirmada a assinatura do Senador. Publique-se.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63843-integra.pdf,160511,ALESSANDRO MOLON,PSB,RJ,56,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,Ambientalista
54013,Frente Parlamentar em Defesa da Amazônia,56,3215 5373,"03/04/2019 - Recebidos o REQ 1078/2019, a Ata, o Estatuto e as adesões.
03/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
10/04/2019 - Confirmadas 211 assinaturas de Deputados. Não há Senadores. 
10/04/2019 - Vai à publicação/05/2019 - Recebido o OF 27/2019, solicitando inclusão de nova adesão. 
28/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas. 
11/03/2019 - Confirmadas 2 adesões de Deputados. Não há Senadores.
11/03/2019 - Vai à publicação.
14/05/2019 - Recebido o OF 27/2019, solicitando inclusão de nova adesão. Ao SEPRO, para conferência.
14/05/2019 - Confirmada 1 adesão de Deputado. Não há Senadores. Publique-se.
21/08/2019 - Recebido o OF 102/2019, solicitando inclusão de novas adesões. Ao SEPRO, para conferência.
22/08/2019 - Confirmadas 3 adesões de Deputados. Não há Senadores. Publique-se.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63845-integra.pdf,204569,DELEGADO PABLO,PSL,AM,56,https://dadosabertos.camara.leg.br/api/v2/deputados/204569,Ambientalista
53919,Frente Parlamentar em Defesa da Água no Nordeste,56,3215 5481,"22/02/2019- Recebidos o REQ 577/2019, a Ata, o Estatuto e as adesões.
22/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
26/02/2019 - Confirmadas 205 assinaturas de Deputados. Não há Senadores. 
26/02/2019 - Vai à publicação.
17/07/2019 - Recebido o OF 74/19, solicitando inclusão de novas adesões. Ao SEPRO, para conferência.
19/07/2019 - Confirmadas 22 adesões de Deputados. Não há Senadores.
19/07/2019 - Vai à publicação.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62768-integra.pdf,204427,FERNANDO RODOLFO,PL,PE,56,https://dadosabertos.camara.leg.br/api/v2/deputados/204427,Ambientalista
53981,Frente Parlamentar em Defesa da Energia Solar no Brasil,56,3215 5202,"22/03/2019- Recebidos o REQ 904/2019, a Ata, o Estatuto e as adesões.
22/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
27/03/2019 - Confirmadas 202 assinaturas de Deputados. Não há Senadores. 
27/03/2019 - Vai à publicação.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63479-integra.pdf,178924,CAPITÃO FÁBIO ABREU,PL,PI,56,https://dadosabertos.camara.leg.br/api/v2/deputados/178924,Ambientalista
54066,Frente Parlamentar em Defesa do Rio São Francisco,56,3215 5833,"10/05/2019 - Recebidos o REQ 1446/2019, a Ata, o Estatuto e as adesões.
10/05/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
20/05/2019 - Confirmadas 209 assinaturas de Deputados. Não há Senadores. 
20/05/2019 - Vai à publicação.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64908-integra.pdf,204492,PAULO GUEDES,PT,MG,56,https://dadosabertos.camara.leg.br/api/v2/deputados/204492,Ambientalista
54067,Frente Parlamentar em Defesa do Rio Jequitinhonha,56,3215 5833,"10/05/2019 - Recebidos o REQ 1447/2019, a Ata, o Estatuto e as adesões.
10/05/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
20/05/2019 - Confirmadas 206 assinaturas de Deputados. Não há Senadores. 
20/05/2019 - Vai à publicação.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64910-integra.pdf,204492,PAULO GUEDES,PT,MG,56,https://dadosabertos.camara.leg.br/api/v2/deputados/204492,Ambientalista
54151,Frente Parlamentar em Favor do Pagamento por Serviços Ambientais e Produção Sustentável,56,3215 5327,"19/07/2019 - Recebidos o REQ 1990/2019, a Ata, o Estatuto e as adesões.
19/07/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
07/08/2019 - Confirmadas 216 assinaturas de Deputados. Não há Senadores. 
07/08/2019 - Vai à publicação.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/66893-integra.pdf,204495,AIRTON FALEIRO,PT,PA,56,https://dadosabertos.camara.leg.br/api/v2/deputados/204495,Ambientalista
53963,Frente Parlamentar Mista da Agricultura Familiar,56,3215 5537,"20/03/2019 - Recebidos o REQ 849/2019, a Ata, o Estatuto e as adesões.
20/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
22/03/2019 - Confirmadas 202 assinaturas de Deputados. Há Senadores. 
22/03/2019 - Of. 106/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
01/04/2019 - Confirmadas 2 assinaturas de Senadores. 
01/04/2019 - Vai à publicação.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63358-integra.pdf,NA,Marreca Filho,NA,NA,NA,NA,Ambientalista
53955,Frente Parlamentar Mista da Agricultura Familiar - FPAF,56,3215 5277,"14/03/2019 - Recebidos o REQ 777/2019, a Ata, o Estatuto e as adesões.
14/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
19/03/2019 - Confirmadas 186 assinaturas de Deputados. Há Senadores. 
19/03/2019 - Of. 100/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
26/03/2019 - Confirmadas 11 adesões de Senadores, totalizando 197 adesões. Entrei em contato com o Gabinete (Caleandra) e solicitei novas adesões.
27/03/2019 - Recebidas novas assinaturas, encaminhado ao SEPRO para conferência de assinaturas.
27/03/2019 - Confirmadas 193 assinaturas de Deputados e 11 de Senadores.
27/03/2019 - Vai à publicação.
25/06/2019 - Recebidas novas assinaturas, encaminhado ao SEPRO para conferência de assinaturas.
26/06/2019 - Confirmadas 16 assinaturas. Vai à publicação.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63199-integra.pdf,178964,HEITOR SCHUCH,PSB,RS,56,https://dadosabertos.camara.leg.br/api/v2/deputados/178964,Ambientalista
53900,Frente Parlamentar Mista da Energia Limpa e Sustentável,56,3215 5208,"08/02/2019- Recebidos o REQ 270/2019, a Ata, o Estatuto e as adesões.
08/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
12/02/2019 - Confirmadas 201 assinaturas de Deputados. Há Senadores. 
12/02/2019 - Of. 56/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
19/02/2019 - Confirmadas 9 assinaturas de Senadores. 
19/02/2019 - Vai à publicação.
28/02/2019 - Recebido o OF 5/2019, solicitando inclusão de novas adesões. 
28/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
08/03/2019 - Confirmadas 207 assinaturas de Deputados. Há Senadores. 
08/03/2019 - Of. 85/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
12/03/2019 - Confirmadas 9 assinaturas de Senadores. 
12/03/2019 - Vai à publicação.",https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62430-integra.pdf,98057,LAFAYETTE DE ANDRADA,REPUBLICANOS,MG,56,https://dadosabertos.camara.leg.br/api/v2/deputados/98057,Ambientalista
