id_coordenador,id_frente,id_legislatura,id_legislatura_coordenador,nome_coordenador,partido_coordenador,situacao,telefone,titulo_frente,uf_coordenador,url_coordenador,url_documento
160511,54012,56,56,ALESSANDRO MOLON,PSB,"04/04/2019 - Recebidos o REQ 1069/2019, a Ata, o Estatuto e as adesões.
04/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
10/04/2019 - Confirmadas 216 assinaturas de Deputados. Há Senadores. 
10/04/2019 - Of. 137/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
16/04/2019 - Confirmadas 5 assinaturas de Senadores. 
16/04/2019 - Vai à publicação.
08/05/2019 - Recebido o OF 11/19, solicitando inclusão do Senador Fabiano Contarato.
09/05/2019 - Of. 169/2019/SGM encaminhado ao Senado para conferência da assinatura.
16/05/2019 - Confirmada a assinatura do Senador. Publique-se.",3215 5304,Frente Parlamentar Ambientalista,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63843-integra.pdf
204569,54013,56,56,DELEGADO PABLO,PSL,"03/04/2019 - Recebidos o REQ 1078/2019, a Ata, o Estatuto e as adesões.
03/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
10/04/2019 - Confirmadas 211 assinaturas de Deputados. Não há Senadores. 
10/04/2019 - Vai à publicação/05/2019 - Recebido o OF 27/2019, solicitando inclusão de nova adesão. 
28/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas. 
11/03/2019 - Confirmadas 2 adesões de Deputados. Não há Senadores.
11/03/2019 - Vai à publicação.
14/05/2019 - Recebido o OF 27/2019, solicitando inclusão de nova adesão. Ao SEPRO, para conferência.
14/05/2019 - Confirmada 1 adesão de Deputado. Não há Senadores. Publique-se.
21/08/2019 - Recebido o OF 102/2019, solicitando inclusão de novas adesões. Ao SEPRO, para conferência.
22/08/2019 - Confirmadas 3 adesões de Deputados. Não há Senadores. Publique-se.",3215 5373,Frente Parlamentar em Defesa da Amazônia,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/204569,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63845-integra.pdf
204427,53919,56,56,FERNANDO RODOLFO,PL,"22/02/2019- Recebidos o REQ 577/2019, a Ata, o Estatuto e as adesões.
22/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
26/02/2019 - Confirmadas 205 assinaturas de Deputados. Não há Senadores. 
26/02/2019 - Vai à publicação.
17/07/2019 - Recebido o OF 74/19, solicitando inclusão de novas adesões. Ao SEPRO, para conferência.
19/07/2019 - Confirmadas 22 adesões de Deputados. Não há Senadores.
19/07/2019 - Vai à publicação.",3215 5481,Frente Parlamentar em Defesa da Água no Nordeste,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/204427,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62768-integra.pdf
178924,53981,56,56,CAPITÃO FÁBIO ABREU,PL,"22/03/2019- Recebidos o REQ 904/2019, a Ata, o Estatuto e as adesões.
22/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
27/03/2019 - Confirmadas 202 assinaturas de Deputados. Não há Senadores. 
27/03/2019 - Vai à publicação.",3215 5202,Frente Parlamentar em Defesa da Energia Solar no Brasil,PI,https://dadosabertos.camara.leg.br/api/v2/deputados/178924,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63479-integra.pdf
204492,54066,56,56,PAULO GUEDES,PT,"10/05/2019 - Recebidos o REQ 1446/2019, a Ata, o Estatuto e as adesões.
10/05/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
20/05/2019 - Confirmadas 209 assinaturas de Deputados. Não há Senadores. 
20/05/2019 - Vai à publicação.",3215 5833,Frente Parlamentar em Defesa do Rio São Francisco,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204492,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64908-integra.pdf
204492,54067,56,56,PAULO GUEDES,PT,"10/05/2019 - Recebidos o REQ 1447/2019, a Ata, o Estatuto e as adesões.
10/05/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
20/05/2019 - Confirmadas 206 assinaturas de Deputados. Não há Senadores. 
20/05/2019 - Vai à publicação.",3215 5833,Frente Parlamentar em Defesa do Rio Jequitinhonha,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204492,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64910-integra.pdf
204495,54151,56,56,AIRTON FALEIRO,PT,"19/07/2019 - Recebidos o REQ 1990/2019, a Ata, o Estatuto e as adesões.
19/07/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
07/08/2019 - Confirmadas 216 assinaturas de Deputados. Não há Senadores. 
07/08/2019 - Vai à publicação.",3215 5327,Frente Parlamentar em Favor do Pagamento por Serviços Ambientais e Produção Sustentável,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/204495,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/66893-integra.pdf
NA,53963,56,NA,Marreca Filho,NA,"20/03/2019 - Recebidos o REQ 849/2019, a Ata, o Estatuto e as adesões.
20/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
22/03/2019 - Confirmadas 202 assinaturas de Deputados. Há Senadores. 
22/03/2019 - Of. 106/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
01/04/2019 - Confirmadas 2 assinaturas de Senadores. 
01/04/2019 - Vai à publicação.",3215 5537,Frente Parlamentar Mista da Agricultura Familiar,NA,NA,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63358-integra.pdf
178964,53955,56,56,HEITOR SCHUCH,PSB,"14/03/2019 - Recebidos o REQ 777/2019, a Ata, o Estatuto e as adesões.
14/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
19/03/2019 - Confirmadas 186 assinaturas de Deputados. Há Senadores. 
19/03/2019 - Of. 100/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
26/03/2019 - Confirmadas 11 adesões de Senadores, totalizando 197 adesões. Entrei em contato com o Gabinete (Caleandra) e solicitei novas adesões.
27/03/2019 - Recebidas novas assinaturas, encaminhado ao SEPRO para conferência de assinaturas.
27/03/2019 - Confirmadas 193 assinaturas de Deputados e 11 de Senadores.
27/03/2019 - Vai à publicação.
25/06/2019 - Recebidas novas assinaturas, encaminhado ao SEPRO para conferência de assinaturas.
26/06/2019 - Confirmadas 16 assinaturas. Vai à publicação.",3215 5277,Frente Parlamentar Mista da Agricultura Familiar - FPAF,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/178964,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63199-integra.pdf
98057,53900,56,56,LAFAYETTE DE ANDRADA,REPUBLICANOS,"08/02/2019- Recebidos o REQ 270/2019, a Ata, o Estatuto e as adesões.
08/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
12/02/2019 - Confirmadas 201 assinaturas de Deputados. Há Senadores. 
12/02/2019 - Of. 56/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
19/02/2019 - Confirmadas 9 assinaturas de Senadores. 
19/02/2019 - Vai à publicação.
28/02/2019 - Recebido o OF 5/2019, solicitando inclusão de novas adesões. 
28/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
08/03/2019 - Confirmadas 207 assinaturas de Deputados. Há Senadores. 
08/03/2019 - Of. 85/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
12/03/2019 - Confirmadas 9 assinaturas de Senadores. 
12/03/2019 - Vai à publicação.",3215 5208,Frente Parlamentar Mista da Energia Limpa e Sustentável,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/98057,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62430-integra.pdf
