id,tipo
54012,Ambientalista
54013,Ambientalista
53919,Ambientalista
53981,Ambientalista
54066,Ambientalista
54067,Ambientalista
54151,Ambientalista
53963,Ambientalista
53955,Ambientalista
53900,Ambientalista
54089,Ambientalista
54033,Ambientalista
54136,Ambientalista
54108,Ambientalista
53935,Ambientalista
54145,Ambientalista
53911,Ambientalista
54154,Ambientalista
53999,Ambientalista
54111,Ambientalista
53943,Ambientalista
53910,Agropecuária
54124,Agropecuária
53968,Agropecuária
54103,Agropecuária
54026,Agropecuária
53921,Agropecuária
54028,Agropecuária
54107,Agropecuária
54030,Agropecuária
53950,Agropecuária
53947,Agropecuária
53919,Agropecuária
54080,Infraestrutura e mineração
54031,Infraestrutura e mineração
54009,Infraestrutura e mineração
53916,Infraestrutura e mineração
54016,Infraestrutura e mineração
53941,Infraestrutura e mineração
53937,Infraestrutura e mineração
53926,Infraestrutura e mineração
53913,Infraestrutura e mineração
53887,Contra corrupção
53888,Contra corrupção
