cod_titulo,data_fim,data_inicio,email,id,id_frente,id_legislatura,nome,sigla_partido,sigla_uf,titulo,uri,uri_partido,url_foto,tema
1004,NA,NA,NA,92699,54012,56,FERNANDO MONTEIRO,PP,PE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/92699,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/92699.jpg,Ambientalista
1004,NA,NA,NA,92776,54012,56,STEFANO AGUIAR,PSD,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/92776,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/92776.jpg,Ambientalista
1004,NA,NA,NA,93083,54012,56,CACÁ LEÃO,PP,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/93083,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/93083.jpg,Ambientalista
1004,NA,NA,NA,98057,54012,56,LAFAYETTE DE ANDRADA,REPUBLICANOS,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/98057,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/98057.jpg,Ambientalista
1004,NA,NA,NA,109429,54012,56,BENES LEOCÁDIO,REPUBLICANOS,RN,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/109429,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/109429.jpg,Ambientalista
1004,NA,NA,NA,122158,54012,56,PEDRO PAULO,DEM,RJ,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/122158,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,https://www.camara.leg.br/internet/deputado/bandep/122158.jpg,Ambientalista
1004,NA,NA,NA,132504,54012,56,ENIO VERRI,PT,PR,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/132504,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/132504.jpg,Ambientalista
1004,NA,NA,NA,133968,54012,56,PAULO RAMOS,PDT,RJ,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/133968,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/133968.jpg,Ambientalista
1004,NA,NA,NA,134812,54012,56,EDMILSON RODRIGUES,PSOL,PA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,https://www.camara.leg.br/internet/deputado/bandep/134812.jpg,Ambientalista
1004,NA,NA,NA,135054,54012,56,CRISTIANO VALE,PL,PA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/135054,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/135054.jpg,Ambientalista
