id_proposicao,id_votacao,objeto_votacao,datetime,codigo_sessao
2188301,167992229,DTQ 1: PT: ART. 7º DO PLV,2019-05-07T22:29:00Z,16799
2188301,167981904,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-05-07T19:04:00Z,16798
2188301,167981925,VOTAÇÃO DA ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES,2019-05-07T19:25:00Z,16798
2189858,168101803,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-21T18:03:00Z,16810
2189858,168101907,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-05-21T19:07:00Z,16810
2189858,168101724,REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,2019-05-21T17:24:00Z,16810
2189858,168112153,DTQ. 5 - PSB - EMENDA Nº 21,2019-05-21T21:53:00Z,16811
2189858,168101831,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-05-21T18:31:00Z,16810
2190237,168181939,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-28T19:39:00Z,16818
2190237,168181850,REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,2019-05-28T18:50:00Z,16818
2190237,168192147,PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...,2019-05-28T21:47:00Z,16819
2190237,168201630,PROJETO DE LEI DE CONVERSÃO Nº 9/2019,2019-05-29T16:30:00Z,16820
2190237,168192102,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-05-28T21:02:00Z,16819
2190237,168192119,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-05-28T21:19:00Z,16819
2190237,168211755,"DTQ. 1 - PT - INC. III DO §3º DO ART. 34 DA LEI 12651/12, CONST. DO ...",2019-05-29T17:55:00Z,16821
2190237,168211808,"DTQ. 2 - PT - ART. 42 DA LEI 12651/12, CONST. DO ART. 1º DO PLV",2019-05-29T18:08:00Z,16821
2190237,168211825,"DTQ. 3 - PT - ART. 59 DA LEI 12651/12, CONST. DO ART. 1º DO PLV",2019-05-29T18:25:00Z,16821
2190237,168201458,DTQ. 4 - CIDADANIA - PREFERÊNCIA PARA VOTAÇÃO DA MPV,2019-05-29T14:58:00Z,16820
2190237,168201709,"DTQ. 7 - PSB - §3º DO ART. 68 DA LEI 12651/2012, CONST. DO ART. 1º DO PLV",2019-05-29T17:09:00Z,16820
2190237,168211900,"DTQ. 8 - PSB - §13º DO ART. 59 DA LEI 12651/2012, CONST. DO ART. 1º DO PLV",2019-05-29T19:00:00Z,16821
2190237,168201534,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-05-29T15:34:00Z,16820
2190237,168201559,VOTAÇÃO DA ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES,2019-05-29T15:59:00Z,16820
2190237,168211912,DTQ. 9 - PCdoB - ART. 60-A DO PLV,2019-05-29T19:12:00Z,16821
2190237,168211921,"DTQ. 10 - BLOCO PP/MDB/PTB - EXP: ""PORÉM, EM CASO DE ...""",2019-05-29T19:21:00Z,16821
2190237,168211847,DTQ. 11 - PSOL - §9º DO ART. 59,2019-05-29T18:47:00Z,16821
2190237,168201645,DTQ. 12 - BLOCO PP - PREFERÊNCIA PARA O DTQ. Nº 7...,2019-05-29T16:45:00Z,16820
2190237,168192044,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E DO ENCAMINHAMENTO,2019-05-28T20:44:00Z,16819
2190237,168192026,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-28T20:26:00Z,16819
2190237,168201251,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-29T12:51:00Z,16820
2190237,168201412,PARECER DA C.M P/ NÃO ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...,2019-05-29T14:12:00Z,16820
2190237,168211736,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-29T17:36:00Z,16821
2190288,168132014,"DTQ. 9 - PODEMOS - ART. 38, VII, DA MPV",2019-05-22T20:14:00Z,16813
2190288,168121634,REQ. PARA QUE TODAS AS VOTAÇÕES SEJA PELO PROCESSO NOMINAL,2019-05-22T16:34:00Z,16812
2190355,168211957,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-29T19:57:00Z,16821
2190355,168222225,DTQ. 3 - PT - EMENDA Nº 185,2019-05-29T22:25:00Z,16822
2190355,168222244,DTQ. 12 - PSB - EMENDA Nº 92,2019-05-29T22:44:00Z,16822
2190355,168212144,"DTQ. 27 - PT - INC. V DO ART. 8º, CONST. DO PLV",2019-05-29T21:44:00Z,16821
2190355,168222300,"DTQ. 34 - BLOCO PP/MDB/PTB - EMENDA Nº 254, EXP. ""SENDO VEDADO...""",2019-05-29T23:00:00Z,16822
2190880,167341652,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-19T16:52:00Z,16734
2192459,168602219,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-09T22:19:00Z,16860
2192459,168622040,DTQ 9 - PL - EMENDA Nº 176,2019-07-10T20:40:00Z,16862
2192459,168611349,CONSULTA AO PLENÁRIO SOBRE VOTAÇÃO PARCELADA,2019-07-10T13:49:00Z,16861
