id_votacao,id_parlamentar_voz,voto
155202131,1178957,-1
155202131,1141417,1
155202131,1178958,-1
155202131,1178959,1
155202131,1160531,-1
155202131,164960,-1
155202131,1178960,1
155202131,1178961,-1
155202131,1178831,1
155202131,173926,0
155202131,1178851,1
155202131,1178852,0
155202131,1105112,1
155202131,1160641,0
155202131,1160591,1
155202131,1178995,-1
155202131,1160602,-1
155202131,1141335,1
155202131,1178906,1
155202131,174075,1
155202131,1178908,1
155202131,173930,0
155202131,173931,1
155202131,174079,1
155202131,1134812,-1
155202131,1178907,1
155202131,1141484,1
155202131,174351,-1
155202131,174352,-1
155202131,1178909,-1
155202131,1178910,1
155202131,167312,-1
155202131,1178911,1
155202131,1178846,1
155202131,1178847,-1
155202131,174090,1
155202131,174356,1
155202131,174095,-1
155202131,1178848,-1
155202131,1178849,-1
155202131,1178850,-1
155202131,1178953,0
155202131,1141483,1
155202131,1178954,1
155202131,174359,-1
155202131,174177,0
155202131,1178955,1
155202131,1167722,-1
155202131,1178956,-1
155202131,1178837,1
155202131,1178836,-1
155202131,1141434,1
155202131,1178838,-1
155202131,1178839,1
155202131,1178825,1
155202131,1160613,1
155202131,1178840,-1
155202131,1178993,1
155202131,1178994,1
155202131,1114941,-1
155202131,1141480,1
155202131,1160639,-1
155202131,1137070,1
155202131,1160576,1
155202131,181232,1
155202131,1141408,1
155202131,174449,1
155202131,174210,1
155202131,1141558,1
155202131,1167493,-1
155202131,1178881,1
155202131,1178882,1
155202131,1178883,-1
155202131,1178884,1
155202131,174445,-1
155202131,1112437,1
155202131,173714,1
155202131,1178885,0
155202131,1178886,1
155202131,1178887,1
155202131,1178888,1
155202131,1178889,0
155202131,1133439,-1
155202131,174212,1
155202131,174213,1
155202131,174291,1
155202131,1141440,1
155202131,162881,-1
155202131,1143632,1
155202131,1160669,-1
155202131,1129618,1
155202131,1141464,1
155202131,1141470,1
155202131,174216,-1
155202131,1178864,-1
155202131,1178865,1
155202131,174299,1
155202131,1178866,0
155202131,1178867,1
155202131,174457,-1
155202131,1178997,-1
155202131,1178868,1
155202131,1122466,-1
155202131,1178869,-1
155202131,1159237,1
155202131,174459,1
155202131,167138,1
155202131,174317,1
155202131,174460,1
155202131,174319,1
155202131,197707,-1
155202131,1178926,-1
155202131,1141428,1
155202131,1141429,-1
155202131,1141535,-1
155202131,1178950,-1
155202131,1178948,-1
155202131,1178951,0
155202131,1178952,1
155202131,1178949,1
155202131,1160527,1
155202131,174040,-1
155202131,174467,-1
155202131,1141422,-1
155202131,1160674,1
155202131,174041,1
155202131,1141490,1
155202131,174043,1
155202131,1160636,1
155202131,1178912,-1
155202131,1141536,1
155202131,1178913,1
155202131,1141394,-1
155202131,1141421,1
155202131,1141431,-1
155202131,174419,-1
155202131,1131943,-1
155202131,1160572,1
155202131,1160628,1
155202131,174428,-1
155202131,1160642,-1
155202131,14930,1
155202131,174439,-1
155202131,1178914,0
155202131,1160551,1
155202131,1178915,-1
155202131,1178916,-1
155202131,1178917,-1
155202131,1178918,-1
155202131,1178919,-1
155202131,1178920,1
155202131,1178922,-1
155202131,1178923,1
155202131,1160541,1
155202131,174558,1
155202131,174050,1
155202131,1171617,1
155202131,1178841,-1
155202131,1178842,-1
155202131,1178843,1
155202131,1178844,-1
155202131,1178845,-1
155202131,1160543,-1
155202131,1171623,-1
155202131,1151208,-1
155202131,1141384,-1
155202131,1178968,-1
155202131,1178969,1
155202131,1178970,1
