cnpj,id_atividade_economica,cnae_tipo
02142603000153,45,cnae_secundario
02142603000234,45,cnae_fiscal
02142603000234,45,cnae_secundario
02148709000164,43,cnae_fiscal
02148709000164,43,cnae_secundario
02167740000142,5,cnae_fiscal
02212596000119,39,cnae_fiscal
02212596000119,39,cnae_secundario
02249201000152,11,cnae_fiscal
02249201000152,11,cnae_secundario
02249201000152,4,cnae_secundario
02249201000152,10,cnae_secundario
02249201000152,47,cnae_secundario
02254838000137,47,cnae_fiscal
02254838000137,47,cnae_secundario
02254838000137,6,cnae_secundario
02270243000175,11,cnae_fiscal
02270243000175,39,cnae_secundario
02270243000175,47,cnae_secundario
02270243000175,11,cnae_secundario
02270243000256,11,cnae_fiscal
02270243000256,39,cnae_secundario
02270243000256,47,cnae_secundario
02270243000256,11,cnae_secundario
02270243000337,11,cnae_fiscal
02270243000337,39,cnae_secundario
02270243000337,47,cnae_secundario
02270243000337,11,cnae_secundario
02270243000418,11,cnae_fiscal
02270243000418,47,cnae_secundario
02270243000418,11,cnae_secundario
02284642000195,11,cnae_fiscal
02284642000195,11,cnae_secundario
02297980000161,11,cnae_fiscal
02297980000161,10,cnae_secundario
02297980000161,11,cnae_secundario
02297980000242,11,cnae_fiscal
02297980000242,10,cnae_secundario
02297980000242,11,cnae_secundario
02297980000323,11,cnae_fiscal
02297980000323,10,cnae_secundario
02297980000323,11,cnae_secundario
02297980000404,11,cnae_fiscal
02297980000404,10,cnae_secundario
02297980000404,11,cnae_secundario
02297980000595,11,cnae_fiscal
02297980000595,11,cnae_secundario
02297980000676,11,cnae_fiscal
02297980000676,10,cnae_secundario
02297980000676,11,cnae_secundario
02297980000757,11,cnae_fiscal
02297980000757,11,cnae_secundario
02297980000838,11,cnae_fiscal
02297980000838,11,cnae_secundario
02297980000919,11,cnae_fiscal
02297980000919,11,cnae_secundario
02297980001052,11,cnae_fiscal
02297980001052,10,cnae_secundario
02297980001052,11,cnae_secundario
02297980001133,11,cnae_fiscal
02297980001133,10,cnae_secundario
02297980001133,11,cnae_secundario
02297980001214,11,cnae_fiscal
02297980001214,10,cnae_secundario
02297980001214,11,cnae_secundario
02297980001303,11,cnae_fiscal
02297980001303,10,cnae_secundario
02297980001303,11,cnae_secundario
02297980001486,11,cnae_fiscal
02297980001486,10,cnae_secundario
02297980001486,11,cnae_secundario
02308967000160,2,cnae_fiscal
02308967000160,2,cnae_secundario
02322538000148,43,cnae_fiscal
02322538000148,43,cnae_secundario
02333505000101,6,cnae_fiscal
02333505000101,6,cnae_secundario
02333505000284,5,cnae_fiscal
02333505000365,6,cnae_fiscal
02333505000365,6,cnae_secundario
02333505000446,6,cnae_fiscal
02333505000446,6,cnae_secundario
02383185000196,39,cnae_fiscal
02462420000115,13,cnae_fiscal
02486254000197,9,cnae_fiscal
02486254000197,47,cnae_secundario
02486254000197,28,cnae_secundario
02486254000278,28,cnae_fiscal
02486254000278,28,cnae_secundario
02486254000359,28,cnae_fiscal
02486254000359,28,cnae_secundario
02486254000430,28,cnae_fiscal
02486254000430,28,cnae_secundario
02486254000510,11,cnae_fiscal
02486254000510,11,cnae_secundario
02486254000600,47,cnae_fiscal
02505695000199,47,cnae_fiscal
02505695000270,47,cnae_fiscal
02505695000350,11,cnae_fiscal
02505695000350,11,cnae_secundario
02505695000431,47,cnae_fiscal
02522837000126,5,cnae_fiscal
02524919000100,11,cnae_fiscal
02529104000113,31,cnae_fiscal
02544819000145,2,cnae_fiscal
02544819000145,2,cnae_secundario
02544820000170,2,cnae_fiscal
02599046000102,39,cnae_fiscal
02616717000198,43,cnae_fiscal
02634075000150,11,cnae_fiscal
02688957000106,5,cnae_fiscal
02688957000289,11,cnae_fiscal
02731013000166,45,cnae_fiscal
02733891000110,6,cnae_fiscal
02733891000110,6,cnae_secundario
02733891000110,10,cnae_secundario
02733891000110,39,cnae_secundario
02754681000109,43,cnae_fiscal
02756700000136,43,cnae_fiscal
02757315000103,11,cnae_fiscal
02777459000121,6,cnae_fiscal
02777459000202,6,cnae_fiscal
02848291000106,10,cnae_fiscal
02848291000106,10,cnae_secundario
02880684000199,13,cnae_fiscal
02880684000199,15,cnae_secundario
02880684000199,13,cnae_secundario
02880684000199,10,cnae_secundario
02880684000199,9,cnae_secundario
02883534000139,11,cnae_fiscal
02883534000210,11,cnae_fiscal
02885584000155,11,cnae_fiscal
02885584000155,11,cnae_secundario
02890753000145,11,cnae_fiscal
02898937000151,47,cnae_fiscal
02898937000151,8,cnae_secundario
02898937000151,13,cnae_secundario
02898937000151,9,cnae_secundario
02898937000232,47,cnae_fiscal
02915954000150,8,cnae_fiscal
02935978000170,11,cnae_fiscal
02952846000157,43,cnae_fiscal
02952846000157,43,cnae_secundario
02974303000130,13,cnae_fiscal
02974303000130,10,cnae_secundario
02974303000130,9,cnae_secundario
02974303000130,8,cnae_secundario
02986680000190,43,cnae_fiscal
02986680000190,43,cnae_secundario
02994215000109,11,cnae_fiscal
02994215000109,39,cnae_secundario
02994215000109,11,cnae_secundario
03000349000111,13,cnae_fiscal
03000349000111,13,cnae_secundario
03018688000125,43,cnae_fiscal
03018688000125,43,cnae_secundario
03020159000166,14,cnae_fiscal
03022239000150,5,cnae_fiscal
03047668000182,43,cnae_fiscal
03065149000147,10,cnae_fiscal
03074316000116,11,cnae_fiscal
03083176000142,20,cnae_fiscal
