id,resposta,id_parlamentar_voz,pergunta_id
1,0,1178825,0
5,0,1178837,0
10,0,173943,0
14,0,1204471,0
15,0,1204434,0
16,0,1141434,0
21,0,1178838,0
32,0,1204435,0
40,0,1160613,0
68,0,1178839,0
71,0,1204469,0
72,0,1178836,0
84,0,1204438,0
89,0,1178844,0
90,0,1204466,0
91,0,1204436,0
92,0,1194340,0
105,0,1178845,0
119,0,1204437,0
127,0,1146949,0
133,0,1160541,0
135,0,1178843,0
141,0,1171617,0
143,0,1194260,0
148,0,174558,0
156,0,1178842,0
159,0,1204555,0
162,0,174356,0
163,0,1204569,0
170,0,174090,0
189,0,1200153,0
191,0,1178848,0
197,0,1204557,0
219,0,174095,0
253,0,1204572,0
279,0,1204556,0
282,0,1204551,0
337,0,1204352,0
340,0,1105112,0
347,0,1204379,0
362,0,1178851,0
378,0,1178831,0
386,0,1178852,0
396,0,1204375,0
399,0,1204353,0
400,0,1160641,0
410,0,1160591,0
413,0,1178995,0
415,0,1160645,0
417,0,1205535,0
434,0,1160553,0
447,0,174571,0
450,0,174553,0
472,0,1204554,0
481,0,1204567,0
485,0,1197438,0
494,0,1204558,0
496,0,1139285,0
503,0,174057,0
506,0,169871,0
510,0,1204560,0
535,0,174574,0
560,0,194931,0
573,0,1205476,0
596,0,174634,0
597,0,1193982,0
601,0,1178853,0
603,0,1204564,0
616,0,1178861,0
621,0,1150418,0
624,0,1160610,0
652,0,1204565,0
656,0,1178858,0
658,0,1209189,0
665,0,174537,0
678,0,1204571,0
679,0,1160530,0
681,0,174535,0
689,0,1178860,0
702,0,1178862,0
705,0,1204576,0
714,0,192102,0
724,0,1160619,0
728,0,174141,0
745,0,174140,0
756,0,1178854,0
761,0,199654,0
764,0,1204559,0
784,0,174554,0
785,0,193083,0
789,0,1141458,0
791,0,174060,0
800,0,1204573,0
809,0,1178863,0
814,0,1178856,0
823,0,1204553,0
824,0,1178857,0
825,0,173808,0
859,0,1160600,0
860,0,1160666,0
866,0,1160569,0
880,0,1178997,0
882,0,1204550,0
909,0,1204541,0
918,0,174216,0
920,0,1204542,0
924,0,1178866,0
926,0,174305,0
928,0,1178865,0
935,0,1204533,0
936,0,1141464,0
938,0,1133439,0
940,0,1204489,0
942,0,1141470,0
944,0,190201,0
954,0,1204481,0
967,0,174308,0
968,0,1204487,0
989,0,162881,0
995,0,1178864,0
998,0,1141440,0
1000,0,1204548,0
1006,0,1204488,0
1007,0,1178868,0
1012,0,1204549,0
1024,0,174299,0
1027,0,1204486,0
1035,0,1129618,0
1045,0,1160669,0
1055,0,1143632,0
1061,0,1178867,0
1076,0,174213,0
1077,0,1195866,0
1087,0,174212,0
1097,0,1122466,0
1125,0,1204377,0
1185,0,1204372,0
1194,0,173655,0
1197,0,1204381,0
1219,0,1204380,0
1229,0,1204011,0
1235,0,1160575,0
1257,0,1204374,0
1258,0,1141478,0
1262,0,1204383,0
1265,0,1204354,0
1289,0,1141562,0
1296,0,1178874,0
1297,0,1178872,0
1301,0,1160643,0
1302,0,174235,0
1340,0,1204355,0
1346,0,181297,0
1351,0,1160517,0
1361,0,1204356,0
1368,0,1178871,0
1374,0,166179,0
1384,0,1178873,0
1406,0,1206231,0
1407,0,1160534,0
1435,0,174372,0
1467,0,1178880,0
1469,0,1204386,0
1472,0,1178876,0
1473,0,1204389,0
1479,0,173666,0
1483,0,1179587,0
1501,0,1204413,0
1509,0,1121948,0
1527,0,1204412,0
1540,0,1204391,0
1553,0,1178877,0
1566,0,1160598,0
1578,0,174371,0
1592,0,1178879,0
1600,0,1178878,0
1606,0,1166402,0
1612,0,1204392,0
1613,0,174366,0
1626,0,1204390,0
1627,0,1204419,0
1632,0,173674,0
1639,0,1141408,0
1641,0,1178888,0
1661,0,1204575,0
1663,0,181366,0
1666,0,1178881,0
1667,0,1168175,0
1690,0,1178882,0
1697,0,1185500,0
1699,0,1178886,0
1701,0,1112437,0
1702,0,1204561,0
1710,0,174200,0
1714,0,1204552,0
1716,0,1204566,0
1723,0,1141474,0
1728,0,181055,0
1733,0,1141412,0
1737,0,1178885,0
1738,0,1178889,0
1760,0,1141558,0
1774,0,1122974,0
1782,0,1204562,0
1807,0,1178884,0
1821,0,1204563,0
1833,0,1204570,0
1836,0,1204574,0
1839,0,1171620,0
1848,0,1178895,0
1854,0,1160632,0
1873,0,1133374,0
1894,0,1178998,0
1897,0,1204518,0
1899,0,1160518,0
1912,0,1141531,0
1931,0,174749,0
1938,0,1198197,0
1943,0,1204494,0
2000,0,1141513,0
2006,0,1160556,0
2014,0,1171619,0
2038,0,173586,0
2043,0,1204490,0
2052,0,1204482,0
2054,0,1161550,0
2078,0,1204515,0
2104,0,174156,0
2106,0,1186775,0
2114,0,1178894,0
2138,0,1137853,0
2154,0,1204508,0
2176,0,174585,0
2177,0,1204492,0
2178,0,174646,0
2183,0,1178890,0
2190,0,1178898,0
2200,0,1178893,0
2201,0,1204517,0
2216,0,174751,0
2220,0,1160599,0
2234,0,1204491,0
2260,0,198057,0
2276,0,192776,0
2285,0,174655,0
2286,0,1177282,0
2293,0,1204483,0
2323,0,174161,0
2338,0,1159238,0
2353,0,1204524,0
2361,0,1178892,0
2367,0,1204547,0
2381,0,1141516,0
2390,0,174159,0
2398,0,1204520,0
2410,0,1160640,0
2414,0,1178891,0
2422,0,1178896,0
2449,0,1141441,0
2482,0,1141427,0
2488,0,174762,0
2492,0,1207309,0
2497,0,1160588,0
2498,0,1204523,0
2502,0,174158,0
2532,0,174651,0
2533,0,174765,0
2539,0,1204512,0
2540,0,1205298,0
2541,0,1179000,0
2552,0,1141482,0
2558,0,1141372,0
2559,0,1204539,0
2571,0,1204510,0
2575,0,1160609,0
2588,0,1146788,0
2590,0,1160758,0
2598,0,1204480,0
2613,0,1204545,0
2629,0,1160510,0
2639,0,1205303,0
2640,0,1204382,0
2651,0,1204358,0
2655,0,174376,0
2662,0,1178901,0
2665,0,1207176,0
2668,0,1181316,0
2700,0,1204351,0
2701,0,1141411,0
2708,0,1160587,0
2727,0,174374,0
2740,0,1204357,0
2756,0,1141552,0
2766,0,1148134,0
2774,0,1204474,0
2781,0,1204439,0
2797,0,1141401,0
