id_mandato_voz,id_parlamentar_voz,ano_eleicao,num_turno,cargo,unidade_eleitoral,uf_eleitoral,situacao_candidatura,situacao_totalizacao_turno,id_partido_eleicao,votos
11605082010,1160508,2010,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO,36844,143795
11605082014,1160508,2014,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO POR QP,36844,82661
11605082018,1160508,2018,1,DEPUTADO FEDERAL,BA,BA,APTO,ELEITO POR QP,36844,130548
11368112006,1136811,2006,1,DEPUTADO FEDERAL,RS,RS,DEFERIDO,ELEITO POR MEDIA,37903,65297
11368112010,1136811,2010,1,DEPUTADO FEDERAL,RS,RS,DEFERIDO,ELEITO,37903,98419
11368112014,1136811,2014,1,DEPUTADO FEDERAL,RS,RS,DEFERIDO,ELEITO POR QP,37903,132202
11368112018,1136811,2018,1,DEPUTADO FEDERAL,RS,RS,APTO,ELEITO POR QP,37903,100018
11788352014,1178835,2014,1,DEPUTADO FEDERAL,RS,RS,DEFERIDO,ELEITO POR MEDIA,36786,90917
11788352018,1178835,2018,1,DEPUTADO FEDERAL,RS,RS,APTO,ELEITO POR MEDIA,36786,65712
11605272010,1160527,2010,1,DEPUTADO FEDERAL,PB,PB,DEFERIDO,ELEITO,37903,87572
11605272014,1160527,2014,1,DEPUTADO FEDERAL,PB,PB,DEFERIDO,ELEITO POR QP,37903,161999
11605272018,1160527,2018,1,DEPUTADO FEDERAL,PB,PB,APTO,ELEITO POR QP,37903,120220
11605272002,1160527,2002,1,DEPUTADO ESTADUAL,PB,PB,DEFERIDO,ELEITO,36811,28229
11605272006,1160527,2006,1,DEPUTADO ESTADUAL,PB,PB,DEFERIDO,ELEITO,37903,26237
11788362014,1178836,2014,1,DEPUTADO FEDERAL,AC,AC,DEFERIDO,ELEITO POR MEDIA,36815,17903
11788362018,1178836,2018,1,DEPUTADO FEDERAL,AC,AC,APTO,ELEITO POR QP,36769,22263
11605592010,1160559,2010,1,DEPUTADO FEDERAL,RS,RS,DEFERIDO,ELEITO POR MEDIA,36899,81071
11605592014,1160559,2014,1,DEPUTADO FEDERAL,RS,RS,DEFERIDO,ELEITO POR QP,36899,152421
11605592018,1160559,2018,1,DEPUTADO FEDERAL,RS,RS,APTO,ELEITO POR QP,36899,100341
11605592002,1160559,2002,1,DEPUTADO ESTADUAL,RS,RS,DEFERIDO,ELEITO,36899,40887
11605592006,1160559,2006,1,DEPUTADO ESTADUAL,RS,RS,DEFERIDO,ELEITO,36899,61153
11605592000,1160559,2000,1,PREFEITO,Osório,RS,DEFERIDO,ELEITO,36899,12063
11605112010,1160511,2010,1,DEPUTADO FEDERAL,RJ,RJ,DEFERIDO,ELEITO,36844,129515
11605112014,1160511,2014,1,DEPUTADO FEDERAL,RJ,RJ,DEFERIDO,ELEITO POR QP,36844,87003
11605112018,1160511,2018,1,DEPUTADO FEDERAL,RJ,RJ,APTO,ELEITO POR QP,36832,227914
11605112002,1160511,2002,1,DEPUTADO ESTADUAL,RJ,RJ,DEFERIDO,ELEITO,36844,52049
11605112006,1160511,2006,1,DEPUTADO ESTADUAL,RJ,RJ,DEFERIDO,ELEITO,36844,85798
11789722014,1178972,2014,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO POR QP,37905,164760
11789722018,1178972,2018,1,DEPUTADO FEDERAL,SP,SP,APTO,ELEITO POR QP,37905,127366
11789722006,1178972,2006,1,DEPUTADO ESTADUAL,SP,SP,DEFERIDO,ELEITO,37905,60571
11789722010,1178972,2010,1,DEPUTADO ESTADUAL,SP,SP,DEFERIDO,ELEITO,37905,114714
11789722004,1178972,2004,1,VEREADOR,São Bernardo do Campo,SP,DEFERIDO,ELEITO,37905,12507
11605452010,1160545,2010,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO POR MEDIA,36769,112950
11605452014,1160545,2014,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO POR MEDIA,36769,109708
11605452018,1160545,2018,1,DEPUTADO FEDERAL,SP,SP,APTO,ELEITO POR QP,36769,116416
11788332014,1178833,2014,1,DEPUTADO FEDERAL,RJ,RJ,DEFERIDO,ELEITO POR QP,36834,48879
11788332018,1178833,2018,1,DEPUTADO FEDERAL,RJ,RJ,APTO,ELEITO POR QP,36834,37526
1740572002,174057,2002,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO,36779,121043
1740572006,174057,2006,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO,36779,78031
1740572010,174057,2010,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO,36779,101588
1740572014,174057,2014,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO POR QP,36779,72682
1740572018,174057,2018,1,DEPUTADO FEDERAL,BA,BA,APTO,ELEITO POR QP,36779,126595
1740571998,174057,1998,1,DEPUTADO ESTADUAL,BA,BA,DEFERIDO,ELEITO,36779,27676
11789272014,1178927,2014,1,DEPUTADO FEDERAL,PR,PR,DEFERIDO,ELEITO POR QP,36779,82886
11789272018,1178927,2018,1,DEPUTADO FEDERAL,PR,PR,APTO,ELEITO POR QP,36832,95386
11789272012,1178927,2012,1,VEREADOR,Ponta Grossa,PR,DEFERIDO,ELEITO POR QP,36779,3731
11789372014,1178937,2014,1,DEPUTADO FEDERAL,RJ,RJ,DEFERIDO,ELEITO POR MEDIA,37906,40593
11789372018,1178937,2018,1,DEPUTADO FEDERAL,RJ,RJ,APTO,ELEITO POR QP,37906,55367
11789372002,1178937,2002,1,DEPUTADO ESTADUAL,RJ,RJ,DEFERIDO,ELEITO,36899,59041
11789372006,1178937,2006,1,DEPUTADO ESTADUAL,RJ,RJ,DEFERIDO,ELEITO,36899,87283
11789372010,1178937,2010,1,DEPUTADO ESTADUAL,RJ,RJ,DEFERIDO,ELEITO,37906,35176
11788812014,1178881,2014,1,DEPUTADO FEDERAL,MA,MA,DEFERIDO,ELEITO POR QP,36836,50658
11788812018,1178881,2018,1,DEPUTADO FEDERAL,MA,MA,APTO,ELEITO POR QP,36896,105778
11788312014,1178831,2014,1,DEPUTADO FEDERAL,AP,AP,DEFERIDO,ELEITO POR MEDIA,36815,13798
11788312018,1178831,2018,1,DEPUTADO FEDERAL,AP,AP,APTO,ELEITO POR MEDIA,37903,12856
1744711998,174471,1998,1,DEPUTADO FEDERAL,PE,PE,DEFERIDO,ELEITO,36769,66821
1744712002,174471,2002,1,DEPUTADO FEDERAL,PE,PE,DEFERIDO,ELEITO,36769,109584
1744712006,174471,2006,1,DEPUTADO FEDERAL,PE,PE,DEFERIDO,ELEITO,36769,88854
1744712014,174471,2014,1,DEPUTADO FEDERAL,PE,PE,DEFERIDO,ELEITO POR QP,36834,100875
1744712018,174471,2018,1,DEPUTADO FEDERAL,PE,PE,APTO,ELEITO POR QP,36834,118641
11334392010,1133439,2010,1,DEPUTADO FEDERAL,CE,CE,DEFERIDO,ELEITO,36786,115647
11334392014,1133439,2014,1,DEPUTADO FEDERAL,CE,CE,DEFERIDO,ELEITO POR QP,36786,125360
11334392018,1133439,2018,1,DEPUTADO FEDERAL,CE,CE,APTO,ELEITO POR QP,36786,103385
11788822014,1178882,2014,1,DEPUTADO FEDERAL,MA,MA,DEFERIDO,ELEITO POR QP,36761,56879
11788822018,1178882,2018,1,DEPUTADO FEDERAL,MA,MA,APTO,ELEITO POR QP,37903,105606
11788822010,1178882,2010,1,DEPUTADO ESTADUAL,MA,MA,DEFERIDO,ELEITO,36835,32628
1742121998,174212,1998,1,DEPUTADO FEDERAL,CE,CE,DEFERIDO,ELEITO,36835,91878
1742122002,174212,2002,1,DEPUTADO FEDERAL,CE,CE,DEFERIDO,ELEITO,36899,90626
1742122006,174212,2006,1,DEPUTADO FEDERAL,CE,CE,DEFERIDO,ELEITO,36899,178938
1742122010,174212,2010,1,DEPUTADO FEDERAL,CE,CE,DEFERIDO,ELEITO,36899,162037
1742122014,174212,2014,1,DEPUTADO FEDERAL,CE,CE,DEFERIDO,ELEITO POR QP,36899,173736
11605532010,1160553,2010,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO,36845,70209
11605532014,1160553,2014,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO POR QP,36845,159840
11605532018,1160553,2018,1,DEPUTADO FEDERAL,BA,BA,APTO,ELEITO POR QP,36834,127716
1734331998,173433,1998,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO,36844,56672
1734332002,173433,2002,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO,36844,136402
1734332006,173433,2006,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO,36844,170008
1734332010,173433,2010,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO,36844,207465
1734332014,173433,2014,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO POR QP,36844,135772
1734332018,173433,2018,1,DEPUTADO FEDERAL,SP,SP,APTO,ELEITO POR QP,36844,87449
11413912006,1141391,2006,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO,37905,187427
11413912010,1141391,2010,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO,37905,140641
11413912014,1141391,2014,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO POR QP,37905,155278
11413912018,1141391,2018,1,DEPUTADO FEDERAL,SP,SP,APTO,ELEITO POR QP,37905,132363
11413911998,1141391,1998,1,DEPUTADO ESTADUAL,SP,SP,DEFERIDO,ELEITO,36899,45044
11413912002,1141391,2002,1,DEPUTADO ESTADUAL,SP,SP,DEFERIDO,ELEITO,37905,76708
11605412010,1160541,2010,1,DEPUTADO FEDERAL,AL,AL,DEFERIDO,ELEITO,37903,84676
11605412014,1160541,2014,1,DEPUTADO FEDERAL,AL,AL,DEFERIDO COM RECURSO,ELEITO POR QP,37903,98231
11605412018,1160541,2018,1,DEPUTADO FEDERAL,AL,AL,APTO,ELEITO POR QP,37903,143858
11605411998,1160541,1998,1,DEPUTADO ESTADUAL,AL,AL,DEFERIDO,ELEITO,36835,14284
11605412002,1160541,2002,1,DEPUTADO ESTADUAL,AL,AL,DEFERIDO,ELEITO,36845,22565
11605412006,1160541,2006,1,DEPUTADO ESTADUAL,AL,AL,DEFERIDO,ELEITO,36801,42010
11606002010,1160600,2010,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO,36899,74134
11606002014,1160600,2014,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO POR QP,36765,95698
11606002018,1160600,2018,1,DEPUTADO FEDERAL,BA,BA,APTO,ELEITO POR QP,36769,88908
11606001998,1160600,1998,1,DEPUTADO ESTADUAL,BA,BA,DEFERIDO,ELEITO,36835,18843
11606002002,1160600,2002,1,DEPUTADO ESTADUAL,BA,BA,DEFERIDO,ELEITO,36835,30501
11606002006,1160600,2006,1,DEPUTADO ESTADUAL,BA,BA,DEFERIDO,ELEITO,36835,52269
11592372010,1159237,2010,1,DEPUTADO FEDERAL,PI,PI,DEFERIDO,ELEITO,36844,99332
11592372014,1159237,2014,1,DEPUTADO FEDERAL,PI,PI,DEFERIDO,ELEITO POR QP,36844,94093
11592372018,1159237,2018,1,DEPUTADO FEDERAL,PI,PI,APTO,ELEITO POR QP,36844,129623
11592372006,1159237,2006,1,DEPUTADO ESTADUAL,PI,PI,DEFERIDO,ELEITO,36844,33877
1740901998,174090,1998,1,DEPUTADO FEDERAL,AM,AM,SUB-JÚDICE,ELEITO,36769,48612
1740902002,174090,2002,1,DEPUTADO FEDERAL,AM,AM,DEFERIDO,ELEITO,36769,102249
1740902006,174090,2006,1,DEPUTADO FEDERAL,AM,AM,DEFERIDO,ELEITO,36899,93882
1740902010,174090,2010,1,DEPUTADO FEDERAL,AM,AM,DEFERIDO,ELEITO,36899,131429
1740902014,174090,2014,1,DEPUTADO FEDERAL,AM,AM,DEFERIDO,ELEITO POR MEDIA,36834,89453
1740902018,174090,2018,1,DEPUTADO FEDERAL,AM,AM,APTO,ELEITO POR QP,37903,118700
1744591998,174459,1998,1,DEPUTADO FEDERAL,PI,PI,DEFERIDO,ELEITO,36769,61397
1744592002,174459,2002,1,DEPUTADO FEDERAL,PI,PI,DEFERIDO,ELEITO,36835,65973
1744592006,174459,2006,1,DEPUTADO FEDERAL,PI,PI,DEFERIDO,ELEITO,36835,98442
1744592010,174459,2010,1,DEPUTADO FEDERAL,PI,PI,DEFERIDO,ELEITO,36832,120528
1744592014,174459,2014,1,DEPUTADO FEDERAL,PI,PI,DEFERIDO,ELEITO POR QP,36832,129276
1744592018,174459,2018,1,DEPUTADO FEDERAL,PI,PI,APTO,ELEITO POR MEDIA,36832,54095
11606652010,1160665,2010,1,DEPUTADO FEDERAL,PE,PE,DEFERIDO,ELEITO POR MEDIA,36769,70096
11606652018,1160665,2018,1,DEPUTADO FEDERAL,PE,PE,APTO,ELEITO POR MEDIA,37904,77817
11606651998,1160665,1998,1,DEPUTADO ESTADUAL,PE,PE,DEFERIDO,ELEITO,36769,34651
11606652002,1160665,2002,1,DEPUTADO ESTADUAL,PE,PE,DEFERIDO,ELEITO,36769,44760
11606652006,1160665,2006,1,DEPUTADO ESTADUAL,PE,PE,DEFERIDO,ELEITO,36769,56813
11605122010,1160512,2010,1,DEPUTADO FEDERAL,RJ,RJ,DEFERIDO,ELEITO,36829,29009
11605122014,1160512,2014,1,DEPUTADO FEDERAL,RJ,RJ,DEFERIDO,ELEITO POR QP,36765,58117
11605122018,1160512,2018,1,DEPUTADO FEDERAL,RJ,RJ,APTO,ELEITO POR QP,37904,68414
1698712014,169871,2014,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO POR QP,36896,95158
1698712018,169871,2018,1,DEPUTADO FEDERAL,BA,BA,APTO,ELEITO POR QP,36896,149274
1698712006,169871,2006,1,DEPUTADO ESTADUAL,BA,BA,DEFERIDO,ELEITO,36896,24063
1698712010,169871,2010,1,DEPUTADO ESTADUAL,BA,BA,DEFERIDO,ELEITO,36896,46990
1698712004,169871,2004,1,VEREADOR,Salvador,BA,DEFERIDO,ELEITO,36896,10716
11789752014,1178975,2014,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO POR QP,36899,208352
11789752018,1178975,2018,1,DEPUTADO FEDERAL,SP,SP,APTO,ELEITO POR QP,36899,214042
11789752002,1178975,2002,1,DEPUTADO ESTADUAL,SP,SP,DEFERIDO,ELEITO,36899,77641
11789752006,1178975,2006,1,DEPUTADO ESTADUAL,SP,SP,DEFERIDO,ELEITO,36899,64000
11789752010,1178975,2010,1,DEPUTADO ESTADUAL,SP,SP,DEFERIDO,ELEITO,36899,176787
11789752000,1178975,2000,1,VEREADOR,Ribeirão Preto,SP,DEFERIDO,ELEITO,36899,11196
1737012010,173701,2010,1,DEPUTADO FEDERAL,RJ,RJ,DEFERIDO,ELEITO,36844,71036
1737012014,173701,2014,1,DEPUTADO FEDERAL,RJ,RJ,DEFERIDO,ELEITO POR MEDIA,36844,48163
1737012018,173701,2018,1,DEPUTADO FEDERAL,RJ,RJ,APTO,ELEITO POR QP,36844,44804
11413352006,1141335,2006,1,DEPUTADO FEDERAL,PA,PA,DEFERIDO,ELEITO,36844,72148
11413352010,1141335,2010,1,DEPUTADO FEDERAL,PA,PA,DEFERIDO,ELEITO,36844,169504
11413352014,1141335,2014,1,DEPUTADO FEDERAL,PA,PA,DEFERIDO,ELEITO POR QP,36844,142970
11413352018,1141335,2018,1,DEPUTADO FEDERAL,PA,PA,APTO,ELEITO POR QP,36844,143822
11789482014,1178948,2014,1,DEPUTADO FEDERAL,RN,RN,DEFERIDO,ELEITO POR QP,37903,64445
11415132006,1141513,2006,1,DEPUTADO FEDERAL,MG,MG,DEFERIDO,ELEITO,37906,139200
11415132010,1141513,2010,1,DEPUTADO FEDERAL,MG,MG,DEFERIDO,ELEITO,37906,117230
11415132014,1141513,2014,1,DEPUTADO FEDERAL,MG,MG,DEFERIDO,ELEITO POR QP,37906,123377
11415132018,1141513,2018,1,DEPUTADO FEDERAL,MG,MG,APTO,ELEITO POR QP,36769,87683
11415131998,1141513,1998,1,DEPUTADO ESTADUAL,MG,MG,DEFERIDO,ELEITO,36769,54117
11415132002,1141513,2002,1,DEPUTADO ESTADUAL,MG,MG,DEFERIDO,ELEITO,36769,61560
11605382010,1160538,2010,1,DEPUTADO FEDERAL,RS,RS,DEFERIDO,ELEITO POR MEDIA,36844,90096
11605382014,1160538,2014,1,DEPUTADO FEDERAL,RS,RS,DEFERIDO,ELEITO POR QP,36844,100841
11605382018,1160538,2018,1,DEPUTADO FEDERAL,RS,RS,APTO,ELEITO POR QP,36844,102964
11605381998,1160538,1998,1,DEPUTADO ESTADUAL,RS,RS,DEFERIDO,ELEITO,36844,30282
11605382002,1160538,2002,1,DEPUTADO ESTADUAL,RS,RS,DEFERIDO,ELEITO,36844,60578
11605382006,1160538,2006,1,DEPUTADO ESTADUAL,RS,RS,DEFERIDO,ELEITO,36844,43770
1740522002,174052,2002,1,DEPUTADO FEDERAL,SE,SE,DEFERIDO,ELEITO,36835,71614
1740522018,174052,2018,1,DEPUTADO FEDERAL,SE,SE,APTO,ELEITO POR QP,37906,47788
1740521998,174052,1998,1,DEPUTADO ESTADUAL,SE,SE,DEFERIDO,ELEITO,36811,15601
11605892010,1160589,2010,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO,36835,270661
11605892014,1160589,2014,1,DEPUTADO FEDERAL,SP,SP,DEFERIDO,ELEITO POR QP,36835,178606
11605892018,1160589,2018,1,DEPUTADO FEDERAL,SP,SP,APTO,ELEITO POR QP,36835,126847
1930832014,193083,2014,1,DEPUTADO FEDERAL,BA,BA,DEFERIDO,ELEITO POR QP,37903,125605
