id_parlamentar_voz,id_partido_atual,id_partido_eleicao,total_receita_partido,total_receita_candidato,indice_investimento_partido
1178957,36769,36852,NA,NA,NA
1178864,36896,36896,700000,712500,0.0291364847908621
1178914,36898,36898,969000,981600,0.0790474192215169
1178890,36844,36844,729581.96,826891.42,0.0084346423602277
1178968,37906,37906,1400000,1413585,0.013412394960194
1133374,36899,36899,1500956.69,1558753.49,0.0133837063135439
1196359,36835,36835,500000,532470,0.00818298109411081
1178903,36815,36815,2164650,2748470.34,0.0060982889278778
1141372,37906,37906,1601560,1795113.83,0.0145921080123684
1160508,36844,36844,900000,1077143.55,0.00955583682541757
1136811,37903,37903,1492040,1552840,0.0117156268151458
1178835,36786,36786,500000,1598351.3,0.0265906922026616
1160527,37903,37903,1244054.32,1620539.02,0.00889089533298455
1178836,36769,36769,825300,932786.4,0.00863735035860527
1160582,37903,36852,NA,NA,NA
173579,36769,36852,NA,NA,NA
1160559,36899,36899,1500000,1999910.32,0.0117712051115445
1160511,36832,36832,1300000,1444606.01,0.0347477631765801
173458,36845,36845,1395762.22,1439193.89,0.0102452366152364
1178972,37905,37905,1227228.11,1370803.11,0.0749809688184228
1178875,37903,36852,NA,NA,NA
1160545,36769,36769,875000,1597273.7,0.0217422759652827
1178833,36834,36834,1050000,1073450.93,0.028648470468858
1178936,37906,37906,2315326,2337334.5,0.0331464978926247
1141454,37903,37903,1587550,2220550,0.0143756714567135
1178846,37906,37906,2678417.2,2709475.62,0.00309727135860663
174057,36779,36779,1448438.23,1712765.9,0.078907192089703
1178927,36832,36832,1350000,1450777.23,0.0233079289110365
1178937,37906,37906,1354335,1368651.41,0.0193888300064042
1178881,36833,36896,605000,874910.72,0.0229696657012357
1178973,36844,36844,1002796.23,1090002.95,0.0141378646342863
1160551,37906,36852,NA,NA,NA
1178831,37903,37903,1634541,1677925.45,0.0106322925947599
1195143,36763,36763,350000,401600,0.0114752297472057
174471,36834,36834,1049910,1296683.14,0.0167441531070431
1133439,36786,36786,720000,822615,0.0359035630963812
1178882,37903,37903,2308488,2361961,0.0155030906053734
1160543,36833,36833,2500000,2504290,0.0261655762677178
1141379,36835,36834,800000,837175.25,0.0218274060715109
1178974,36844,36852,NA,NA,NA
1192120,36779,36779,798926.38,1186462.38,0.0442580034150175
1178837,36844,36844,900000,946636,0.00534423290216906
174212,36769,36769,940000,940000,0.0158056772703619
174213,36786,36786,500000,565699.99,0.0249330299280425
1160553,36834,36834,800000,1023420.8,0.0127580728969784
1141383,36815,36852,NA,NA,NA
173584,36851,36851,700000,703100.6,0.0544074099451195
1160530,36835,36835,1450000,1551266.81,0.0178716493530482
1178950,36896,36896,570000,937253.53,0.0108095171332425
174103,36786,36852,NA,NA,NA
173433,36844,36844,902796.23,1743619.08,0.0127280204195462
173434,37903,37903,1479672,1632536.54,0.0160993235494605
1141391,37905,37905,1228028.11,2297998.1,0.0750298470787608
1160602,37905,37905,1168128.11,1176029.81,0.0364576088649972
174291,36845,36852,NA,NA,NA
174833,36834,36834,950000,1054000,0.00235753154944792
1160541,37903,37903,1677758,1741793.16,0.00819367885655784
