id_partido,uf,esfera,valor,numero_candidatos
36898,AC,camara,25700.050000000003,6
36898,AL,camara,319000,1
36898,AM,camara,34503.2,3
36898,AP,camara,418539.23,2
36898,BA,camara,1028440,11
36898,CE,camara,1162500,2
36898,DF,camara,126989.17,8
36898,ES,camara,35913.1,2
36898,MG,camara,6248572.39,72
36898,PA,camara,155140,2
36898,PB,camara,261750,6
36898,PE,camara,977000,3
36898,PI,camara,180020,2
36898,PR,camara,132704.86,5
36898,RJ,camara,519042.09,21
36898,RN,camara,350000,1
36898,RR,camara,20000,1
36898,RS,camara,273150.5,4
36898,SC,camara,58141.8,4
36898,SE,camara,15850,5
36898,SP,camara,706224.59,90
36898,TO,camara,9972,1
37902,AC,camara,41600,3
37902,AL,camara,77320,2
37902,AM,camara,75644,6
37902,AP,camara,30022.82,1
37902,BA,camara,350000,13
37902,CE,camara,34392.85,7
37902,DF,camara,27961.5,10
37902,ES,camara,36826.97,9
37902,GO,camara,71819.11,8
37902,MG,camara,19434.53,8
37902,MS,camara,17000,1
37902,PA,camara,20888.78,1
37902,PB,camara,11944.56,1
37902,PE,camara,57000,15
37902,PI,camara,30100,3
37902,PR,camara,68300,7
37902,RJ,camara,115500,23
37902,RN,camara,3500,1
37902,RR,camara,110228.56,3
37902,RS,camara,16346,2
37902,SC,camara,59380,1
37902,SE,camara,30022.82,1
37902,SP,camara,73060.56,22
37902,TO,camara,10000,1
36769,AC,camara,825300,1
36769,AM,camara,1078000,2
36769,AP,camara,750000,4
36769,BA,camara,5892500,21
36769,CE,camara,1010000,3
36769,DF,camara,855000,1
36769,ES,camara,1650000,1
36769,GO,camara,1887150.24,6
36769,MA,camara,866000,2
36769,MG,camara,3706092.13,12
36769,MS,camara,1550000,2
36769,MT,camara,450000,2
36769,PA,camara,1483000,4
36769,PB,camara,1110476.36,2
36769,PE,camara,1690000,3
36769,PI,camara,732152.2,1
36769,PR,camara,1640000,2
36769,RJ,camara,8281600,16
36769,RN,camara,1314795.05,1
36769,RO,camara,452790,5
36769,RR,camara,280000,2
36769,RS,camara,1100000,2
36769,SC,camara,159080,2
36769,SP,camara,5079400,10
36769,TO,camara,2760570,2
36899,AC,camara,3657900,3
36899,AL,camara,100000,2
36899,AM,camara,1893631.8,7
36899,AP,camara,1686845,3
36899,BA,camara,2980019.1,29
36899,CE,camara,3458871.44,5
