id,sigla,tipo,situacao
0,Governo,Governo,Ativo
1,Maioria,Maioria,Ativo
2,Minoria,Minoria,Ativo
3,Oposição,Oposição,Ativo
575,"Bloco PP, MDB, PTB",Bloco,Ativo
36761,PEN,partido,Ativo
36762,PPL,partido,Ativo
36763,PROS,partido,Ativo
36764,SDD,partido,Ativo
36765,SD,partido,Ativo
36766,AIB,partido,Ativo
36767,AL,partido,Ativo
36768,ARENA,partido,Ativo
36769,DEM,partido,Ativo
36770,ED,partido,Ativo
36771,FUG,partido,Ativo
36772,LASP,partido,Ativo
36773,LEC,partido,Ativo
36774,MDB*,partido,Ativo
36775,MTR,partido,Ativo
36776,PAN,partido,Ativo
36777,PC,partido,Ativo
36778,PCB*,partido,Ativo
36779,PCdoB,partido,Ativo
36780,PCN,partido,Ativo
36781,PCO,partido,Ativo
36782,PD,partido,Ativo
36783,PDC,partido,Ativo
36784,PDR,partido,Ativo
36785,PDS,partido,Ativo
36786,PDT,partido,Ativo
36787,PE,partido,Ativo
36788,PED,partido,Ativo
36789,PF,partido,Ativo
36790,PFL,partido,Ativo
36791,PGT,partido,Ativo
36792,PHDBS,partido,Ativo
36793,PHS,partido,Ativo
36794,PJ,partido,Ativo
36795,PL*,partido,Ativo
36796,PLC,partido,Ativo
36799,PMB*,partido,Ativo
36800,PMDB,partido,Ativo
36801,PMN,partido,Ativo
36802,PMR,partido,Ativo
36803,PN,partido,Ativo
36804,PNA,partido,Ativo
36805,PNC,partido,Ativo
36806,PNE,partido,Ativo
36807,PNI,partido,Ativo
36808,PNS,partido,Ativo
36809,PP**,partido,Ativo
36810,PPA,partido,Ativo
36811,PPB,partido,Ativo
36812,PPR,partido,Ativo
36813,PPS,partido,Ativo
36814,PR,partido,Ativo
36815,PRB,partido,Ativo
36816,PRC,partido,Ativo
36817,PRD,partido,Ativo
36818,PRE,partido,Ativo
36819,PRF,partido,Ativo
36820,PRL,partido,Ativo
36821,PRM,partido,Ativo
36822,PRN,partido,Ativo
36823,PRONA,partido,Ativo
36824,PRP,partido,Ativo
36825,PRPa,partido,Ativo
36826,PRR,partido,Ativo
36827,PRS,partido,Ativo
36828,PRT,partido,Ativo
36829,PRTB,partido,Ativo
36830,PRVP,partido,Ativo
36832,PSB,partido,Ativo
36833,PSC,partido,Ativo
36834,PSD,partido,Ativo
36835,PSDB,partido,Ativo
36836,PSDC,partido,Ativo
36837,PSL,partido,Ativo
36838,PSN,partido,Ativo
36839,PSOL,partido,Ativo
36840,PSP,partido,Ativo
36841,PSR,partido,Ativo
36842,PST,partido,Ativo
36843,PSTU,partido,Ativo
36844,PT,partido,Ativo
36845,PTB,partido,Ativo
36846,PTC,partido,Ativo
36847,PTdoB,partido,Ativo
36848,PTN,partido,Ativo
36849,PTR,partido,Ativo
36850,PTRB,partido,Ativo
36851,PV,partido,Ativo
36852,SPART,partido,Ativo
36853,UDB,partido,Ativo
36854,UDN,partido,Ativo
36855,UPF,partido,Ativo
36863,PCB,partido,Ativo
36886,REDE,partido,Ativo
36887,PMB,partido,Ativo
36896,PODE,partido,Ativo
36898,AVANTE,partido,Ativo
36899,MDB,partido,Ativo
37900,PATRI,partido,Ativo
37901,NOVO,partido,Ativo
37902,DC,partido,Ativo
37903,PP,partido,Ativo
37904,SOLIDARIEDADE,partido,Ativo
37905,CIDADANIA,partido,Ativo
37906,PL,partido,Ativo
37907,PATRIOTA,partido,Ativo
37908,REPUBLICANOS,partido,Ativo
770,Bloco Parlamentar Unidos pelo Brasil,Bloco,Ativo
754,Bloco Parlamentar Senado Independente,Bloco,Ativo
771,Bloco Parlamentar PSDB/PSL,Bloco,Ativo
763,Bloco Parlamentar Vanguarda,Bloco,Ativo
755,Bloco Parlamentar da Resistência Democrática,Bloco,Ativo
