nome,partido,estado,voto,id_votacao
CARLOS HENRIQUE GAGUIM,DEM,TO,Sim,99999
CESAR HALUM,PRB,TO,Sim,99999
COVATTI FILHO,PP,RS,Sim,99999
DIEGO GARCIA,PODE,PR,-,99999
JOSUE BENGTSON,PTB,PA,-,99999
LUIS CARLOS HEINZE,PP,RS,Sim,99999
PROFESSOR VICTORIO GALLI,PSL,MT,Sim,99999
ROGERIO PENINHA MENDONCA,MDB,SC,-,99999
SERGIO SOUZA,MDB,PR,Sim,99999
VALDIR COLATTO,MDB,SC,Sim,99999
ZE SILVA,SD,MG,Sim,99999
ALCEU MOREIRA,MDB,RS,Sim,99999
JUNJI ABE,MDB,SP,Sim,99999
CELSO MALDANER,MDB,SC,Sim,99999
ARNALDO FARIA SA,PP,SP,-,99999
AUGUSTO CARVALHO,SD,DF,-,99999
JERONIMO GOERGEN,PP,RS,-,99999
MANDETTA,DEM,MS,-,99999
AELTON FREITAS,PR,MG,-,99999
BOHN GASS,PT,RS,Não,99999
JANDIRA FEGHALI,PCdoB,RJ,Não,99999
JOAO DANIEL,PT,SE,-,99999
LUIZ NISHIMORI,PR,PR,Sim,99999
MARCOS MONTES,PSD,MG,-,99999
PADRE JOAO,PT,MG,Não,99999
RAQUEL MUNIZ,PSD,MG,Sim,99999
ALBERTO FRAGA,DEM,DF,-,99999
FABIO GARCIA,DEM,MT,-,99999
NILTO TATTO,PT,SP,Não,99999
ALTINEU CORTES,PR,RJ,-,99999
ODORICO MONTEIRO,PSB,CE,-,99999
ONYX LORENZONI,DEM,RS,-,99999
PATRUS ANANIAS,PT,MG,-,99999
PAULO TEIXEIRA,PT,SP,-,99999
ARNALDO JARDIM,PPS,SP,-,99999
HEITOR SCHUCH,PSB,RS,-,99999
LUIZ CARLOS HAULY,PSDB,PR,-,99999
RAIMUNDO GOMES MATOS,PSDB,CE,-,99999
SARNEY FILHO,PV,MA,-,99999
TEREZA CRISTINA,DEM,MS,Sim,99999
NILSON LEITAO,PSDB,MT,Sim,99999
IVAN VALENTE,PSOL,SP,-,99999
EDMILSON RODRIGUES,PSOL,PA,Não,99999
GERALDO RESENDE,PSDB,MS,Sim,99999
JULIO DELGADO,PSB,MG,-,99999
DOMINGOS SAVIO,PSDB,MG,-,99999
AFONSO MOTTA,PDT,RS,-,99999
SUBTENENTE GONZAGA,PDT,MG,Não,99999
ADILTON SACHETTI,PRB,MT,Sim,99999
ADALBERTO CAVALCANTI,AVANTE,PE,-,99999
ALESSANDRO MOLON,PSB,RJ,-,99999
CHICO ALENCAR,PSOL,RJ,-,99999
